line1,line2,line3,key,fein,unitid,institutionname
MR MICHAEL BEATTY 1 0,X 0 0 0,TRUSTEE 0 0,michael,520591661,163295,Maryland Institute College of Art
MR JEFFREY G BUNTING 1 0,X 0 0 0,TRUSTEE 0 0,jeffrey,520591661,163295,Maryland Institute College of Art
MR BRIAN MARTEL 1 0,X 0 0 0,TRUSTEE 0 0,brian,520591661,163295,Maryland Institute College of Art
MS MICHEL L MODELL 1 0,X 0 0 0,TRUSTEE 0 0,michel,520591661,163295,Maryland Institute College of Art
MR DOUG TSUI 1 0,X 0 0 0,TRUSTEE 0 0,doug,520591661,163295,Maryland Institute College of Art
MR STEPHEN BOESEL 1 0,X 0 0 0,TRUSTEE 0 0,stephen,520591661,163295,Maryland Institute College of Art
MS M GWEN DAVIDSON 1 0,X 0 0 0,TRUSTEE 0 0,gwen,520591661,163295,Maryland Institute College of Art
MS ROSALEE C DAVISON 1 0,X 0 0 0,TRUSTEE 0 0,rosalee,520591661,163295,Maryland Institute College of Art
MR RONALD E FIDLER 1 0,X 0 0 0,TRUSTEE 0 0,ronald,520591661,163295,Maryland Institute College of Art
MS ANN M GARFINKLE 1 0,X 0 0 0,TRUSTEE 0 0,ann,520591661,163295,Maryland Institute College of Art
MS ALICE FALVEY GREIF 1 0,X 0 0 0,TRUSTEE 0 0,alice,520591661,163295,Maryland Institute College of Art
MS FREDYE W GROSS 1 0,X 0 0 0,TRUSTEE 0 0,gross,520591661,163295,Maryland Institute College of Art
MR DAVID HAYDEN 1 0,X 0 0 0,TRUSTEE 0 0,david,520591661,163295,Maryland Institute College of Art
MS BARBARA L HIMMELRICH 1 0,X 0 0 0,TRUSTEE 0 0,barbara,520591661,163295,Maryland Institute College of Art
MS WENDY JACHMAN 1 0,X 0 0 0,TRUSTEE 0 0,wendy,520591661,163295,Maryland Institute College of Art
MR DAVID JACOBS 1 0,X 0 0 0,TRUSTEE 0 0,david,520591661,163295,Maryland Institute College of Art
MR ROSS JONES 1 0,X 0 0 0,TRUSTEE 0 0,ross,520591661,163295,Maryland Institute College of Art
MR NEILA MEYERHOFF 1 0,X 0 0 0,TRUSTEE 0 0,neila,520591661,163295,Maryland Institute College of Art
MR JIM MILLER 1 0,X 0 0 0,TRUSTEE 0 0,jim,520591661,163295,Maryland Institute College of Art
MR CHARLES NEARBURG 1 0,X 0 0 0,TRUSTEE 0 0,charles,520591661,163295,Maryland Institute College of Art
MS ANNE S PERKINS 1 0,X 0 0 0,TRUSTEE 0 0,anne,520591661,163295,Maryland Institute College of Art
MS SHEILA K RIGGS 1 0,X 0 0 0,TRUSTEE 0 0,sheila,520591661,163295,Maryland Institute College of Art
MS NANCY SASSER 1 0,X 0 0 0,TRUSTEE 0 0,nancy,520591661,163295,Maryland Institute College of Art
MR WILLIAM O STEINMETZ 1 0,X 0 0 0,TRUSTEE 0 0,william,520591661,163295,Maryland Institute College of Art
MR REGGIE WELLS 1 0,X 0 0 0,TRUSTEE 0 0,reggie,520591661,163295,Maryland Institute College of Art
MS SALLIE FRAENKEL ZUCH 1 0,X 0 0 0,TRUSTEE 0 0,sallie,520591661,163295,Maryland Institute College of Art
MR JAMES BLUE 1 0,X 0 0 0,TRUSTEE 0 0,james,520591661,163295,Maryland Institute College of Art
DR JUDITH BURTON 1 0,X 0 0 0,TRUSTEE 0 0,judith,520591661,163295,Maryland Institute College of Art
FRED LAZARUS IV 40 0,"X 850,342 0 38,900",PRESIDENT 1 0,fred,520591661,163295,Maryland Institute College of Art
RAYMOND V ALLEN 40 0,"X 276,401 0 36,327",VP ACADEMIC AFFAIRS & PROVOST 0 0,raymond,520591661,163295,Maryland Institute College of Art
J DAVIDSON PORTER 40 0,"X 163,709 0 22,727",VP STUDENT AFFAIRS 0 0,davidson,520591661,163295,Maryland Institute College of Art
THERESA LYNCH BEDOYA 40 0,"X 211,127 0 29,297",VP ADMIS AND FINANCIAL AID 0 0,theresa,520591661,163295,Maryland Institute College of Art
MICHAEL MOLLA 40 0,"x 193,697 0 8,348",VP OPERATIONS 0 0,michael,520591661,163295,Maryland Institute College of Art
