line1,line2,line3,key,fein,unitid,institutionname
Jeffrey A Sine 2 0,X 0 0,Chair,jeffrey,530196549,131159,American University
Jack C Cassell 2 0,X 0 0,Vice Chair,jack,530196549,131159,American University
Gary M Abramson 2 0,X 0 0,Trustee,gary,530196549,131159,American University
Gina F Adams 2 0,X 0 0,Trustee,gina,530196549,131159,American University
Stephanie M Bennett—Smith 2 0,X 0 0,Trustee,stephanie,530196549,131159,American University
Patrick Butler 2 0,X 0 0,Trustee,patrick,530196549,131159,American University
Kim Cape 2 0,X 0 0,Trustee,kim,530196549,131159,American University
Gary D Cohn 2 0,X 0 0,Trustee,gary,530196549,131159,American University
Pamela M Deese 2 0,X 0 0,Trustee,pamela,530196549,131159,American University
DaVId R Drobis 2 0,X 0 0,Trustee,david,530196549,131159,American University
Marc N Duber 2 0,X 0 0,Trustee,marc,530196549,131159,American University
Hani M S Far5i 2 0,X 0 0,Trustee,hani,530196549,131159,American University
Thomas A Gottschalk 2 0,X 0 0,Trustee,thomas,530196549,131159,American University
Gisela B Hubennan 2 0,X 0 0,Trustee,gisela,530196549,131159,American University
C Nicholas Keating Jr 2 0,X 0 0,Trustee,nicholas,530196549,131159,American University
Margery Kraus 2 0,X 0 0,Trustee,margery,530196549,131159,American University
Gerald Bruce Lee 2 0,X 0 0,Trustee,gerald,530196549,131159,American University
Charles H Lydecker 2 0,X 0 0,Trustee,charles,530196549,131159,American University
Robyn Rafferty Mathias 2 0,X 0 0,Trustee,robyn,530196549,131159,American University
Marcus Matthews 2 0,X 0 0,Trustee,marcus,530196549,131159,American University
Alan L Meltzer 2 0,X 0 0,Trustee,alan,530196549,131159,American University
Regina L Muehlhauser 2 0,X 0 0,Trustee,regina,530196549,131159,American University
Peter L Scher 2 0,X 0 0,Trustee,peter,530196549,131159,American University
Cornelius M KenNin 50 0,"X 917,094 0 43,804",PreSIdent,cornelius,530196549,131159,American University
Scott A Bass 50 0,"X 573,613 0 47,893",Provost,scott,530196549,131159,American University
Donald L Myers 50 0,"X 751,774 0 39,863",CFO/ VP Finance/ Treasurer,donald,530196549,131159,American University
Mary E Kennard 50 0,"X 455,072 0 35,573",VP & Univer5ity Counsel,mary,530196549,131159,American University
Gail 5 Hanson 50 0,"X 350,037 0 28,250",VP Campus Life,gail,530196549,131159,American University
Thomas] Minar 50 0,"X 505,445 0 31,079",VP Development & Alumni Rel,minar,530196549,131159,American University
Teresa Flannery 50 0,"X 226,124 0 45,336",VP of Communication,teresa,530196549,131159,American University
Claudio M Grossman 50 0,"X 485,081 0 35,264",Dean & Professor,claudio,530196549,131159,American University
DaVId G Swartz 50 0,"X 308,321 0 39,962",CIO,david,530196549,131159,American University
Robert D Dinerstein 50 0,"x 311,423 46,866",Professor,robert,530196549,131159,American University
Barbara Romzek 50 0,"x 292,241 52,282",Dean & Professor,barbara,530196549,131159,American University
Brenda Smith 50 0,"x 294,611 28,737",Professor,brenda,530196549,131159,American University
