line1,line2,line3,key,fein,unitid,institutionname
SIDNEY A RIBEAU PHD 40 00,"x x 1,040,223 0 36,741","PRESIDENT, THRU 10/13",sidney,530204707,131520,Howard University
DR GEORGE K LI'I'I'LETON 40 00,"X 107,442 0 19,618",BOARD TRUSTEE/FACULTY,george,530204707,131520,Howard University
DR RICHARD LWRIGHT 40 00,"X 105,104 0 15,222",BOARD TRUSTEE/FACULTY,richard,530204707,131520,Howard University
MR ADDISON BARRY RAND 1 00,X X 0 0 0,CHAIRMAN,addison,530204707,131520,Howard University
RENEE HIGGINBOTHAM—BROOKS ESQ 1 00,X X 0 0 0,VICE CHAIRWOMAN,renee,530204707,131520,Howard University
CHARISSE R LILLIE ESQ 1 00,X 0 0 0,BOARD TRUSTEE,charisse,530204707,131520,Howard University
DR FLORETTA DUKES MCKENZIE 1 00,X 0 0 0,CHAIRWOMAN EMERITA,floretta,530204707,131520,Howard University
CHAIRWOMAN EMERITA,DR HAROLD P FREEMAN MD 1 00,X 0 0 0,emerita,530204707,131520,Howard University
DR HAROLD P FREEMAN MD 1 00,X 0 0 0,BOARD TRUSTEE,harold,530204707,131520,Howard University
DR MARIAN JOHNSON—THOMPSON 1 00,X 0 0 0,BOARD TRUSTEE,marian,530204707,131520,Howard University
DR REED VTUCKSON MD 1 00,X 0 0 0,BOARD TRUSTEE,reed,530204707,131520,Howard University
LARKIN ARNOLD JR ESQ 1 00,X 0 0 0,BOARD TRUSTEE,larkin,530204707,131520,Howard University
MR CASTELL ABNER 1 00,X 0 0 0,BOARD TRUSTEE,castell,530204707,131520,Howard University
MR GERALD D PROTHRO 1 00,X 0 0 0,BOARD TRUSTEE,gerald,530204707,131520,Howard University
MR GREGORY A WHITE 1 00,X 0 0 0,BOARD TRUSTEE,gregory,530204707,131520,Howard University
MR JOHN D ZEGLIS 1 00,X 0 0 0,BOARD TRUSTEE,john,530204707,131520,Howard University
MR MARK A L MASON 1 00,X 0 0 0,BOARD TRUSTEE,mark,530204707,131520,Howard University
MR NORMAN K JENKINS 1 00,X 0 0 0,BOARD TRUSTEE,norman,530204707,131520,Howard University
MR ROBERT L LUMPKINS 1 00,X 0 0 0,BOARD TRUSTEE,robert,530204707,131520,Howard University
MR THOMAS W JONES 1 00,X 0 0 0,BOARD TRUSTEE,thomas,530204707,131520,Howard University
MRS BERNAREE P WILEY 1 00,X 0 0 0,BOARD TRUSTEE,wiley,530204707,131520,Howard University
MS AMY S HILLIARD 1 00,X 0 0 0,BOARD TRUSTEE,amy,530204707,131520,Howard University
MS DEBBIE K ALLEN 1 00,X 0 0 0,BOARD TRUSTEE,debbie,530204707,131520,Howard University
MS JESSYE NORMAN 1 00,X 0 0 0,BOARD TRUSTEE,norman,530204707,131520,Howard University
MS LILIANE BEDFORD 1 00,X 0 0 0,BOARD TRUSTEE,liliane,530204707,131520,Howard University
STACEY J MOBLEY ESQ 1 00,X 0 0 0,BOARD TRUSTEE,stacey,530204707,131520,Howard University
THE HONORABLE L DOUGLAS WILDER 1 00,X 0 0 0,BOARD TRUSTEE,douglas,530204707,131520,Howard University
THE HONORABLE M KASIM REED 1 00,X 0 0 0,BOARD TRUSTEE,kasim,530204707,131520,Howard University
VERNON E JORDAN JR ESQ 1 00,X 0 0 0,BOARD TRUSTEE,vernon,530204707,131520,Howard University
DR JOHN E JACOB 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,john,530204707,131520,Howard University
RICHARD D PARSONS ESQ 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,richard,530204707,131520,Howard University
MR FRANK SAVAGE 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,frank,530204707,131520,Howard University
THE HONORABLE FRANKIE M FREEMAN 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,frankie,530204707,131520,Howard University
MARTIN D PAYSON ESQ 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,martin,530204707,131520,Howard University
WAYMAN F SMITH III ESQ 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,wayman,530204707,131520,Howard University
THE HONORABLE GABRIELLE K MCDONALD 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,gabrielle,530204707,131520,Howard University
GENERAL COLIN L POWELL USA 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,colin,530204707,131520,Howard University
MR EARL G GRAVES SR 1 00,X 0 0 0,BOARD TRUSTEE EMERITI,earl,530204707,131520,Howard University
WAYNE FREDERICK MDPROVOST 40 00,"X 784,427 0 32,150","INTERIM PRESIDENT, 11/13—06/ 14",wayne,530204707,131520,Howard University
KURT SCHMOKE ESQ 40 00,"X 274,377 0 17,101",GENERAL COUNSEL,kurt,530204707,131520,Howard University
ARTIS HAMPSHIRE—COWAN ESQ 40 00,"X 246,513 0 16,002",SENIOR VP AND SECRETARY,artis,530204707,131520,Howard University
NESTA BERNARD 40 00,"X 215,811 0 28,384",VP UNIVERSITY ADVANCEMENT,bernard,530204707,131520,Howard University
BARBARA GRIFFIN PHD 40 00,"X 179,071 0 27,586",VP STUDENT AFFAIRS,barbara,530204707,131520,Howard University
MICHAEL MCFADDEN 40 00,"X 198,001 0 11,863",INTERIM VP HUMAN RESOURCES,michael,530204707,131520,Howard University
CONSTANCE ELLISON 40 00,"X 182,321 0 16,048",INTERIM VICE PRESIDENT FOR STUDENT AFFAIRS,constance,530204707,131520,Howard University
JOHN GORDON 40 00,"X 134,565 0 16,374",INTERIM CHIEF FINANCIAL OFFICER & TREASURER,john,530204707,131520,Howard University
MICHAEL WINSTON 40 00,"X 71,574 0 0",PROVOST/CHIEF ACADEMIC OFF,michael,530204707,131520,Howard University
PROVOST/CHIEF ACADEMIC OFF,ROBERT TAROLA CPA 40 00,X 0 0 0,off,530204707,131520,Howard University
ROBERT TAROLA CPA 40 00,X 0 0 0,"FORMER CFO/TREASURER, SEE SCH L",robert,530204707,131520,Howard University
EDWARD CORNWELL III MD 40 00,"X 828,827 0 33,932",SURGEON —IN—CHIEF,edward,530204707,131520,Howard University
DAMIREZ FOSSETI' MD 40 00,"X 509,582 0 42,352",CHAIR OF NEUROSURGERY,md,530204707,131520,Howard University
ROBERT COPELAND 40 00,"X 465,779 0 38,186",CHAIR OF OPHTHALMOLOGY,robert,530204707,131520,Howard University
ANDRE DUERINCKX 40 00,"X 473,795 0 28,426",CHAIR OF RADIOLOGY,andre,530204707,131520,Howard University
LASALLE LEFFALL MD 40 00,"X 209,918 0 23,899",FORMER PROVOST/CHIEF ACADE,lasalle,530204707,131520,Howard University
