line1,line2,line3,key,fein,unitid,institutionname
MARIA C ACAR 0,X 0 0 0,TRUSTEE 0,maria,540506319,232672,Mary Baldwin College
ANNABEL E BARBER 0,X 0 0 0,TRUSTEE 0,annabel,540506319,232672,Mary Baldwin College
THOMAS BARTON 0,X 0 0 0,TRUSTEE 0,thomas,540506319,232672,Mary Baldwin College
CHARLOTTE J BERRY 0,X 0 0 0,TRUSTEE 0,charlotte,540506319,232672,Mary Baldwin College
TRACY BURKS—HEALY 0,X 0 0 0,TRUSTEE 0,tracy,540506319,232672,Mary Baldwin College
MARGARET WREN DE ST AUBIN 0,X 0 0 0,TRUSTEE 0,margaret,540506319,232672,Mary Baldwin College
NANCY M DUNBAR 0,X 0 0 0,TRUSTEE 0,nancy,540506319,232672,Mary Baldwin College
KELLY H ELLIS 0,X 0 0 0,TRUSTEE 0,kelly,540506319,232672,Mary Baldwin College
SARAH A FLANAGAN 0,X 0 0 0,TRUSTEE 0,sarah,540506319,232672,Mary Baldwin College
HELEN FORSTER 0,X 0 0 0,TRUSTEE 0,helen,540506319,232672,Mary Baldwin College
SARAH FRANCISCO 0,X 0 0 0,TRUSTEE 0,sarah,540506319,232672,Mary Baldwin College
ELIZABETH B FREUND 0,X 0 0 0,TRUSTEE 0,elizabeth,540506319,232672,Mary Baldwin College
SUSAN HOBBS 0,X 0 0 0,TRUSTEE 0,susan,540506319,232672,Mary Baldwin College
ALISON KAUFMANN 0,X 0 0 0,TRUSTEE 0,alison,540506319,232672,Mary Baldwin College
JAMES LOTT 0,X 0 0 0,TRUSTEE 0,james,540506319,232672,Mary Baldwin College
MARGARET E MCDERMID 0,X 0 0 0,CHAIR 0,margaret,540506319,232672,Mary Baldwin College
SUSAN A MCLAUGHLIN 0,X 0 0 0,TRUSTEE 0,susan,540506319,232672,Mary Baldwin College
JANE H MILLER 0,X 0 0 0,VICE CHAIR 0,jane,540506319,232672,Mary Baldwin College
SHERRI LSHARPE 0,X 0 0 0,TRUSTEE 0,sherri,540506319,232672,Mary Baldwin College
KAREN SHERMAN 0,X 0 0 0,TRUSTEE 0,karen,540506319,232672,Mary Baldwin College
KATHERINE LSMALLWOOD 0,X 0 0 0,TRUSTEE 0,katherine,540506319,232672,Mary Baldwin College
JEANINE H THOMAS 0,X 0 0 0,TRUSTEE 0,jeanine,540506319,232672,Mary Baldwin College
KELLIE WARNER 0,X 0 0 0,TRUSTEE 0,kellie,540506319,232672,Mary Baldwin College
MARIE A WESTBROOK 0,X 0 0 0,TRUSTEE 0,marie,540506319,232672,Mary Baldwin College
M SUE WHlTLOCK 0,X 0 0,TRUSTEE 0,sue,540506319,232672,Mary Baldwin College
PAMELA FOX 35,"x 258,640 31,370",PRESIDENT 0,pamela,540506319,232672,Mary Baldwin College
DAVID MOWEN 35,"x 162,131 14,857",EXEC VP FOR FINANCE & ADMIN 0,david,540506319,232672,Mary Baldwin College
LINDA SEESTEDT—STANFORD 35,"x 175,015 5,771",VP COLLEGE OF HEALTH SCIENCE 0,linda,540506319,232672,Mary Baldwin College
CATHARINE O'CONNELL 35,"x 159,230 14,694",VP FOR ACADEMIC AFFAIRS 0,catharine,540506319,232672,Mary Baldwin College
LISA SHOAF 35,"x 116,350 10,879",DIRECTOR OF DOCTORAL PROGRAM IN PT 0,lisa,540506319,232672,Mary Baldwin College
NATHAN HERZ 35,"x 113,195 8,600",DIRECTOR OF OT PROGRAM 0,nathan,540506319,232672,Mary Baldwin College
RACHEL POTTER 35,"x 110,204 9,998",DEAN OF COLLEGE OF EDUCATION 0,rachel,540506319,232672,Mary Baldwin College
CATHERINE MCPHERSON 35,"x 101,143 3,273",ASSOC PROFESSOR 0,catherine,540506319,232672,Mary Baldwin College
DAVID ATCHLEY 35,"X 106,623 411",FORMER VP OF INST ADVANCEMENT 0,david,540506319,232672,Mary Baldwin College
