line1,line2,line3,key,fein,unitid,institutionname
SAMUEL L LIONBERGER JR 1 00,X X 0 0 0,CHAIR OF THE BOARD OF TRUS,samuel,540506457,232089,Ferrum College
HARRY G NORRIS 80,X X 0 0 0,15T VICE CHAIR,harry,540506457,232089,Ferrum College
GLENN F THOMSEN 80,X X 0 0 0,2ND VICE CHAIR,glenn,540506457,232089,Ferrum College
S KELLY HERRICK 80,X X 0 0 0,"CHAIR, ACAD AFF & IMMEDIATE PAST CHAIR",kelly,540506457,232089,Ferrum College
PHYLLIS KARAVATAKIS 80,X X 0 0 0,"CHAIR, AUDIT COMMITTEE",phyllis,540506457,232089,Ferrum College
ROBERT TODD 80,X X 0 0 0,"CHAIR, INSTITUTIONAL ADVAN",robert,540506457,232089,Ferrum College
WALTER C AYERS 80,X X 0 0 0,"CHAIR, INVESTMENT COMMITTE",walter,540506457,232089,Ferrum College
DON LWILSON 80,X X 0 0 0,"CHAIR, STUDENT AFFAIRS COMMITTEE",don,540506457,232089,Ferrum College
BETTY] FORBES 80,X X 0 0 0,"CHAIR, BUSINESS AFFAIRS COMMITTEE",forbes,540506457,232089,Ferrum College
THELMA B CROWDER 80,X X 0 0 0,SECRETARY,thelma,540506457,232089,Ferrum College
RONALD LWILLIARD SR 50,X 0 0 0,MEMBER—AT—LARGE,ronald,540506457,232089,Ferrum College
AUBREY MASON 50,X 0 0 0,MEMBER—AT—LARGE,aubrey,540506457,232089,Ferrum College
RAY BOOTH 50,X 0 0 0,TRUSTEE,ray,540506457,232089,Ferrum College
HARVEY BROOKINS 50,X 0 0 0,TRUSTEE,harvey,540506457,232089,Ferrum College
W CLAY CAMPBELL 50,X 0 0 0,TRUSTEE,clay,540506457,232089,Ferrum College
BISHOP YOUNG JIN CHO 50,X 0 0 0,TRUSTEE,bishop,540506457,232089,Ferrum College
JOEY CORNWELL III 50,X 0 0 0,TRUSTEE,joey,540506457,232089,Ferrum College
ERNESTINE DUNNINGS 50,X 0 0 0,TRUSTEE,ernestine,540506457,232089,Ferrum College
KENNETH GASSMAN 50,X 0 0 0,TRUSTEE,kenneth,540506457,232089,Ferrum College
ELIZABETH HAIRFILED 50,X 0 0 0,TRUSTEE,elizabeth,540506457,232089,Ferrum College
OLIVIA HINTON 50,X 0 0 0,TRUSTEE,olivia,540506457,232089,Ferrum College
DR JANINE HOWARD 50,X 0 0 0,TRUSTEE,janine,540506457,232089,Ferrum College
LIZ LAZENBY 50,X 0 0 0,TRUSTEE,liz,540506457,232089,Ferrum College
DR ESTHER G MABRY 50,X 0 0 0,TRUSTEE,esther,540506457,232089,Ferrum College
DR MARVIN PHAUP 50,X 0 0 0,TRUSTEE,marvin,540506457,232089,Ferrum College
BAXTER F PHILLIPS 50,X 0 0 0,TRUSTEE,baxter,540506457,232089,Ferrum College
LOU TALBUTT 50,X 0 0 0,TRUSTEE,lou,540506457,232089,Ferrum College
REV KATHLEEN WEBSTER 50,X 0 0 0,TRUSTEE,kathleen,540506457,232089,Ferrum College
JOYCE WINSTON 50,X 0 0 0,TRUSTEE,joyce,540506457,232089,Ferrum College
DR JENNIFER L BRAATEN 60 00,"X 309,056 0 78,996",PRESIDENT,jennifer,540506457,232089,Ferrum College
BOBBY W THOMPSON 8 00,"x 84,232 0 5,889",TREASURER,bobby,540506457,232089,Ferrum College
DR DOUGLAS E CLARK 55 00,"X 157,260 0 17,696",VP ENROLLMENT & GOV'T REL,douglas,540506457,232089,Ferrum College
DR GAIL SUMMER 55 00,"X 129,907 0 18,930",VP VP FOR ACADEMIC AFFAIRS,gail,540506457,232089,Ferrum College
DR ANDREA ZUSCHIN 55 00,"x 119,734 0 8,376",VP FOR STUDENT AFFAIRS,andrea,540506457,232089,Ferrum College
KIM BLAIR 55 00,"x 148,918 0 7,440",VP FOR INSTITUTIONAL ADVAN,kim,540506457,232089,Ferrum College
BARBARA HATCHER 55 00,"X 139,668 0 18,350",VP FOR BUSINESS & FINANCE,barbara,540506457,232089,Ferrum College
