line1,line2,line3,key,fein,unitid,institutionname
(1) DR CLAUDE G PERKINS 40 00,"X X 382,582 0 78,425",PRESIDENT,claude,540524516,234164,Virginia Union University
(2) DR W FRANKLYN RICHARDSON 2 00,X X 0 0 0,CHAIRMAN,franklyn,540524516,234164,Virginia Union University
(3) MR STEVE D BULLOCK 2 00,X X 0 0 0,VICE CHAIRMAN,steve,540524516,234164,Virginia Union University
(4) MRS SHIRLEY W VAUGHN 2 00,X X 0 0 0,SECRETARY,shirley,540524516,234164,Virginia Union University
(5) MR JEROME LIENHARD 2 00,X X 0 0 0,TREASURER,jerome,540524516,234164,Virginia Union University
(6) MRS JEANNIE P BALILES 2 00,X 0 0 0,TRUSTEE,jeannie,540524516,234164,Virginia Union University
(7) MR JOHN H BOCOCK 2 00,X 0 0 0,TRUSTEE,john,540524516,234164,Virginia Union University
(8) DR LUCILLE M BROWN 2 00,X 0 0 0,TRUSTEE,lucille,540524516,234164,Virginia Union University
(9) DR MARILYN T BROWN 2 00,X 0 0 0,TRUSTEE,marilyn,540524516,234164,Virginia Union University
(10) MR ROBERTJ BROWN 2 00,X 0 0 0,TRUSTEE,brown,540524516,234164,Virginia Union University
(11) MR TYRONE E DICKERSON CPA 2 00,X 0 0 0,TRUSTEE,tyrone,540524516,234164,Virginia Union University
(12) MS CAROLYN W JACOBS 2 00,X 0 0 0,TRUSTEE,carolyn,540524516,234164,Virginia Union University
(13) MR PAUL D KOONCE 2 00,X 0 0 0,TRUSTEE,paul,540524516,234164,Virginia Union University
(14) DR ROLAND E MOORE 2 00,X 0 0 0,TRUSTEE,roland,540524516,234164,Virginia Union University
(15) N SCOTT PHILLIPS ESQ 2 00,X 0 0 0,TRUSTEE,scott,540524516,234164,Virginia Union University
(16) DR RENlTA W RANDOLPH 2 00,X 0 0 0,TRUSTEE,randolph,540524516,234164,Virginia Union University
(17) DR FRANK LWILLIAMS III 2 00,X 0 0 0,TRUSTEE,frank,540524516,234164,Virginia Union University
(18) DR JEREMIAH A WRIGHT JR 2 00,X 0 0 0,TRUSTEE,jeremiah,540524516,234164,Virginia Union University
(19) DR DARRELL K WHITE 2 00,X 0 0 0,TRUSTEE,darrell,540524516,234164,Virginia Union University
(20) MS MARY A GORDON 2 00,X 0 0 0,TRUSTEE,mary,540524516,234164,Virginia Union University
(21) DR JULIUS E SCIPIO 40 00,"x 178,076 0 4,509",VP ACADEMIC AFFAIRS,julius,540524516,234164,Virginia Union University
(22) DR DENNIS C WASHINGTON 40 00,"x 95,773 0 4,509",VP INSTITUTIONAL ADV,dennis,540524516,234164,Virginia Union University
(23) MR GREGORY LEWIS 40 00,"x 132,662 0 6,750",VP FINANCIAL AFFAIRS,gregory,540524516,234164,Virginia Union University
(24) DR LEE DONNELL YOUNG 40 00,"x 90,176 0 4,133",VP EMSA,lee,540524516,234164,Virginia Union University
(25) DR JOY GOODRICH 40 00,"X 108,066 0 0",VP RESEARCH & PLANNING,joy,540524516,234164,Virginia Union University
(26) DR JOHN KINNEY 40 00,"x 113,803 0 5,014",DEAN SCHOOL OF THEOLOGY,john,540524516,234164,Virginia Union University
(27) MICHAEL L BAILEY 40 00,"x 126,943 0 3,825",ATHLETIC DIRECTOR,michael,540524516,234164,Virginia Union University
(28) VANESSA COOMBS 40 00,"X 102,804 0",DIRECTOR PR / ASST TO PRES,vanessa,540524516,234164,Virginia Union University
