line1,line2,line3,key,fein,unitid,institutionname
Walter H Aikens 0,X 0 0 0,Trustee 0,walter,540525605,233541,Shenandoah University
Pamela A Bell 0,X 0 0 0,Trustee 0,pamela,540525605,233541,Shenandoah University
CJ Borden 0,X 0 0 0,Trustee 0,borden,540525605,233541,Shenandoah University
William F Brandt Jr 0,X 0 0 0,Vice Chair 0,william,540525605,233541,Shenandoah University
Stephen P Caruthers 0,X 0 0 0,Trustee 0,stephen,540525605,233541,Shenandoah University
Teresa A Cluss 0,X 0 0 0,Trustee 0,teresa,540525605,233541,Shenandoah University
Laura N Dabinett 0,X 0 0 0,Trustee 0,laura,540525605,233541,Shenandoah University
Anne—Marie Dunn 0,X 0 0 0,Trustee 0,dunn,540525605,233541,Shenandoah University
Andrew U Ferrari 0,X 0 0 0,Chair 0,andrew,540525605,233541,Shenandoah University
Mary Bruce Glaize 0,X 0 0 0,Trustee 0,mary,540525605,233541,Shenandoah University
Reverend Dr Jay M Hanke 0,X 0 0 0,Trustee 0,jay,540525605,233541,Shenandoah University
Stanley E Harrison 0,X 0 0 0,Trustee 0,stanley,540525605,233541,Shenandoah University
Reverend Tommy Herndon 0,X 0 0 0,Trustee 0,tommy,540525605,233541,Shenandoah University
LJanell Hoffman 0,X 0 0 0,Trustee 0,hoffman,540525605,233541,Shenandoah University
Diane S Kearns 0,X 0 0 0,Trustee 0,diane,540525605,233541,Shenandoah University
Mar]orie LeWIS 0,X 0 0 0,Secretary 0,lewis,540525605,233541,Shenandoah University
Ann K MacLeod 0,X 0 0 0,Trustee 0,ann,540525605,233541,Shenandoah University
Art H Major 0,X 0 0 0,Trustee 0,major,540525605,233541,Shenandoah University
Keith A May 0,X 0 0 0,Trustee 0,keith,540525605,233541,Shenandoah University
Richard R] Morin 0,X 0 0 0,Trustee 0,richard,540525605,233541,Shenandoah University
Mark J Ohrstrom 0,X 0 0 0,Trustee 0,mark,540525605,233541,Shenandoah University
Debra S Orbacz 0,X 0 0 0,Trustee 0,debra,540525605,233541,Shenandoah University
Bipin B Patel 0,X 0 0 0,Trustee 0,bipin,540525605,233541,Shenandoah University
Reverend John B Peters 0,X 0 0 0,Trustee 0,john,540525605,233541,Shenandoah University
Mary Farland Shockey 0,X 0 0 0,Trustee 0,mary,540525605,233541,Shenandoah University
Gerald F Smith Jr 0,X 0 0 0,Trustee 0,gerald,540525605,233541,Shenandoah University
Harry S Smith 0,X 0 0 0,Trustee 0,harry,540525605,233541,Shenandoah University
Mark E StaVIsh 0,X 0 0 0,Trustee 0,mark,540525605,233541,Shenandoah University
John Stokely Jr 0,X 0 0 0,Trustee 0,john,540525605,233541,Shenandoah University
James A Stutzman 0,X 0 0 0,Trustee 0,james,540525605,233541,Shenandoah University
Reverend Lawrence R Thompson Jr 0,X 0 0 0,Trustee 0,lawrence,540525605,233541,Shenandoah University
Charles A Veatch 0,X 0 0 0,Trustee 0,charles,540525605,233541,Shenandoah University
James T Vickers 0,X 0 0 0,Past Chair 0,james,540525605,233541,Shenandoah University
F Dixon Whitworth Jr 0,X 0 0 0,Trustee 0,dixon,540525605,233541,Shenandoah University
James R Wilkins Jr 0,X 0 0 0,Trustee 0,james,540525605,233541,Shenandoah University
Heather H Wilson 0,X 0 0 0,Trustee 0,heather,540525605,233541,Shenandoah University
Irene R Wurtzel 0,X 0 0 0,Trustee 0,irene,540525605,233541,Shenandoah University
Tracy Fit25immons 40,"X 332,273 0 53,139",PreSident and Registered Agent 0,tracy,540525605,233541,Shenandoah University
PreSident and Registered Agent 0,Richard C Shickle Sr 40,"X 190,455 0 40,465",agent,540525605,233541,Shenandoah University
Richard C Shickle Sr 40,"X 190,455 0 40,465",VP for Administration and Finance 0,richard,540525605,233541,Shenandoah University
Mitchell L Moore 40,"X 155,306 0 32,267",VP for Advancement 0,mitchell,540525605,233541,Shenandoah University
Clarresa M Morton 40,"X 133,749 0 19,455",VP for Enrollment Mngt and Student Success 0,morton,540525605,233541,Shenandoah University
VP for Enrollment Mngt and Student Success 0,Rhonda VanDyke Colby 40,"X 106,313 0 25,553",success,540525605,233541,Shenandoah University
Rhonda VanDyke Colby 40,"X 106,313 0 25,553",VP Student Life 0,rhonda,540525605,233541,Shenandoah University
Adrienne G Bloss 40,"x 71,748 0 12,655",VP for Academic Affairs 0,adrienne,540525605,233541,Shenandoah University
Alan B McKay 40,"X 196,100 0 28,527",Dean 0,alan,540525605,233541,Shenandoah University
Michael Stepniak 40,"X 157,146 0 14,272",Dean 0,michael,540525605,233541,Shenandoah University
Calvm H Allen Jr 40,"X 143,037 0 23,140",Assoaate Vice PreSident 0,allen,540525605,233541,Shenandoah University
Miles K DaVIs 40,"X 141,413 0 11,490",Dean 0,miles,540525605,233541,Shenandoah University
Demetrius L Carmichael 40,"X 136,810 0 23,892",Assoaate Vice PreSident 0,demetrius,540525605,233541,Shenandoah University
Arthur Harralson 40,"X 135,736 0 25,352",Assoaate Dean 0,arthur,540525605,233541,Shenandoah University
Dawn Havrda 40,"X 135,061 0 11,476",Assoc Prof/Chair Pharmacy 0,dawn,540525605,233541,Shenandoah University
Brian LGrigsby 40,"X 101,439 0 12,977",Former Senior VP and VP for Academic Affairs 0,brian,540525605,233541,Shenandoah University
