line1,line2,line3,key,fein,unitid,institutionname
(1) DR DAVID L BAILEY JR 1 50,X 0 0 0,TRUSTEE,david,540568200,231554,Bluefield College
(2) MRS BECKY BECKE'I'I' 1 50,X 0 0 0,TRUSTEE,becky,540568200,231554,Bluefield College
(3) REV DAVID DOCKERY 1 50,X 0 0 0,TRUSTEE,david,540568200,231554,Bluefield College
(4) DR MICHAEL DUVAL 1 50,X 0 0 0,CHAIR AND TRUSTEE,michael,540568200,231554,Bluefield College
(5) MR GORDON W GRIMES II 1 50,X 0 0 0,TRUSTEE,gordon,540568200,231554,Bluefield College
(6) MR MICHAEL P HARRIS 1 50,X 0 0 0,TRUSTEE,michael,540568200,231554,Bluefield College
(7) REV WILLIAM M HARTSFIELD 1 50,X 0 0 0,TRUSTEE,william,540568200,231554,Bluefield College
(8) MR ROBERT A HOUCK 1 50,X 0 0 0,TRUSTEE,robert,540568200,231554,Bluefield College
(9) MRS ESTELLE COOKIE JOHNSON 1 50,X 0 0 0,TRUSTEE,estelle,540568200,231554,Bluefield College
(10) MR] SIDNEY LANIER JR 1 50,X 0 0 0,TRUSTEE,sidney,540568200,231554,Bluefield College
(11) DR CHRISTOPHER E LAWSON 1 50,X 0 0 0,SECRETARY AND TRUSTEE,christopher,540568200,231554,Bluefield College
(12) REV JACK A MARCOM 1 50,X 0 0 0,TRUSTEE,jack,540568200,231554,Bluefield College
(13) MR CAMDEN J MCLAUGHLIN 1 50,X 0 0 0,TRUSTEE,camden,540568200,231554,Bluefield College
(14) MRS SARAH J REID 1 50,X 0 0 0,TRUSTEE,sarah,540568200,231554,Bluefield College
(15) MR KENNETH R RUSSELLJR 1 50,X 0 0 0,TRUSTEE,kenneth,540568200,231554,Bluefield College
(16) MRSCHARLOTI'E E SACRE 1 50,X 0 0 0,TRUSTEE,sacre,540568200,231554,Bluefield College
(17) MR WISTAR H TRENT 1 50,X 0 0 0,TRUSTEE,trent,540568200,231554,Bluefield College
(18) MRS SUSAN M TUSSEY 1 50,X 0 0 0,TRUSTEE,susan,540568200,231554,Bluefield College
(19) DR CHARLES O WARREN 1 50,X 0 0 0,TRUSTEE,charles,540568200,231554,Bluefield College
(20) MR WILLIAM S WINFREY II 1 50,X 0 0 0,VICE CHAIR AND TRUSTEE,william,540568200,231554,Bluefield College
(21) DAVID OLIVE 50 00,"X 167,466 0 22,705",PRESIDENT,david,540568200,231554,Bluefield College
(22) MARY RUTH BLANKENSHIP 50 00,"x 85,766 0 4,011",VP FOR INSTITUTIONAL ADVAN,mary,540568200,231554,Bluefield College
(23) DAVID TAYLOR 50 00,"x 68,128 0 18,062",VP FOR STUDENT DEVELOPMENT,david,540568200,231554,Bluefield College
(24) RUSSELL TRENT ARGO 50 00,"x 84,856 0 17,701",VP FOR ENROLLMENT MANAGEME,russell,540568200,231554,Bluefield College
(25) LAURA WHITE 50 00,"x 69,839 0 3,532",VP FOR FINANCE & ADMINISTR,laura,540568200,231554,Bluefield College
(26) PAMELA MIMI MERRITT 50 00,"x 44,171 0 9,509",INTERIM VP FOR ACADEMIC AF,pamela,540568200,231554,Bluefield College
(27) CAROLYN LEWIS 50 00,"X 117,572 0 10,227",DEAN OF NURSING,carolyn,540568200,231554,Bluefield College
(28) DR FRANCIS SERIO 50 00,"x 155,060 0 7,317",DEAN OF THE SCHOOL OF DENT,francis,540568200,231554,Bluefield College
