line1,line2,line3,key,fein,unitid,institutionname
ALEXANDRA G ARIAS 50,X 0 0 0,TRUSTEE,alexandra,546039600,234173,Virginia Wesleyan College
JANE P BATTEN 50,X 0 0 0,TRUSTEE,jane,546039600,234173,Virginia Wesleyan College
SUSAN TORMA BEVERLY 50,X 0 0 0,TRUSTEE,susan,546039600,234173,Virginia Wesleyan College
GEORGE Y BIRDSONG 50,X 0 0 0,TRUSTEE,george,546039600,234173,Virginia Wesleyan College
THOMAS C BROYLES 50,X 0 0 0,TRUSTEE,thomas,546039600,234173,Virginia Wesleyan College
DEBORAH H BUTLER 50,X 0 0 0,TRUSTEE,deborah,546039600,234173,Virginia Wesleyan College
LYNN B CLEMENTS 50,X 0 0 0,TRUSTEE,lynn,546039600,234173,Virginia Wesleyan College
B MINETTE COOPER 50,X 0 0 0,TRUSTEE,minette,546039600,234173,Virginia Wesleyan College
ROBERT H DEFORD JR 50,X 0 0 0,TRUSTEE,robert,546039600,234173,Virginia Wesleyan College
O L EVERETT 50,X 0 0 0,TRUSTEE,everett,546039600,234173,Virginia Wesleyan College
DALE R FOLEY 50,X 0 0 0,TRUSTEE,dale,546039600,234173,Virginia Wesleyan College
WILLIAM H GEORGE 50,X 0 0 0,TRUSTEE,william,546039600,234173,Virginia Wesleyan College
SUSAN S GOODE 50,X 0 0 0,TRUSTEE,susan,546039600,234173,Virginia Wesleyan College
WILLIAM W GRANGER III 50,X 0 0 0,TRUSTEE,william,546039600,234173,Virginia Wesleyan College
ROY E HENDRIX 50,X 0 0 0,TRUSTEE,roy,546039600,234173,Virginia Wesleyan College
RONALD M KRAMER 50,X 0 0 0,TRUSTEE,ronald,546039600,234173,Virginia Wesleyan College
JOHN F MALBON 50,X 0 0 0,TRUSTEE,john,546039600,234173,Virginia Wesleyan College
ELIZABETH F MIDDLETON 50,X 0 0 0,TRUSTEE,elizabeth,546039600,234173,Virginia Wesleyan College
JERROLD L MILLER 50,X 0 0 0,TRUSTEE,jerrold,546039600,234173,Virginia Wesleyan College
DEBORAH M PAXSON 50,X 0 0 0,TRUSTEE,deborah,546039600,234173,Virginia Wesleyan College
ROBIN D RAY 50,X 0 0 0,TRUSTEE,robin,546039600,234173,Virginia Wesleyan College
RICHARD D ROBERTS 50,X 0 0 0,TRUSTEE,richard,546039600,234173,Virginia Wesleyan College
JEANNE POLIZOS R055 50,X 0 0 0,TRUSTEE,jeanne,546039600,234173,Virginia Wesleyan College
LOUIS F RYAN 50,X 0 0 0,TRUSTEE,louis,546039600,234173,Virginia Wesleyan College
ALVIN J SCHEXNIDER 50,X 0 0 0,TRUSTEE,alvin,546039600,234173,Virginia Wesleyan College
WILLIAM S SHELHORSE 50,X 0 0 0,TRUSTEE,william,546039600,234173,Virginia Wesleyan College
JOSEPH R THOMAS 50,X 0 0 0,TRUSTEE,joseph,546039600,234173,Virginia Wesleyan College
WILLIAM H THUMEL JR 50,X 0 0 0,TRUSTEE,william,546039600,234173,Virginia Wesleyan College
JOHN ATRINDER 50,X 0 0 0,TRUSTEE,john,546039600,234173,Virginia Wesleyan College
GEORGE K CHIP TSANTES III 50,X 0 0 0,TRUSTEE,george,546039600,234173,Virginia Wesleyan College
D HENRY WATTS 50,X 0 0 0,TRUSTEE,henry,546039600,234173,Virginia Wesleyan College
GARY D BONNEWELL 50,X X 0 0 0,CHAIRMAN,gary,546039600,234173,Virginia Wesleyan College
DAVID L KAUFMAN 50,X X 0 0 0,VICE CHAIRMAN,david,546039600,234173,Virginia Wesleyan College
VINCENT J MASTRACCO JR 50,X X 0 0 0,SECRETARY,vincent,546039600,234173,Virginia Wesleyan College
ANNE B SHUMADINE 50,X X 0 0 0,TREASURER,anne,546039600,234173,Virginia Wesleyan College
DR WILLIAM T GREER JR 80 00,"X 332,851 0 39,612",PRESIDENT,william,546039600,234173,Virginia Wesleyan College
DR TIMOTHY O'ROURKE 50 00,"X 172,110 0 28,559",VICE PRESIDENT FOR ACADEMIC AFFAIRS,timothy,546039600,234173,Virginia Wesleyan College
DAVID BUCKINGHAM 50 00,VICE PRESIDENT FOR STUDENT AFFAIRS AND DEAN OF X 151’914 0 26’167,ENR,david,546039600,234173,Virginia Wesleyan College
CARY SAWYER 50 00,"X 148,173 0 28,397",VICE PRESIDENT FOR FINANCE,cary,546039600,234173,Virginia Wesleyan College
MITA VAIL 50 00,"X 138,157 0 18,965",VICE PRESIDENT FOR COLLEGE ADVANCEMENT,mita,546039600,234173,Virginia Wesleyan College
SUZANNE SAVAGE 50 00,ASSOCIATE VICE PRESIDENT FOR COLLEGE X 117’543 0 17’548,ADVANCEMENT,suzanne,546039600,234173,Virginia Wesleyan College
DR LARRY HULTGREN 50 00,"X 110,058 0 22,550",PROFESSOR OF PHILOSOPHY,larry,546039600,234173,Virginia Wesleyan College
DAVID MACEDO 50 00,"X 121,178 0 25,894",HEAD MEN'S BASKETBALL COACH,david,546039600,234173,Virginia Wesleyan College
DR JOYCE HOWELL 50 00,"X 122,976 0 23,968",PROFESSOR OF ART,joyce,546039600,234173,Virginia Wesleyan College
NELSON DAVIS 50 00,"X 116,339 0 25,179",DIRECTOR OF ADMISSIONS,nelson,546039600,234173,Virginia Wesleyan College
