line1,line2,line3,key,fein,unitid,institutionname
DR G T BUCK SMITH 37 50,"X X 63,500 0 12,638",PRESIDENT EMERITUS,buck,550357021,237358,Davis & Elkins College
DR MICHAEL MIHALYO 37 50,"X X 158,275 0 12,705",PRESIDENT,michael,550357021,237358,Davis & Elkins College
MS KAREN H BERNER 1 00,X 0 0 0,SECRETARY,karen,550357021,237358,Davis & Elkins College
MRREGINALD OWENS SR 1 00,X 0 0 0,TREASURER,owens,550357021,237358,Davis & Elkins College
MR CHARLES E HILL 1 00,X 0 0 0,TRUSTEE,charles,550357021,237358,Davis & Elkins College
MRS CARTER GILTINAN 1 00,X 0 0 0,TRUSTEE EMERITUS,carter,550357021,237358,Davis & Elkins College
MR CLIFF] NEESE JR 1 00,X 0 0 0,TRUSTEE,neese,550357021,237358,Davis & Elkins College
THOMAS] MARTIN DDS 1 00,X 0 0 0,TRUSTEE EMERITUS,martin,550357021,237358,Davis & Elkins College
MR HENRY M MOORE 1 00,X 0 0 0,CHAIR EMERITUS,henry,550357021,237358,Davis & Elkins College
MRDONALD M ROBBINS 1 00,X 0 0 0,TRUSTEE,robbins,550357021,237358,Davis & Elkins College
MR HENRY W STEINBRECHER 1 00,X 0 0 0,TRUSTEE,henry,550357021,237358,Davis & Elkins College
MR PAUL S STIRRUP 1 00,X 0 0 0,CHAIR EMERITUS,paul,550357021,237358,Davis & Elkins College
MR L NEWTON THOMAS JR 1 00,X 0 0 0,CHAIR EMERITUS,newton,550357021,237358,Davis & Elkins College
MR LEONARD] TIMMS JR 1 00,X 0 0 0,CHAIR EMERITUS,timms,550357021,237358,Davis & Elkins College
MR JOSEPH M WELLS III 1 00,X 0 0 0,TRUSTEE EMERITUS,joseph,550357021,237358,Davis & Elkins College
MS JOYCE B ALLEN 1 00,X 0 0 0,TRUSTEE,joyce,550357021,237358,Davis & Elkins College
MR JAMES BIALEK 1 00,X 0 0 0,TRUSTEE,james,550357021,237358,Davis & Elkins College
MR ERIC] NILSEN 1 00,X 0 0 0,TRUSTEE,nilsen,550357021,237358,Davis & Elkins College
KIMBERLY M FARRY MD 1 00,X 0 0 0,TRUSTEE,kimberly,550357021,237358,Davis & Elkins College
MR PETER H DOUGHERTY 1 00,X 0 0 0,TRUSTEE,peter,550357021,237358,Davis & Elkins College
MS NANCY EVANS—BENNETT 1 00,X 0 0 0,TRUSTEE,nancy,550357021,237358,Davis & Elkins College
RONALD A ROLLINS MD 1 00,X 0 0 0,TRUSTEE,ronald,550357021,237358,Davis & Elkins College
MR WILLIAM S MOYER 1 00,X 0 0 0,TRUSTEE,william,550357021,237358,Davis & Elkins College
MR JOHN H HARLING 1 00,X 0 0 0,TRUSTEE EMERITUS,john,550357021,237358,Davis & Elkins College
DAVID A FARIS MD 1 00,X 0 0 0,TRUSTEE,david,550357021,237358,Davis & Elkins College
MS JUNE B MYLES 1 00,X 0 0 0,CHAIR OF THE BOARD,myles,550357021,237358,Davis & Elkins College
MR WILLIAM W NUTTALL 1 00,X 0 0 0,TRUSTEE,william,550357021,237358,Davis & Elkins College
MR RICHARD C SEYBOLT 1 00,X 0 0 0,VICE CHAIR,richard,550357021,237358,Davis & Elkins College
MR DAVID A RUTHERFORD 1 00,X 0 0 0,TRUSTEE EMERITUS,david,550357021,237358,Davis & Elkins College
MS DOROTHY H WAMSLEY 1 00,X 0 0 0,TRUSTEE EMERITUS,dorothy,550357021,237358,Davis & Elkins College
MR D DRAKE DOWLER 1 00,X 0 0 0,TRUSTEE,drake,550357021,237358,Davis & Elkins College
MR ROBERT T GREGORY 1 00,X 0 0 0,TRUSTEE,robert,550357021,237358,Davis & Elkins College
MR BRUCE LEE KENNEDY II 1 00,X 0 0 0,TRUSTEE,bruce,550357021,237358,Davis & Elkins College
MR JAMES S MCDONNELL III 1 00,X 0 0 0,TRUSTEE,james,550357021,237358,Davis & Elkins College
MR GARY W NORTH 1 00,X 0 0 0,TRUSTEE EMERITUS,gary,550357021,237358,Davis & Elkins College
MR WENDELL M CRAMER 1 00,X 0 0 0,TRUSTEE,wendell,550357021,237358,Davis & Elkins College
MR MARK S BARBER 1 00,X 0 0 0,TRUSTEE,mark,550357021,237358,Davis & Elkins College
MR JOHN S MOYER 1 00,X 0 0 0,TRUSTEE,john,550357021,237358,Davis & Elkins College
SCOTT D GODDARD 37 50,"x 77,000 0 22,486",VICE PRESIDENT FOR STUDENT,scott,550357021,237358,Davis & Elkins College
CAROL SCHULER 37 50,"x 57,500 0 6,710",AVP/COMMUNICATIONS AND DEVELOPMENT,carol,550357021,237358,Davis & Elkins College
KEVIN WILSON 37 50,"X 142,775 0 20,886",EVP/CHIEF OPERATING OFFICE,kevin,550357021,237358,Davis & Elkins College
JOSEPH ROIDT 37 50,"x 77,000 0 22,486",VICE PRESIDENT FOR ACADEMI,joseph,550357021,237358,Davis & Elkins College
