line1,line2,line3,key,fein,unitid,institutionname
(1) MR BERNARD H WRIGHT 1 00,X X 0 0 0,CHAIRMAN,bernard,560543261,199032,Montreat College
(2) MRS ROSE ANN GANT 1 00,X 0 0 0,TRUSTEE 1 00,rose,560543261,199032,Montreat College
(3) MRS CYNTHIA F ANDERSON 1 00,X 0 0 0,TRUSTEE 1 00,anderson,560543261,199032,Montreat College
(4) MR RICHARD MOFFATT 1 00,X 0 0 0,TRUSTEE,richard,560543261,199032,Montreat College
(5) MR W ALLEN BELL 1 00,X 0 0 0,TRUSTEE,allen,560543261,199032,Montreat College
(6) MR MARK SNODDY 1 00,X 0 0 0,TRUSTEE,mark,560543261,199032,Montreat College
(7) DR WILLIAM E DUDLEY 1 00,X 0 0 0,TRUSTEE,william,560543261,199032,Montreat College
(8) MS H CLAIRE EFIRD 1 00,X 0 0 0,TRUSTEE 1 00,claire,560543261,199032,Montreat College
(9) REV WILLIAM F GRAHAM IV 1 00,X 0 0 0,TRUSTEE,william,560543261,199032,Montreat College
(10) PASTOR GEORGE K LOGAN 1 00,X 0 0 0,TRUSTEE,pastor,560543261,199032,Montreat College
(12) DR POLLY C HAIGLER 1 00,X 0 0 0,TRUSTEE 1 00,polly,560543261,199032,Montreat College
(13) MR WILLIAM HAYNES 1 00,X 0 0 0,TRUSTEE 1 00,william,560543261,199032,Montreat College
(14) MR JUSTIN P RAMB 1 00,X 0 0 0,TRUSTEE,justin,560543261,199032,Montreat College
(15) MRS DALE G REID 1 00,X 0 0 0,TRUSTEE,dale,560543261,199032,Montreat College
(16) MRS DAYLE LSENEFF 1 00,X 0 0 0,TRUSTEE,dayle,560543261,199032,Montreat College
(17) MRS SUZANNE R SLOAN 1 00,X 0 0 0,TRUSTEE 1 00,suzanne,560543261,199032,Montreat College
(18) MRS LYNNE P VEERMAN 1 00,X 0 0 0,TRUSTEE,lynne,560543261,199032,Montreat College
(19) MR BILLY MITCHELL 1 00,X 0 0 0,TRUSTEE,billy,560543261,199032,Montreat College
(20) MR SKIP ORSER 1 00,X 0 0 0,TRUSTEE,orser,560543261,199032,Montreat College
(21) MR ROBERT W WYNNE 1 00,X 0 0 0,TRUSTEE,robert,560543261,199032,Montreat College
(22) MR H BEJAMIN SCOTT JR 1 00,X 0 0 0,TRUSTEE 1 00,scott,560543261,199032,Montreat College
(23) MR WILLIE R MANGUM JR 1 00,X 0 0 0,TRUSTEE,willie,560543261,199032,Montreat College
(24) DR JAMES F FULGHUM 1 00,X 0 0 0,TRUSTEE,james,560543261,199032,Montreat College
(25) JOE KIRKLAND 50 00,"X 113,548 0 19,392",INTERIM PRESIDENT 1 00,joe,560543261,199032,Montreat College
(26) GEOFFREY BREMER 50 00,"x 60,922 0 3,595",VP FOR FINANCE 1 00,geoffrey,560543261,199032,Montreat College
(27) DAN STRUBLE 50 00,"X 169,995 0 39,898",PRESIDENT 1 00,dan,560543261,199032,Montreat College
