line1,line2,line3,key,fein,unitid,institutionname
RT REV PLACID D SOLARI 3 00,X 0 0 0,CHANCELLOR,placid,560547498,197984,Belmont Abbey College
REV MSGR MAURICIO WEST 3 00,X 0 0 0,CHAIRMAN,mauricio,560547498,197984,Belmont Abbey College
RICHARD HOEFLING 3 00,X X 0 0 0,SECRETARY,richard,560547498,197984,Belmont Abbey College
BROTHER TOBIAH ABBOTT OSB 1 00,X 0 0 0,TRUSTEE,abbott,560547498,197984,Belmont Abbey College
EVELYN KELLY ANDERSON 1 00,X 0 0 0,TRUSTEE,evelyn,560547498,197984,Belmont Abbey College
KENNETH D BELL 1 00,X 0 0 0,TRUSTEE,kenneth,560547498,197984,Belmont Abbey College
THE REVEREND DAVID BROWN OSB 1 00,X 0 0 0,TRUSTEE,david,560547498,197984,Belmont Abbey College
RT REV OSCAR BURNETT 1 00,X 0 0 0,TRUSTEE,oscar,560547498,197984,Belmont Abbey College
ROBERT A DESTRO 1 00,X 0 0 0,TRUSTEE,robert,560547498,197984,Belmont Abbey College
ROBERT W DINEEN 1 00,X 0 0 0,TRUSTEE,robert,560547498,197984,Belmont Abbey College
SHARON L FOLK 1 00,X 0 0 0,TRUSTEE,sharon,560547498,197984,Belmont Abbey College
REV FRANCES FORSTER 1 00,X 0 0 0,TRUSTEE,frances,560547498,197984,Belmont Abbey College
MR ROBERT GALLAGHER 1 00,X 0 0 0,TRUSTEE,robert,560547498,197984,Belmont Abbey College
PAUL L HERNDON 1 00,X 0 0 0,TRUSTEE,paul,560547498,197984,Belmont Abbey College
RAYMOND JONES 1 00,X 0 0 0,TRUSTEE,raymond,560547498,197984,Belmont Abbey College
CHRISTOPHER KIRCHGESSNER 1 00,X 0 0 0,TRUSTEE,christopher,560547498,197984,Belmont Abbey College
REV JOSEPH W KOTERSKI SJ 1 00,X 0 0 0,TRUSTEE,joseph,560547498,197984,Belmont Abbey College
WILLIAM LAWLER 1 00,X 0 0 0,TRUSTEE,william,560547498,197984,Belmont Abbey College
HANS LENGERS 1 00,X 0 0 0,TRUSTEE,hans,560547498,197984,Belmont Abbey College
MR ROBERT LUDDY 1 00,X 0 0 0,TRUSTEE,robert,560547498,197984,Belmont Abbey College
DR JEANNE—MARGARET MCNALLY 1 00,X 0 0 0,TRUSTEE,mcnally,560547498,197984,Belmont Abbey College
REGINA P MOODY 1 00,X 0 0 0,TRUSTEE,regina,560547498,197984,Belmont Abbey College
MR PAUL POLKING 1 00,X 0 0 0,TRUSTEE,paul,560547498,197984,Belmont Abbey College
ROGER REGELBRUGGE 1 00,X 0 0 0,TRUSTEE,roger,560547498,197984,Belmont Abbey College
EDWARD C RUFF 8 00,X 0 0 0,TRUSTEE,edward,560547498,197984,Belmont Abbey College
LOUIS SCHMlTl' 3 00,X 0 0 0,TRUSTEE,louis,560547498,197984,Belmont Abbey College
MICHAEL SNYDER 3 00,X 0 0 0,TRUSTEE,michael,560547498,197984,Belmont Abbey College
MICHAEL SOIGNET 1 00,X 0 0 0,TRUSTEE,michael,560547498,197984,Belmont Abbey College
PETER TONON 1 00,X 0 0 0,TRUSTEE,peter,560547498,197984,Belmont Abbey College
WILLIAM K THIERFELDER 60 00,"X X 323,209 0 65,171",PRESIDENT,william,560547498,197984,Belmont Abbey College
WAYNE J SCROGGINS 60 00,"X 166,749 0 19,130",VP ADM & FINANCE,wayne,560547498,197984,Belmont Abbey College
ALLAN MARK 60 00,"X 126,497 0 17,049",CFO,allan,560547498,197984,Belmont Abbey College
RICHARD G SWANSON 50 00,"X 186,629 0 28,880",VP COLLEGE RELATIONS,richard,560547498,197984,Belmont Abbey College
ANNE DALY 50 00,"X 171,330 0 12,713",VP ACADEMIC AFFAIRS,anne,560547498,197984,Belmont Abbey College
RITA LEWIS 40 00,"x 43,244 0 9,638",CORPORATE SECRETARY,rita,560547498,197984,Belmont Abbey College
