line1,line2,line3,key,fein,unitid,institutionname
(1) Brenton Adams 0 - 0 0,Vice Chairman X X 0 . 0 . 0 .,(2) Kim Hargrove 0 . 0 0,brenton,561212691,198677,Heritage Bible College
(2) Kim Hargrove 0 . 0 0,Secretary X X 0 . 0 . 0 o,(3) Randy Barker 28 . 0 0,kim,561212691,198677,Heritage Bible College
(3) Randy Barker 28 . 0 0,"Exective Vice President X X 11 , 2 85 . O . 0 .",(4) Jerome Bullard 0 . 00,randy,561212691,198677,Heritage Bible College
(4) Jerome Bullard 0 . 00,Trustee X 0 . 0 . O .,(5) Nelson Creech 0 . 00,jerome,561212691,198677,Heritage Bible College
(5) Nelson Creech 0 . 00,Trustee X 0 . 0 . 0 .,(6) Preston Heath 0 .,nelson,561212691,198677,Heritage Bible College
(6) Preston Heath 0 .,"Trustee  X 0. 114,125. 9,259.",(7) Michael Hamil 0.00,preston,561212691,198677,Heritage Bible College
(7) Michael Hamil 0.00,Trustee X 0 . 0 . 0 .,(8) Nancy Jackson 0 . 00,michael,561212691,198677,Heritage Bible College
(8) Nancy Jackson 0 . 00,Treasurer X X 0 . 0 . 0 .,(9) Shannon Johnson 0 . 0 0,nancy,561212691,198677,Heritage Bible College
(9) Shannon Johnson 0 . 0 0,Trustee X 0 . 0 . 0 -,(10) Debbie Phillips 0 . 0 0,shannon,561212691,198677,Heritage Bible College
(10) Debbie Phillips 0 . 0 0,Trustee X 0 . 0 . 0 .,(11) Errett L. Marshburn 0 . 00,debbie,561212691,198677,Heritage Bible College
(11) Errett L. Marshburn 0 . 00,Trustee X 0 . 0 . 0 .,(12) John McNeill 0 . 00,errett,561212691,198677,Heritage Bible College
(12) John McNeill 0 . 00,Trustee X 0 . 0 . 0 .,(13) Terry Gainer 0 . 00,john,561212691,198677,Heritage Bible College
(13) Terry Gainer 0 . 00,Trustee X 0 . 0 . 0 .,(14) Chris Searles 0 . 0 0,terry,561212691,198677,Heritage Bible College
(14) Chris Searles 0 . 0 0,Chairman X X 0 . 0 . O .,(15) Charles Smith 0 . 00,chris,561212691,198677,Heritage Bible College
(15) Charles Smith 0 . 00,Trustee X 0 . 0 . 0 .,(15) William Koch Jr. 0 . 00,charles,561212691,198677,Heritage Bible College
(15) William Koch Jr. 0 . 00,Trustee X 0 . 0 . 0 .,(17) James P. Godwin Jr. 0 . 00,william,561212691,198677,Heritage Bible College
(17) James P. Godwin Jr. 0 . 00,Trustee X 0 . 0 . 0 .,332007 10-29-13 Form 990 (2013),james,561212691,198677,Heritage Bible College
