line1,line2,line3,key,fein,unitid,institutionname
Dr James B Blassmgame 1 00,X 0 0 0,Member 0 00,james,570314365,217721,Benedict College
Anthony T Burroughs 1 00,X 0 0 0,Member 0 00,anthony,570314365,217721,Benedict College
Attorney Valoria Cheek 1 00,X 0 0 0,Member 0 00,valoria,570314365,217721,Benedict College
James E Clark 1 00,X 0 0 0,Member 0 00,james,570314365,217721,Benedict College
Frances Close 1 00,X 0 0 0,Member 0 00,frances,570314365,217721,Benedict College
Audrey P Neal 1 00,X 0 0 0,Member 0 00,audrey,570314365,217721,Benedict College
Dr William P Diggs 1 00,X 0 0 0,Member 0 00,william,570314365,217721,Benedict College
Dr Paul W Drummond 1 00,X 0 0 0,Member 0 00,paul,570314365,217721,Benedict College
Vince Ford 1 00,X 0 0 0,Member 0 00,vince,570314365,217721,Benedict College
Dr Willie J Hill Jr 1 00,X 0 0 0,Member 0 00,willie,570314365,217721,Benedict College
Elise King Hamler 1 00,X 0 0 0,Member 0 00,elise,570314365,217721,Benedict College
Terae T Sweeting 1 00,X 0 0 0,Member 0 00,sweeting,570314365,217721,Benedict College
Donald R02ier 1 00,X 0 0 0,Member 0 00,donald,570314365,217721,Benedict College
Dr Harry Singleton III 1 00,X 0 0 0,Member 0 00,harry,570314365,217721,Benedict College
Dr Eunice S Thomas 1 00,X 0 0 0,Member 0 00,eunice,570314365,217721,Benedict College
William LThomas 1 00,X 0 0 0,Member 0 00,william,570314365,217721,Benedict College
Emory L Waters 1 00,X 0 0 0,Member 0 00,emory,570314365,217721,Benedict College
William B Whitney 1 00,X 0 0 0,Member 0 00,william,570314365,217721,Benedict College
Mack IWhittle 1 00,X 0 0 0,Member 0 00,mack,570314365,217721,Benedict College
Sheryl P UndenNood 1 00,X 0 0 0,Member 0 00,sheryl,570314365,217721,Benedict College
Dr Benjamin D Snoddy 1 00,X 0 0 0,Member 0 00,benjamin,570314365,217721,Benedict College
R Jonathan Charleston 1 00,X 0 0 0,Member 0 00,jonathan,570314365,217721,Benedict College
Stephen K Benjamin 1 00,X 0 0 0,Member 0 00,stephen,570314365,217721,Benedict College
Kimberly Smith 1 00,X 0 0 0,Member 0 00,kimberly,570314365,217721,Benedict College
Dr Mary Gaffney 5 00,X 0 0 0,Pre5ident 0 00,mary,570314365,217721,Benedict College
Dr Lucy Perez 5 00,X 0 0 0,Asst Secretary 0 00,lucy,570314365,217721,Benedict College
DaVId Swmton 40 00,"X 345,621 0 40,613",Pre5ident & CEO 0 00,david,570314365,217721,Benedict College
G Tyrone Bonds 5 00,X 0 0 0,Member 0 00,tyrone,570314365,217721,Benedict College
Charlie W Johnson 5 00,X 0 0 0,Member 0 00,charlie,570314365,217721,Benedict College
Dr Milton Kimpson 5 00,X 0 0 0,Vice Chairman 0 00,milton,570314365,217721,Benedict College
Barbara Moore 40 00,"X 91,282 0 0",VP Intitutional Advancement 0 00,barbara,570314365,217721,Benedict College
Ruby Watts 40 00,"X 108,458 0 0",Executive VP 0 00,ruby,570314365,217721,Benedict College
Gary Knight 40 00,"X 96,734 0 0",VP Student Affairs 0 00,gary,570314365,217721,Benedict College
Janeen Witty Tucker 40 00,"X 112,350 0 0",VP Academic Affairs 0 00,janeen,570314365,217721,Benedict College
George Devlin 40 00,"X 86,630 0 0",A55istant VP Academic Affairs 0 00,george,570314365,217721,Benedict College
Kathryn Jones 40 00,"X 70,149 0 0",A55istant VP Busmess Affairs 0 00,kathryn,570314365,217721,Benedict College
John Tucker Jr 40 00,"X 77,123 0 0",A55istant VP for Phy 0 00,john,570314365,217721,Benedict College
A55istant VP for Phy 0 00,Willie Washington 40 00,"X 93,844 0 0",phy,570314365,217721,Benedict College
Willie Washington 40 00,"X 93,844 0 0",Athletics Director 0 00,willie,570314365,217721,Benedict College
Vareva Harris 40 00,"X 67,431 0 0","AVP, Inst Advancement 0 00",harris,570314365,217721,Benedict College
