line1,line2,line3,key,fein,unitid,institutionname
MR KEITH M CLARKE 50,X 0 0 0,MEMBER,keith,570314374,217873,Claflin University
MR GREGORY A CUMMINGS 50,X 0 0 0,MEMBER,gregory,570314374,217873,Claflin University
MR CALVIN HL ELAM 50,X 0 0 0,MEMBER,calvin,570314374,217873,Claflin University
MR JAMES K LEHMAN 50,X 0 0 0,MEMBER,james,570314374,217873,Claflin University
DR CAROLYN JENKINS 50,X 0 0 0,MEMBER,carolyn,570314374,217873,Claflin University
JANICE MARSHALL 50,X 0 0 0,MEMBER,janice,570314374,217873,Claflin University
MRs HEMA PATEL 50,X 0 0 0,MEMBER,hema,570314374,217873,Claflin University
MR MICHAEL R BRENAN 50,X 0 0 0,MEMBER,michael,570314374,217873,Claflin University
MR DAVID CAMPBELL 50,X 0 0 0,MEMBER,david,570314374,217873,Claflin University
DR WILLIE L FRAZIER 50,X 0 0 0,MEMBER,willie,570314374,217873,Claflin University
Ms VIRGINIA MAXWELL GROSE 50,X 0 0 0,MEMBER,virginia,570314374,217873,Claflin University
MR MOSES L HARVIN 50,X 0 0 0,MEMBER,moses,570314374,217873,Claflin University
DR ALBERT HUMPHREY 50,X 0 0 0,MEMBER,albert,570314374,217873,Claflin University
MR WILLIAM JOHNSON 50,X 0 0 0,MEMBER,william,570314374,217873,Claflin University
REV LARRY D MCCUTCHEON 50,X 0 0 0,MEMBER,larry,570314374,217873,Claflin University
MRs LESLIE PRICE 50,X 0 0 0,MEMBER,leslie,570314374,217873,Claflin University
MRs RUTH JORDAN 50,X 0 0 0,MEMBER,ruth,570314374,217873,Claflin University
MR ISAAC TEMPLETON JR 50,X 0 0 0,MEMBER,isaac,570314374,217873,Claflin University
MR DANIEL LEBISH 50,X 0 0 0,MEMBER,daniel,570314374,217873,Claflin University
Ms CYNTHIA ANDERSON 50,X 0 0 0,MEMBER,anderson,570314374,217873,Claflin University
MR PAUL FANT 50,X X 0 0 0,CHAIRMAN,paul,570314374,217873,Claflin University
MR JAMEs BENNETT 50,X X 0 0 0,VICE CHAIRMAN,james,570314374,217873,Claflin University
Ms NANCY WILSON YOUNG 50,X X 0 0 0,SECRETARY,nancy,570314374,217873,Claflin University
MR TED CREECH 50,X X 0 0 0,ASSOCIATE SECRETARY,ted,570314374,217873,Claflin University
DR HENRY N TISDALE 40 00,"X 319,925 0 94,849",PRESIDENT/TREASURER (EX—OFFICIO),henry,570314374,217873,Claflin University
TISDALE — DEFERRED COMPENSATION 40 00,"X 746,513 0 0",SEE SCHEDULE 0,tisdale,570314374,217873,Claflin University
TIJUANA HUDSON 40 00,"x 160,000 0 9,967",VP — FISCAL AFFAIRS,tijuana,570314374,217873,Claflin University
KARL WRIGHT 40 00,"x 197,850 0 7,559",PROVOST—CHIEF ACADEMIC OFFICER,karl,570314374,217873,Claflin University
ZIA HASAN 40 00,"X 181,268 0 0",VP — INSTITUTIONAL EFFECTIVENESS,zia,570314374,217873,Claflin University
LEROY A DURANT 40 00,"x 153,842 0 4,069",VP — STUDENT DEVELOPMENT,leroy,570314374,217873,Claflin University
WHITTAKER VERNON MIDDLETON 40 00,"x 152,417 0 4,069",VP — INSTITUTIONAL ADVANCEMENT,whittaker,570314374,217873,Claflin University
DREXEL BALL 40 00,"x 152,880 0 7,383",VICE PRESIDENT FOR ADMINISTRATION,drexel,570314374,217873,Claflin University
OMAR BAGASRA 40 00,"x 117,424 0 7,383",PROFESSOR/DIRECTOR SC BIOTECH CENTER,omar,570314374,217873,Claflin University
