line1,line2,line3,key,fein,unitid,institutionname
(1) DaVId Conner 2 00,X X 0 0 0,Trustee — Chairman,david,570314390,217998,Erskine College
(2) Bill Cain 2 00,X X 0 0 0,Trustee — Co—Chair,bill,570314390,217998,Erskine College
(3) Max Bolin 2 00,X X 0 0 0,Trustee — Secretary,max,570314390,217998,Erskine College
(4) Judy Boyd 2 00,X 0 0 0,Trustee,judy,570314390,217998,Erskine College
(5) Fred Carr 2 00,X 0 0 0,Trustee,fred,570314390,217998,Erskine College
(6) Dixon Cunningham 2 00,X 0 0 0,Trustee,dixon,570314390,217998,Erskine College
(7) Joey Donahue 2 00,X 0 0 0,Trustee,joey,570314390,217998,Erskine College
(8) Tom Hellams Jr 2 00,X 0 0 0,Trustee,tom,570314390,217998,Erskine College
(9) Bev Hicks 2 00,X 0 0 0,Trustee,bev,570314390,217998,Erskine College
(10) Sam James 2 00,X 0 0 0,Trustee,sam,570314390,217998,Erskine College
(11) R Johnston 2 00,X 0 0 0,Trustee,johnston,570314390,217998,Erskine College
(12) Jeff Kingswood 2 00,X 0 0 0,Trustee,jeff,570314390,217998,Erskine College
(13) Morrie LaWIng 2 00,X 0 0 0,Trustee,lawing,570314390,217998,Erskine College
(14) RJ McDonald III 2 00,X 0 0 0,Trustee,mcdonald,570314390,217998,Erskine College
(15) Mark McDowell 2 00,X 0 0 0,Trustee,mark,570314390,217998,Erskine College
(16) Dody Morris 2 00,X 0 0 0,Trustee,dody,570314390,217998,Erskine College
(17) Mantle Nance 2 00,X 0 0 0,Trustee,mantle,570314390,217998,Erskine College
(18) Andy Putnam 2 00,"X 0 21,900",Trustee,andy,570314390,217998,Erskine College
(19) Chad Reynolds 2 00,X 0 0,Trustee,chad,570314390,217998,Erskine College
(20) Lisa Robinson Senn 2 00,X 0 0,Trustee,lisa,570314390,217998,Erskine College
(21) Steve Southwell 2 00,X 0 0,Trustee,steve,570314390,217998,Erskine College
(22) Steve SUIts 2 00,X 0 0,Trustee,steve,570314390,217998,Erskine College
(23) Richard TaylorJr 2 00,X 0 0,Trustee,richard,570314390,217998,Erskine College
(24) Ann Marie Tribble 2 00,X 0 0,Trustee,ann,570314390,217998,Erskine College
(25) Peter Waid 2 00,X 0 0,Trustee,peter,570314390,217998,Erskine College
(26) Bert Welch 2 00,X 0 0,Trustee,bert,570314390,217998,Erskine College
(27) Dan WhiteSIdes 2 00,X 0 0,Trustee,dan,570314390,217998,Erskine College
(28) Brad Christie 40 00,"x 125,420 16,451",Acting PreSIdent,brad,570314390,217998,Erskine College
(29) Gregory Haselden 40 00,"x 116,516 6,648","Sr VP Fin/Operations, Treasurer",gregory,570314390,217998,Erskine College
(30) DaVId Norman 40 00,"x 181,938 6,623",PreSIdent (Jan — June '13),david,570314390,217998,Erskine College
