line1,line2,line3,key,fein,unitid,institutionname
Robert H Buckman 2 0,X,Trustee,robert,570314395,218070,Furman University
Jolley Bruce Christman 2 0,X,Trustee,jolley,570314395,218070,Furman University
C Jordan Clark 2 0,X,Trustee 1 0,jordan,570314395,218070,Furman University
Richard Cullen 2 0,X,Trustee,richard,570314395,218070,Furman University
W Randy Eaddy 2 0,X,Trustee,randy,570314395,218070,Furman University
DaVId G Ellison 2 0,X,Trustee,david,570314395,218070,Furman University
Douglas K Freeman 2 0,X,Trustee,douglas,570314395,218070,Furman University
Sean P Hartness 2 0,X,Trustee,sean,570314395,218070,Furman University
DaVId L Hauser 2 0,X,Trustee,david,570314395,218070,Furman University
Robert E Hill Jr 2 0,X,Trustee,robert,570314395,218070,Furman University
Stanford J Jennings 2 0,X,Trustee,stanford,570314395,218070,Furman University
Juan D Johnson 2 0,X,Trustee,juan,570314395,218070,Furman University
James C Mabry 1V 2 0,X,Trustee,james,570314395,218070,Furman University
E Edwm Maddrey II 2 0,X,Trustee,maddrey,570314395,218070,Furman University
Ronald A Malone 2 0,X,Trustee,ronald,570314395,218070,Furman University
Kathleen C McKinney 2 0,X,Trustee,kathleen,570314395,218070,Furman University
James M Ney 2 0,X,Trustee,james,570314395,218070,Furman University
Paul L Robertson III 2 0,X,Trustee,paul,570314395,218070,Furman University
R Todd Ruppert 2 0,X,Trustee,todd,570314395,218070,Furman University
Daniel S Sanders 2 0,X,Trustee,daniel,570314395,218070,Furman University
Peace Sterling Sullivan 2 0,X,Trustee,peace,570314395,218070,Furman University
William R Timmons III 2 0,X,Trustee,william,570314395,218070,Furman University
DaVId Trone 2 0,X,Trustee,david,570314395,218070,Furman University
Baxter M Wynn 2 0,X,Trustee,baxter,570314395,218070,Furman University
John C Yates 2 0,X,Trustee,john,570314395,218070,Furman University
Ann P Bryan 2 0,X,Trustee,ann,570314395,218070,Furman University
Christopher W Collins 2 0,X,Trustee,christopher,570314395,218070,Furman University
Larry D Estridge 2 0,X,Trustee,larry,570314395,218070,Furman University
Steven S Reinemund 2 0,X,Trustee,steven,570314395,218070,Furman University
Leighan R Rinker 2 0,X,Trustee,rinker,570314395,218070,Furman University
Michael Riordan 2 0,X,Trustee,michael,570314395,218070,Furman University
William K Slate II 2 0,X,Trustee,william,570314395,218070,Furman University
A Alexander Taylor II 2 0,X,Trustee,alexander,570314395,218070,Furman University
William B Traxler Jr 2 0,X,Trustee,william,570314395,218070,Furman University
Richard N Wrenn Jr 2 0,X,Trustee,richard,570314395,218070,Furman University
Carl F Kohrt 40 0,"x 234,878 29,436",Interim PreSIdent,carl,570314395,218070,Furman University
Mary Lou Merkt 40 0,"x 213,575 37,253",VP for Finance & Administratio 1 0,mary,570314395,218070,Furman University
John Beckford 40 0,"x 170,917 40,438",VP of Academic Affairs & Dean,john,570314395,218070,Furman University
Gary E Clark 40 0,"x 161,466 36,359",VP of Intercollegiate Athletic,gary,570314395,218070,Furman University
Michael Gatchell 40 0,"x 160,590 40,113",VP of Development,michael,570314395,218070,Furman University
Connie L Carson 40 0,"x 149,546 26,709",VP of Student Life,connie,570314395,218070,Furman University
Mark Kelly 40 0,"x 150,971 37,573",VP of Marketing & PR,mark,570314395,218070,Furman University
Bruce Fowler 40 0,"x 233,300 37,736",Head Football Coach,bruce,570314395,218070,Furman University
Kristopher N Kapoor 40 0,"x 211,912 26,404",Chief Investment Officer,kristopher,570314395,218070,Furman University
Fredrick M Miller 40 0,"x 152,302 42,043",Chief Information Officer,fredrick,570314395,218070,Furman University
Donald L Gordon 40 0,"x 150,214 26,697",Director Riley Institute,donald,570314395,218070,Furman University
Director Riley Institute,Rodney Smolla 40 0,"x 513,889 94,671",riley,570314395,218070,Furman University
Rodney Smolla 40 0,"x 513,889 94,671",Senior Adwsor,rodney,570314395,218070,Furman University
Kenneth C Abernethy 40 0,"x 225,437 34,138",Professor,kenneth,570314395,218070,Furman University
Lon B Knight 40 0,"x 194,530 40,020",Professor,lon,570314395,218070,Furman University
Richard F Meade 40 0,"x 221,205 47,206",Lacrosse Coach,richard,570314395,218070,Furman University
Lacrosse Coach,Jeffrey G Jackson 40 0,"x 371,307 35,454",lacrosse,570314395,218070,Furman University
