line1,line2,line3,key,fein,unitid,institutionname
(1) BLACK DR LAURA N 1 00,X 0 0 0,TRUSTEE,black,570314404,218414,Newberry College
(2) MR LARRY DIBIASE 1 00,X 0 0 0,TRUSTEE,larry,570314404,218414,Newberry College
(3) DR BETSY MCDOWELL 1 00,X 0 0 0,TRUSTEE,betsy,570314404,218414,Newberry College
(4) MS CINDEE BAILEY 1 00,X 0 0 0,TRUSTEE,bailey,570314404,218414,Newberry College
(5) MR JOEL M CARTER 1 00,X 0 0 0,VICE CHAIR,joel,570314404,218414,Newberry College
(6) DR JOE BLAIRTREY CASTLES 1 00,X 0 0 0,TRUSTEE,joe,570314404,218414,Newberry College
(7) MS BARBARA DAVIS 1 00,X 0 0 0,TRUSTEE,barbara,570314404,218414,Newberry College
(8) MR PAULH DERRICK 1 00,X 0 0 0,TRUSTEE,derrick,570314404,218414,Newberry College
(9) MR WILLIAM B DUKES 1 00,X 0 0 0,TRUSTEE,william,570314404,218414,Newberry College
(10) MR R JONATHANSHOT HART 1 00,X 0 0 0,TREASURER,hart,570314404,218414,Newberry College
(11) MR ROBERT JAMES 1 00,X 0 0 0,TRUSTEE,robert,570314404,218414,Newberry College
(12) MR FRED B JOHNSTON 1 00,X 0 0 0,SECRETARY,fred,570314404,218414,Newberry College
(13) DR MARK WILHELM 1 00,X 0 0 0,TRUSTEE,mark,570314404,218414,Newberry College
(14) MR HUGO AHAP PEARCE II 1 00,X 0 0 0,CHAIR,hugo,570314404,218414,Newberry College
(15) MR EDDIE GUNN 1 00,X 0 0 0,TRUSTEE,eddie,570314404,218414,Newberry College
(16) MS BARBARA HARTLEY SMITH 1 00,X 0 0 0,TRUSTEE,barbara,570314404,218414,Newberry College
(17) MR JOHN MICHAEL SURLES 1 00,X 0 0 0,TRUSTEE,john,570314404,218414,Newberry College
(18) MR JOE TRAINOR 1 00,X 0 0,EXEC CMT,joe,570314404,218414,Newberry College
(19) THE REV HERMAN R YOOS II 1 00,X 0 0,TRUSTEE,herman,570314404,218414,Newberry College
(20) MR FRANK SNYDER 1 00,X 0 0,TRUSTEE,frank,570314404,218414,Newberry College
(21) MR ERIC WELLS 1 00,X 0 0,TRUSTEE,eric,570314404,218414,Newberry College
(22) DR MITCHELLM ZAIS 1 00,"X 54,000 0",FORMER PRESIDENT,zais,570314404,218414,Newberry College
(23) MS MISTY WEST 1 00,X 0 0,TRUSTEE,misty,570314404,218414,Newberry College
(24) MAURICE SCHERRENS 40 00,"X 250,002 0",PRESIDENT,maurice,570314404,218414,Newberry College
(25) TIMOTHY ELSTON 40 00,"X 112,983 0",VPAA & DEAN OF STUDENTS,timothy,570314404,218414,Newberry College
(26) JAMES JOYNER 40 00,"X 133,400 0",VP INSTITUTIONAL ADVANCEME,james,570314404,218414,Newberry College
(27) KATHY WORSTER 40 00,"X 132,499 0",VP OF ADMINSTRATIVE AFFAIR,kathy,570314404,218414,Newberry College
"OAKLAND MILL MASTER TENANT LLC PO BOX 734 NEWBERRY SC 29108 HOUSING MANAGEMENT 1,076,400","CITY OF NEWBERRY PO BOX 538 NEWBERRY SC 29108 UTILITY SERVICES 936,857","NET3 TECHNOLOGH INC 105 N SPRING ST SUITE 100 GREENVILLE SC 29601 COMPUTER EQUIPMENT SUPPLIER 446,490",oakland,570314404,218414,Newberry College
"CITY OF NEWBERRY PO BOX 538 NEWBERRY SC 29108 UTILITY SERVICES 936,857","NET3 TECHNOLOGH INC 105 N SPRING ST SUITE 100 GREENVILLE SC 29601 COMPUTER EQUIPMENT SUPPLIER 446,490","FINANCING SERVICES 233,775",city,570314404,218414,Newberry College
