line1,line2,line3,key,fein,unitid,institutionname
DR KENNETH R COUCH 1 00,X 0 0 0,BOARD MEMBER,kenneth,570314408,218539,Presbyterian College
MR ROBERT H HOPKINS 1 00,X 0 0 0,BOARD MEMBER,robert,570314408,218539,Presbyterian College
MR WILLIAM D S KUHNE 1 00,X 0 0 0,BOARD MEMBER,william,570314408,218539,Presbyterian College
MR WILLIAM D LOEBLE JR 1 00,X 0 0 0,BOARD MEMBER,william,570314408,218539,Presbyterian College
MR LARRY W MASSEY 1 00,X 0 0 0,BOARD MEMBER,larry,570314408,218539,Presbyterian College
DR ALLEN C MCSWEEN 1 00,X 0 0 0,BOARD MEMBER,allen,570314408,218539,Presbyterian College
MR THOMAS R PARRISH 1 00,X 0 0 0,BOARD MEMBER,thomas,570314408,218539,Presbyterian College
MRS ELOISE F SHEPHERD 1 00,X 0 0 0,BOARD MEMBER,eloise,570314408,218539,Presbyterian College
MR RICHARD P SPENCER 1 00,X 0 0 0,BOARD MEMBER,richard,570314408,218539,Presbyterian College
MR JOHN H STROUD 1 00,X 0 0 0,BOARD MEMBER,john,570314408,218539,Presbyterian College
DR E LANE ALDERMAN 1 00,X 0 0 0,BOARD MEMBER,lane,570314408,218539,Presbyterian College
MRS ERNESTINE A GILLAM 1 00,X 0 0 0,BOARD MEMBER,ernestine,570314408,218539,Presbyterian College
MR THOMAS H MILTON 1 00,X 0 0 0,BOARD MEMBER,thomas,570314408,218539,Presbyterian College
MR DAVID F PARKER II 1 00,X X 0 0 0,SECRETARY,david,570314408,218539,Presbyterian College
MR G PATRICK PHILLIPS 1 00,X X 0 0 0,CHAIRMAN,patrick,570314408,218539,Presbyterian College
MR ROBERT M HICKLIN 1 00,X 0 0 0,BOARD MEMBER,robert,570314408,218539,Presbyterian College
MR LONNIE THOMPSON LAWSON 1 00,X 0 0 0,BOARD MEMBER,lonnie,570314408,218539,Presbyterian College
MR WILLIAM M MATTHEWS 1 00,X 0 0 0,BOARD MEMBER,william,570314408,218539,Presbyterian College
MR JAMES L MEDFORD 1 00,X 0 0 0,BOARD MEMBER,james,570314408,218539,Presbyterian College
DR WELTON O'NEALJR 1 00,X 0 0 0,BOARD MEMBER,welton,570314408,218539,Presbyterian College
MR JEFFREY G REYNOLDS 1 00,X 0 0 0,BOARD MEMBER,jeffrey,570314408,218539,Presbyterian College
MR J MCNEILL SINGLETON 1 00,X X 0 0 0,VICE CHAIRMAN,mcneill,570314408,218539,Presbyterian College
MR JAMES W SPRADLEY JR 1 00,X 0 0 0,BOARD MEMBER,james,570314408,218539,Presbyterian College
MR THOMAS LTHOMASON 1 00,X 0 0 0,BOARD MEMBER,thomas,570314408,218539,Presbyterian College
MR RONALD F YOUNG 1 00,X 0 0 0,BOARD MEMBER,ronald,570314408,218539,Presbyterian College
MR JAMES D SAMPLES JR 1 00,X 0 0 0,BOARD MEMBER,james,570314408,218539,Presbyterian College
MR JAMES H POWELL 1 00,X 0 0 0,BOARD MEMBER,james,570314408,218539,Presbyterian College
MR WILLIAM B SHEARER 1 00,X 0 0 0,BOARD MEMBER,william,570314408,218539,Presbyterian College
MR IRWIN BELK 1 00,X 0 0 0,BOARD MEMBER,irwin,570314408,218539,Presbyterian College
MR GEORGE H CORNELSON 1 00,X 0 0 0,BOARD MEMBER,george,570314408,218539,Presbyterian College
MR WILLIAM W GASTON 1 00,X 0 0 0,BOARD MEMBER,william,570314408,218539,Presbyterian College
MR RICHARD H MONK 1 00,X 0 0 0,BOARD MEMBER,richard,570314408,218539,Presbyterian College
MR WILLIAM AL SIBLEY 1 00,X 0 0 0,BOARD MEMBER,william,570314408,218539,Presbyterian College
MR JAMES W SPRADLEY 1 00,X 0 0 0,BOARD MEMBER,james,570314408,218539,Presbyterian College
LAVERNE CLIFTON FUHRMAN 40 00,"X 167,792 0 24,031",DIRECTOR OF THE SCHOOL OF PHARMACY,laverne,570314408,218539,Presbyterian College
BRIAN PATRICK REESE 40 00,"X 113,661 0 53,101",DIRECTOR OF ATHLETICS,brian,570314408,218539,Presbyterian College
DEBORAH THOMPSON 40 00,VICE PRESIDENT OF ENROLLMENT AND X 142’923 0 22’401,COMMUNICATIONS,deborah,570314408,218539,Presbyterian College
CLAUDE C LILLY 40 00,"X 322,313 0 64,682",PRESIDENT,claude,570314408,218539,Presbyterian College
JOY SMITH 40 00,"x 106,248 0 2,869",VICE PRESIDENT OF STUDENT SERVICES,joy,570314408,218539,Presbyterian College
SUSAN MADDUX 40 00,"x 113,659 0 3,851",VICE PRESIDENT OF FINANCE AND ADMINISTRATION,susan,570314408,218539,Presbyterian College
BETH BRAXTON 40 00,"X 104,423 0 12,048",VP OF INSTITUTIONAL DEVELOPMENT,beth,570314408,218539,Presbyterian College
BARBARA FAYAD 40 00,"x 82,368 0 12,048",VP OF HUMAN RESOURCES,barbara,570314408,218539,Presbyterian College
DON RABER 40 00,"X 102,658 0 24,771",PROVOST,don,570314408,218539,Presbyterian College
JOHN JOHNSON 40 00,"X 146,545 0 22,425",PROFESSOR,john,570314408,218539,Presbyterian College
CHARLES ASBILL 40 00,"X 136,739 0 42,821",PROFESSOR,charles,570314408,218539,Presbyterian College
GREGORY NIBERT 40 00,"X 126,589 0 27,690",COACH,gregory,570314408,218539,Presbyterian College
LAURA FOX 40 00,"X 125,478 0 20,862",PROFESSOR,laura,570314408,218539,Presbyterian College
JULIE SEASE 40 00,"X 121,707 0 17,669",PROFESSOR,julie,570314408,218539,Presbyterian College
