line1,line2,line3,key,fein,unitid,institutionname
(1) Donald Amaral 2,X 0 0 0,Trustee 0,donald,570324916,217907,Coker College
(2) Gloria Bell 2,X 0 0 0,Trustee 0,gloria,570324916,217907,Coker College
(3) Stanley B Bikulege 2,X 0 0 0,Trustee 0,stanley,570324916,217907,Coker College
(4) R Howard Coker 2,X 0 0 0,Trustee 2,howard,570324916,217907,Coker College
(5) Thomas C Ewart 2,X 0 0 0,Trustee 0,thomas,570324916,217907,Coker College
(6) Pamela Gill Franklin 2,X 0 0 0,Trustee 0,pamela,570324916,217907,Coker College
(7) Larry O Gantt 2,X 0 0 0,Trustee 0,larry,570324916,217907,Coker College
(8) Walter N George 2,X 0 0 0,Trustee 0,walter,570324916,217907,Coker College
(9) 5 Anne Hancock 2,X 0 0 0,Trustee 0,anne,570324916,217907,Coker College
(10) Cindy Hartley 2,X 0 0 0,Trustee 0,cindy,570324916,217907,Coker College
(12) A Hoyt Kelley 2,X 0 0 0,Trustee 0,hoyt,570324916,217907,Coker College
(13) Jonathan C Lee 2,X 0 0 0,Trustee 0,jonathan,570324916,217907,Coker College
(14) Dean Legge 2,X 0 0 0,Trustee 0,legge,570324916,217907,Coker College
(15) James LinVille 2,X 0 0 0,Trustee 0,james,570324916,217907,Coker College
(16) Harry Moran 2,X 0 0 0,Trustee 0,harry,570324916,217907,Coker College
(17) Dr Jane P NonNood 2,X 0 0 0,Trustee 0,jane,570324916,217907,Coker College
(18) Dr Leroy Robinson 2,X 0 0 0,Trustee,leroy,570324916,217907,Coker College
(19) Sarah Jo Safrit,X 0 0 0,Trustee,sarah,570324916,217907,Coker College
(20) 602 Segars,X 0 0 0,Trustee,segars,570324916,217907,Coker College
(21) Charles LSullivan,X 0 0 0,Trustee 2 0,charles,570324916,217907,Coker College
(22) Dr Howard W Tucker Jr 2,X 0 0 0,Trustee,howard,570324916,217907,Coker College
(23) Justin Towey,X 0 0 0,Trustee 0,justin,570324916,217907,Coker College
(24) Dr Robert L Wyatt 40,"X X 229,811 0 15,191",PreSIdent 0,robert,570324916,217907,Coker College
(25) Tracy Parkinson 40,"x 124,467 0 7,770",Provost 0,tracy,570324916,217907,Coker College
(26) Stephen Terry 40,"x 117,113 0 7,170",VP of Student Enrollment SerVIces 0,stephen,570324916,217907,Coker College
(27) J Anthony Floyd 40,"x 127,486 0 7,800",VP of Administration & Legal Counsel 2,anthony,570324916,217907,Coker College
(28) Patricia Meinhold 40,"X 111,658 0 0",VP of Institutional Advancement 0,patricia,570324916,217907,Coker College
(29) Lynn Griffin 40,"x 120,199 0 7,308",VP of Athletics & Facilities 0,lynn,570324916,217907,Coker College
(30) Kyle Saverance 40,"x 84,752 0 5,367",VP of Marketing Communications 0,kyle,570324916,217907,Coker College
"Choate Construction Company 1671 Bell Isle Ave Charleston SC 29464 Construction/remodeling 745,710","Aramark SerVIces Inc PO Box 198532 Atlanta GA 303848532 Dining serVIce/maintenance 2,672,335","security 242,399",bell,570324916,217907,Coker College
