line1,line2,line3,key,fein,unitid,institutionname
(1) DAVID BEASLEY 1 00,X 0 0 0,TRUSTEE,david,570352247,217925,Columbia International University
(2) W TOBIN CASSELS 1 00,X X 0 0 0,TRUSTEE — TREASURER,tobin,570352247,217925,Columbia International University
(3) LYN COOK 1 00,X 0 0 0,TRUSTEE,lyn,570352247,217925,Columbia International University
(4) MARION DAVIS 1 00,X 0 0 0,TRUSTEE,marion,570352247,217925,Columbia International University
(5) ADRIAN DESPRES JR 1 00,X 0 0 0,TRUSTEE,adrian,570352247,217925,Columbia International University
(6) HANS FINZEL 1 00,X 0 0 0,TRUSTEE,hans,570352247,217925,Columbia International University
(7) RUSSELL FRENCH PART—YEAR 1 00,X 0 0 0,TRUSTEE,russell,570352247,217925,Columbia International University
(8) JENNIFER GUTWEIN 1 00,X 0 0 0,TRUSTEE,jennifer,570352247,217925,Columbia International University
(9) D GARY HARLOW 1 00,X 0 0 0,TRUSTEE,gary,570352247,217925,Columbia International University
(10) R055 LINDSAY 1 00,X 0 0 0,TRUSTEE,lindsay,570352247,217925,Columbia International University
(11) DAVID MORELAND 1 00,X 0 0 0,TRUSTEE,david,570352247,217925,Columbia International University
(12) J RONALD MULLINS 1 00,X X 0 0 0,CHAIR OF THE BOARD,ronald,570352247,217925,Columbia International University
(13) JERRY RANKIN 1 00,X X 0 0 0,BOARD SECRETARY,jerry,570352247,217925,Columbia International University
(14) DOUGLAS RU‘I'I' 1 00,X X 0 0 0,VICE CHAIRMAN OF THE BOARD,douglas,570352247,217925,Columbia International University
(15) MARQUIS RYAN 1 00,X 0 0 0,TRUSTEE,marquis,570352247,217925,Columbia International University
(16) WILL SCHAFER 1 00,X 0 0 0,TRUSTEE,will,570352247,217925,Columbia International University
(17) MARVIN SCHUSTER 1 00,X 0 0 0,TRUSTEE,marvin,570352247,217925,Columbia International University
(18) JAMES DD(ON JR 1 00,X 0 0,TRUSTEE,james,570352247,217925,Columbia International University
(19) CHIKONG SHUE 1 00,X 0 0,TRUSTEE,shue,570352247,217925,Columbia International University
(20) MARSHALL WHITE 1 00,X 0 0,TRUSTEE,marshall,570352247,217925,Columbia International University
(21) WILLIAM JONES 60 00,"x 134,320 19,242",PRESIDENT,william,570352247,217925,Columbia International University
(22) KEITH STOKELD 50 00,"x 67,934 14,403",CHIEF FINANCIAL OFFICER,keith,570352247,217925,Columbia International University
(23) D KEITH MARION 50 00,"x 132,038 18,223",SR VICE PRESIDENT,keith,570352247,217925,Columbia International University
"PIONEER COLLEGE CATERERS 303 GLENROSE AVE NASHVILLE TN 37210 CATERING SERVICES 1,468,571","RICHARDSON CONSTRUCTION CO 6806 MONTICELLO RD COLUMBIA SC 29203 CONSTRUCTION 1,269,220","NOEL—LEVITZ INC 2350 OAKDALE BLVD CORALVILLE IA 52241 CONSULTING 266,793",ave,570352247,217925,Columbia International University
"RICHARDSON CONSTRUCTION CO 6806 MONTICELLO RD COLUMBIA SC 29203 CONSTRUCTION 1,269,220","NOEL—LEVITZ INC 2350 OAKDALE BLVD CORALVILLE IA 52241 CONSULTING 266,793","RT LONDON 1642 BROADWAY NW GRAND RAPIDS MI49504 CONSULTING 177,624",richardson,570352247,217925,Columbia International University
