line1,line2,line3,key,fein,unitid,institutionname
Peter D Miller 1 00,X 0 0 0,Chair,peter,580566143,139199,Brenau University
Philip A Wilheit Sr 1 00,X 0 0 0,Vice Chair,philip,580566143,139199,Brenau University
James A Walters 1 00,X X 0 0 0,Secretary,james,580566143,139199,Brenau University
Carole Ann Carter Daniel 1 00,X 0 0 0,Treasurer,carole,580566143,139199,Brenau University
Dr Gale] Allen 1 00,X 0 0 0,Trustee,allen,580566143,139199,Brenau University
Raymond H Burch 1 00,X 0 0 0,Trustee,raymond,580566143,139199,Brenau University
Robin Smith Dudley 1 00,X 0 0 0,Trustee,robin,580566143,139199,Brenau University
Kathryn Dunlap 1 00,X 0 0 0,Trustee,kathryn,580566143,139199,Brenau University
Emilie Henderson Howard 1 00,X 0 0 0,Trustee,emilie,580566143,139199,Brenau University
M Douglas Ivester 1 00,X 0 0 0,Trustee,douglas,580566143,139199,Brenau University
Anna A Jacobs 1 00,X 0 0 0,Trustee,anna,580566143,139199,Brenau University
Angela B Johnston 1 00,X 0 0 0,Trustee,angela,580566143,139199,Brenau University
Emily Lawson 1 00,X 0 0 0,Trustee,emily,580566143,139199,Brenau University
Ben E Lilly 1 00,X 0 0 0,Trustee,ben,580566143,139199,Brenau University
James E Mathis Jr 1 00,X 0 0 0,Trustee,james,580566143,139199,Brenau University
Steve McKibbon 1 00,X 0 0 0,Trustee,steve,580566143,139199,Brenau University
James H Moore 1 00,X 0 0 0,Trustee,james,580566143,139199,Brenau University
Betty Verson Norton 1 00,X 0 0 0,Trustee,betty,580566143,139199,Brenau University
Gary L Riley 1 00,X 0 0 0,Trustee,gary,580566143,139199,Brenau University
Lawrence B Schrage 1 00,X 0 0 0,Trustee,lawrence,580566143,139199,Brenau University
DaVId F Seng 1 00,X 0 0 0,Trustee,david,580566143,139199,Brenau University
Erin M Seng 1 00,X 0 0 0,Trustee,erin,580566143,139199,Brenau University
Gail A Smith 1 00,X 0 0 0,Trustee,gail,580566143,139199,Brenau University
Mike Smith 1 00,X 0 0 0,Trustee,mike,580566143,139199,Brenau University
Charles A Smithgall III 1 00,X 0 0 0,Trustee,charles,580566143,139199,Brenau University
Shay English Stafford 1 00,X 0 0 0,Trustee,shay,580566143,139199,Brenau University
Jane P Suggs 1 00,X 0 0 0,Trustee,jane,580566143,139199,Brenau University
Bob Swoszowski 1 00,X 0 0 0,Trustee,bob,580566143,139199,Brenau University
Stuart R Virgin 1 00,X 0 0 0,Trustee,stuart,580566143,139199,Brenau University
Dr Edward L Schrader Jr 40 00,"X 522,355 0 70,271",PreSIdent,edward,580566143,139199,Brenau University
Dr DaVId Barnett 40 00,"X 171,356 0 18,852",Sr VP & CFO,david,580566143,139199,Brenau University
Scott A Briell 40 00,"X 172,851 0 18,302",Sr VP Enrollment,scott,580566143,139199,Brenau University
Dr Nancy Krippel 40 00,"X 170,322 0 30,703",Provost & VPAA,nancy,580566143,139199,Brenau University
Jack Matthew Thomas 40 00,"X 141,267 0 33,823",VP for External Relations,jack,580566143,139199,Brenau University
William Lightfoot 40 00,"x 121,047 0 9,845","Dean, Busmess & Mass Comm",william,580566143,139199,Brenau University
Dr Gale H Starich 40 00,"X 126,673 0 11,035","Dean, School of Health & SCIence",gale,580566143,139199,Brenau University
