line1,line2,line3,key,fein,unitid,institutionname
J DaVId Allen 3 0,X 0 0 0,Trustee 2 0,david,580566256,139658,Emory University
Kathelen Amos 1 0,X 0 0 0,Trustee 0 0,amos,580566256,139658,Emory University
Facundo L Bacardi 1 0,X 0 0 0,Trustee 0 0,facundo,580566256,139658,Emory University
Thomas D Bell Jr 5 0,X 0 0 0,Trustee 0 0,thomas,580566256,139658,Emory University
Henry L Bowden Jr 4 0,X 0 0 0,Trustee 0 0,henry,580566256,139658,Emory University
Susan A Cahoon 2 0,X 0 0 0,Trustee 0 0,susan,580566256,139658,Emory University
Shantella Carr Cooper 1 0,X 0 0 0,Trustee 0 0,carr,580566256,139658,Emory University
G Lindsey DaVIs 3 0,X 0 0 0,Trustee 0 0,lindsey,580566256,139658,Emory University
Walter M Deriso Jr 5 0,X 0 0 0,Trustee 0 0,walter,580566256,139658,Emory University
James L Fennan Jr 2 0,X 0 0 0,Trustee 0 0,james,580566256,139658,Emory University
Russell R French 3 0,X 0 0 0,Trustee 3 0,russell,580566256,139658,Emory University
James R Gavm III 2 0,X 0 0 0,Trustee 0 0,james,580566256,139658,Emory University
John T Glover 1 0,X 0 0 0,Trustee 1 0,john,580566256,139658,Emory University
Robert C Goddard III 2 0,X 0 0 0,Trustee 3 0,robert,580566256,139658,Emory University
JaVIer Geizueta 1 0,X 0 0 0,Trustee 0 0,javier,580566256,139658,Emory University
Laura J Hardman 3 0,X 0 0 0,Trustee 0 0,laura,580566256,139658,Emory University
C Rob Henrikson 5 0,X 0 0 0,Trustee 0 0,rob,580566256,139658,Emory University
M Douglas Ivester 5 0,X 0 0 0,Trustee 0 0,douglas,580566256,139658,Emory University
Ben F Johnson 111 7 0,X 0 0 0,Trustee 0 0,ben,580566256,139658,Emory University
Muhtar Kent 1 0,X 0 0 0,Trustee 0 0,kent,580566256,139658,Emory University
Jonathan K Layne 4 0,X 0 0 0,Trustee 0 0,jonathan,580566256,139658,Emory University
Steven Lipstein 1 0,X 0 0 0,Trustee 0 0,steven,580566256,139658,Emory University
Deborah Marlowe 1 0,X 0 0 0,Trustee 0 0,deborah,580566256,139658,Emory University
William T McAlilly 1 0,X 0 0 0,Trustee 0 0,william,580566256,139658,Emory University
Ten Plummer McClure 1 0,X 0 0 0,Trustee 0 0,ten,580566256,139658,Emory University
John F Morgan 7 0,X 0 0 0,Trustee 0 0,john,580566256,139658,Emory University
