line1,line2,line3,key,fein,unitid,institutionname
DR AD BEACHAM JR 0 00,0 0 0,Trustee 0 00,beacham,580633977,139630,Emmanuel College
REV TIM LAMB 0 00,0 0 0,Trustee 0 00,tim,580633977,139630,Emmanuel College
REV GREG AMOS 0 00,0 0 0,Trustee 0 00,greg,580633977,139630,Emmanuel College
REV ABEL E PALOMO 0 00,0 0 0,Trustee 0 00,palomo,580633977,139630,Emmanuel College
MRS SUSAN ADAMS 0 00,0 0 0,Trustee 0 00,susan,580633977,139630,Emmanuel College
DR KEVIN ARTHUR 0 00,0 0,Trustee 0 00,kevin,580633977,139630,Emmanuel College
MR DAVID BENTON JR 0 00,0 0,Trustee 0 00,david,580633977,139630,Emmanuel College
REV DAYTON BIRT 0 00,0 0,Trustee 0 00,dayton,580633977,139630,Emmanuel College
DR DON BRADY 0 00,0 0,Trustee 0 00,don,580633977,139630,Emmanuel College
MR BILL COX 0 00,0 0,Vice Chairman 0 00,bill,580633977,139630,Emmanuel College
MR JON FOREHAND 0 00,0 0,Trustee 0 00,jon,580633977,139630,Emmanuel College
REV DANNY JONES 0 00,0 0,Trustee 0 00,danny,580633977,139630,Emmanuel College
REV RAY BOGGS 0 00,0 0,Trustee 0 00,ray,580633977,139630,Emmanuel College
REV JIM WHITFIELD 0 00,0 0,Trustee 0 00,jim,580633977,139630,Emmanuel College
MRS GAYE MASHBURN 0 00 0,0,Trustee 0 00,gaye,580633977,139630,Emmanuel College
REV TOMMY MCGHEE 0 00,0 0,Trustee 0 00,tommy,580633977,139630,Emmanuel College
REV CHARLES BARINEAU 0 00 0,0,Trustee 0 00,charles,580633977,139630,Emmanuel College
DR GARY MOON 0 00,0 0,Trustee 0 00,gary,580633977,139630,Emmanuel College
MR MIKE DD(ON 0 00,0 0,Trustee 0 00,mike,580633977,139630,Emmanuel College
MR PHILLIP MOORING 0 00,0 0,Secretary 0 00,phillip,580633977,139630,Emmanuel College
REV MICHAEL GRAY 0 00,0 0,Trustee 0 00,michael,580633977,139630,Emmanuel College
REV BRADLEY REYNOLDS 0 00 0,0,Trustee 0 00,bradley,580633977,139630,Emmanuel College
REV CHARLES HAWES 0 00,0 0,Trustee 0 00,charles,580633977,139630,Emmanuel College
MRS GAY SHEPHERD 0 00,0 0,Trustee 0 00,gay,580633977,139630,Emmanuel College
MR DAVID ROBERSON 0 00,0 0,Trustee 0 00,david,580633977,139630,Emmanuel College
REVJOHN HEDGEPETH o oo,0 0 0,Trustee 0 00,hedgepeth,580633977,139630,Emmanuel College
MRS BEULAH STURKIE 0 00,0 0,Trustee 0 00,beulah,580633977,139630,Emmanuel College
MRS LINDA THOMAS 0 00,0 0,CHAIR 0 00,linda,580633977,139630,Emmanuel College
REV PRESTON MATHENA 0 00,0 0,Trustee 0 00,preston,580633977,139630,Emmanuel College
MR GERALD STEPHENS o oo,0 0,Trustee 0 00,gerald,580633977,139630,Emmanuel College
MR EDDIE WILLIAMS 0 00,0 0,Trustee 0 00,eddie,580633977,139630,Emmanuel College
REV RAY WILLIS 0 00,0 0,Trustee 0 00,ray,580633977,139630,Emmanuel College
MR ERROL STAFFORD 0 00,0 0,Trustee 0 00,errol,580633977,139630,Emmanuel College
MR JOEY LEGGETT 0 00,0 0,Trustee 0 00,joey,580633977,139630,Emmanuel College
REV DOYLE MARLEY 0 00,0 0,Trustee 0 00,doyle,580633977,139630,Emmanuel College
