line1,line2,line3,key,fein,unitid,institutionname
MR MH ALLEN 1 00,X 0 0 0,TRUSTEE,allen,580644897,141167,Thomas University
MS SUZANNE ANDERSON 1 00,X 0 0 0,TRUSTEE,suzanne,580644897,141167,Thomas University
MR CHARLES BALFOUR 1 00,X 0 0 0,TRUSTEE,charles,580644897,141167,Thomas University
MS MARY BEVERLY 1 00,X 0 0 0,TRUSTEE,mary,580644897,141167,Thomas University
MR JOSEPH BROWN 1 00,X 0 0 0,TRUSTEE,joseph,580644897,141167,Thomas University
MR TOM CALLAWAY 1 00,X 0 0 0,TRUSTEE,tom,580644897,141167,Thomas University
MR KEVIN CAULEY 1 00,X 0 0 0,TRUSTEE,kevin,580644897,141167,Thomas University
MR STEPHEN CHENEY 1 00,X 0 0 0,TRUSTEE,stephen,580644897,141167,Thomas University
MR CHARLES DAVIS 1 00,X 0 0 0,VICE CHAIR,charles,580644897,141167,Thomas University
MR CHARLES DD(ON 1 00,X 0 0 0,TRUSTEE,charles,580644897,141167,Thomas University
MR JOHN EVERETT 1 00,X 0 0 0,TRUSTEE,john,580644897,141167,Thomas University
MS SABRINA BOYKINS—EVERETT 1 00,X 0 0 0,TRUSTEE,sabrina,580644897,141167,Thomas University
MS KATHY FOLSOM 1 00,X 0 0 0,TRUSTEE,kathy,580644897,141167,Thomas University
MR RUSSELL FRYAR 1 00,X 0 0 0,TRUSTEE,russell,580644897,141167,Thomas University
MR JOHN GLENN 1 00,X 0 0 0,TRUSTEE,john,580644897,141167,Thomas University
MS KELLY GRIMSLEY 1 00,X 0 0 0,TRUSTEE,kelly,580644897,141167,Thomas University
MR GREG HAMIL 1 00,X 0 0 0,TRUSTEE,greg,580644897,141167,Thomas University
MR DAVIS HILL 1 00,X 0 0 0,TRUSTEE,davis,580644897,141167,Thomas University
MR ZEKE JOHNSON 1 00,X 0 0 0,TRUSTEE,johnson,580644897,141167,Thomas University
MR BILL LAWSON 1 00,X 0 0 0,TRUSTEE,bill,580644897,141167,Thomas University
MR PHILIP LEABO JR 1 00,X 0 0 0,TRUSTEE,philip,580644897,141167,Thomas University
DR FRANK MCELROY 1 00,X 0 0 0,TRUSTEE,frank,580644897,141167,Thomas University
DR TERREL SOLANA 1 00,X 0 0 0,TRUSTEE,terrel,580644897,141167,Thomas University
MS KATHY MACQUIRTER 1 00,X 0 0 0,TRUSTEE,kathy,580644897,141167,Thomas University
MR LARRY MAY 1 00,X 0 0 0,TRUSTEE,larry,580644897,141167,Thomas University
MR PERRY MUSTIAN 1 00,X 0 0 0,TRUSTEE,perry,580644897,141167,Thomas University
MR AL PARK 1 00,X 0 0 0,CHAIR,al,580644897,141167,Thomas University
MS ANNIE PERKINS 1 00,X 0 0 0,TRUSTEE,annie,580644897,141167,Thomas University
MR RALEIGH ROLLINS 1 00,X 0 0 0,TRUSTEE,raleigh,580644897,141167,Thomas University
MR TERRY ROUSE 1 00,X 0 0 0,TRUSTEE,terry,580644897,141167,Thomas University
MR RANKIN SMITH 1 00,X 0 0 0,TRUSTEE,rankin,580644897,141167,Thomas University
MR PETE THOMAS 1 00,X 0 0 0,TRUSTEE,pete,580644897,141167,Thomas University
MR HARRY TOMLINSON 1 00,X 0 0 0,TRUSTEE,harry,580644897,141167,Thomas University
MS MARTA TURNER 1 00,X 0 0 0,TRUSTEE,marta,580644897,141167,Thomas University
DR GARY BONVILLIAN 50 00,"X 233,806 0 42,965",PRESIDENT,gary,580644897,141167,Thomas University
MS ANN LANDIS 45 00,"X 134,926 0 0",ACADEMIC DEAN,ann,580644897,141167,Thomas University
MR TIMOTHY KLOCKO 45 00,"X 118,667 0 0",VP OF FINANCE AND ADMINIST,timothy,580644897,141167,Thomas University
MR RICK MUNROE 45 00,"X 100,064 0 0",VP FOR INSTITUTIONAL ADVAN,rick,580644897,141167,Thomas University
