line1,line2,line3,key,fein,unitid,institutionname
(1) ALAN B WHITAKER III 5 00,X 0 0 0,TRUSTEE,alan,581357177,140951,Savannah College of Art and Design
(2) ANDRE LEON TALLEY 2 00,X 0 0 0,TRUSTEE,andre,581357177,140951,Savannah College of Art and Design
(3) CHAN LAI WA 2 00,X 0 0 0,TRUSTEE,lai,581357177,140951,Savannah College of Art and Design
(4) NANCY HERSTAND 2 00,X 0 0 0,TRUSTEE,nancy,581357177,140951,Savannah College of Art and Design
(5) PHARRIS JOHNSON 2 00,X 0 0 0,TRUSTEE,pharris,581357177,140951,Savannah College of Art and Design
(6) ROBERT L NARDELLI 2 00,X 0 0 0,TRUSTEE,robert,581357177,140951,Savannah College of Art and Design
(7) SALLY WARANCH RAJCIC 2 00,X 0 0 0,TRUSTEE,sally,581357177,140951,Savannah College of Art and Design
(8) STUART SAUNDERS 2 00,X 0 0 0,TRUSTEE,stuart,581357177,140951,Savannah College of Art and Design
(9) PAULA S WALLACE 6O 00,"x 2,194,817 0 776,808",PRESIDENT,paula,581357177,140951,Savannah College of Art and Design
(10) JEFFREY J WALLER 50 00,"X 190,070 0 17,131","TREASURER, VP FINANCIAL GROWTH",jeffrey,581357177,140951,Savannah College of Art and Design
(11) JOHN T WHALEY 50 00,"x 58,277 0 1,297",CHIEF FINANCIAL OFFICER,john,581357177,140951,Savannah College of Art and Design
(12) CARMEN M STOWERS 50 00,"X 161,673 0 16,483",SECRETARY,carmen,581357177,140951,Savannah College of Art and Design
(13) BRADFORD GRANT 50 00,"X 179,840 0 19,966",VP FOR INFORMATION TECHNOLOGY,bradford,581357177,140951,Savannah College of Art and Design
(14) MAUREEN GARVIN 50 00,"X 164,269 0 12,315","DEAN, FOUNDATION STUDIES",maureen,581357177,140951,Savannah College of Art and Design
(15) LESLEY C HANAK 50 00,"X 248,364 0 14,072",VP FOR HUMAN RESOURCES,lesley,581357177,140951,Savannah College of Art and Design
(16) PHILIP J ALLETTO 50 00,"X 246,935 0 24,313",VP FOR STUDENT SUCCESS,philip,581357177,140951,Savannah College of Art and Design
VP FOR STUDENT SUCCESS,(17) SCOTT LINZEY 50 00,"X 255,684 0 26,558",success,581357177,140951,Savannah College of Art and Design
(17) SCOTT LINZEY 50 00,"X 255,684 0 26,558",VP FOR STUDENT FINANCIAL SVCS,scott,581357177,140951,Savannah College of Art and Design
(18) TERESA M GRIFFIS 50 00,"X 204,956 0 14,074",VP — SCAD ATLANTA,teresa,581357177,140951,Savannah College of Art and Design
(20) GLENN E WALLACE 50 00,"X 416,705 0 16,134",SVP FOR COLLEGE RESOURCES,glenn,581357177,140951,Savannah College of Art and Design
(21) ANDREW W FULP 50 00,"X 178,150 0 22,976",VP FOR EDUCATIONAL TECHNOLOGY,andrew,581357177,140951,Savannah College of Art and Design
(22) CHRISTIAN B SO'I'TILE 50 00,"x 300,137 0 7,252","DEAN, SCHOOL OF BLDG ARTS",christian,581357177,140951,Savannah College of Art and Design
(23) JOHN PAUL ROWAN 50 00,"X 234,580 0 25,468",VP FOR STRATEGY & INNOVATION,john,581357177,140951,Savannah College of Art and Design
(24) KARI HERRIN 50 00,"X 230,791 0 24,217",VP FOR CREATIVE DIRECTION,kari,581357177,140951,Savannah College of Art and Design
(25) MICHAELJ FINK 50 00,"X 195,366 0 13,457","DEAN, SCHOOL OF FASHION",fink,581357177,140951,Savannah College of Art and Design
(26) DR TARAS DANYLUK 50 00,"x 112,510 0 2,708",COO AND FORMER TRUSTEE,taras,581357177,140951,Savannah College of Art and Design
(27) JOSEPH P MANORY 50 00,"x 283,030 0 6,076",CHIEF FINANCIAL OFFICER,joseph,581357177,140951,Savannah College of Art and Design
(28) BRIAN F MURPHY 50 00,"X 331,725 0 0",COO,brian,581357177,140951,Savannah College of Art and Design
"CLAYCO INC, 2199 INNERBELT BUSINESS CENTER DRIV ST LOUIS MO 63114 CONSTRUCTION 6,817,113","URBAN CAMPUS ENVIRONMENTS LLC, 724 20TH AVENUE SAINT PETERSBURG FL33704 LANDLORD 5,090,239","BON APPETl'T MANAGEMENT COMPANY, 2400 YORKMONT ROAD CHARLOTTE NC 28217 FOOD SERVICE 4,173,181",louis,581357177,140951,Savannah College of Art and Design
"URBAN CAMPUS ENVIRONMENTS LLC, 724 20TH AVENUE SAINT PETERSBURG FL33704 LANDLORD 5,090,239","BON APPETl'T MANAGEMENT COMPANY, 2400 YORKMONT ROAD CHARLOTTE NC 28217 FOOD SERVICE 4,173,181","ALLIED BARTON SECURITY SERVICES, PO BOX 828854 PHILADELPHIA PA 19182 SECURITY 3,250,685",urban,581357177,140951,Savannah College of Art and Design
"BON APPETl'T MANAGEMENT COMPANY, 2400 YORKMONT ROAD CHARLOTTE NC 28217 FOOD SERVICE 4,173,181","ALLIED BARTON SECURITY SERVICES, PO BOX 828854 PHILADELPHIA PA 19182 SECURITY 3,250,685","THE PINYAN COMPANY, 1510 DRAYTON STREET SAVANNAH GA 31401 CONSTRUCTION 2,700,588",bon,581357177,140951,Savannah College of Art and Design
