line1,line2,line3,key,fein,unitid,institutionname
13 Complete this table for all persons required to be listed. Report compensation for the calendar year ending with or within the,organization's tax year.,0 List all of the organization's current ofﬁcers. directors. trustees (whether individuals or organizations). regardless of amount of,persons,582205600,461236,Georgia Christian University
0 List all of the organization's current ofﬁcers. directors. trustees (whether individuals or organizations). regardless of amount of,"compensation Enter -0- in columns (D), (E), and (F) if no compensation was paid","0 List all of the organization's current key employees. if any. See instructions for deﬁnition of ""key employee.""",current,582205600,461236,Georgia Christian University
"compensation Enter -0- in columns (D), (E), and (F) if no compensation was paid","0 List all of the organization's current key employees. if any. See instructions for deﬁnition of ""key employee.""","0 List the organization's ﬁve current highest compensated employees (other than an ofﬁcer, director, trustee. or key employee)",enter,582205600,461236,Georgia Christian University
"0 List all of the organization's current key employees. if any. See instructions for deﬁnition of ""key employee.""","0 List the organization's ﬁve current highest compensated employees (other than an ofﬁcer, director, trustee. or key employee)","who received reportable compensation (Box 5 of Form W-2 and/or Box 7 of Form 1099-MISC) of more than $100,000 from the",current,582205600,461236,Georgia Christian University
"0 List the organization's ﬁve current highest compensated employees (other than an ofﬁcer, director, trustee. or key employee)","who received reportable compensation (Box 5 of Form W-2 and/or Box 7 of Form 1099-MISC) of more than $100,000 from the",organization and any related organizations.,current,582205600,461236,Georgia Christian University
List persons in the following order: indIVidual trustees or directors; institutional trustees; ofﬁcers; key employees. highest,compensated employees; and former such persons,I] Check this box if neither the organization nor any related organization compensated any current ofﬁcer. director. or trustee.,persons,582205600,461236,Georgia Christian University
compensated employees; and former such persons,I] Check this box if neither the organization nor any related organization compensated any current ofﬁcer. director. or trustee.,(A) (3) (Cl (D) (E) (F),persons,582205600,461236,Georgia Christian University
I] Check this box if neither the organization nor any related organization compensated any current ofﬁcer. director. or trustee.,(A) (3) (Cl (D) (E) (F),Name and Title Average Posnion Reportable Reportable Estimated,neither,582205600,461236,Georgia Christian University
hours per (do no) check more man one compensation compensation from amount of,week (list any from related other,hours for b'I’X- unless Person '5 both an the organizations compensation,man,582205600,461236,Georgia Christian University
""" .- ai O o","E 2 1f, 3",2: a o 8,ai,582205600,461236,Georgia Christian University
