line1,line2,line3,key,fein,unitid,institutionname
CHARLES JO WODEHOUSE 1 00,X X 0 0 0,TRUSTEE—TREASURER 0 00,charles,590624412,134945,Jacksonville University
FRED G PRUITI' 1 00,X X 0 0 0,TRUSTEE—CHAIR 0 00,fred,590624412,134945,Jacksonville University
MARGARET BLACK—SCOTT 1 00,X X 0 0 0,TRUSTEE — VICE CHAIR 0 00,margaret,590624412,134945,Jacksonville University
MATTHEW KANE 1 00,X X 0 0 0,TRUSTEE — SECRETARY 0 00,matthew,590624412,134945,Jacksonville University
TIIMOTHY P COST 40 00,"X X 305,652 0 9,759",PRESIDENT 0 00,cost,590624412,134945,Jacksonville University
ADRIENNE CONRAD 1 00,X 0 0 0,TRUSTEE 0 00,adrienne,590624412,134945,Jacksonville University
ANDY MORGAN 1 00,X 0 0 0,TRUSTEE 0 00,andy,590624412,134945,Jacksonville University
BRUCE KERN 1 00,X 0 0 0,TRUSTEE 0 00,bruce,590624412,134945,Jacksonville University
CAROLE J POINDEXTER 1 00,X 0 0 0,TRUSTEE 0 00,carole,590624412,134945,Jacksonville University
CAROLYN MUNRO WILSON 1 00,X 0 0 0,TRUSTEE 0 00,carolyn,590624412,134945,Jacksonville University
CHRIS A VERLANDER 1 00,X 0 0 0,TRUSTEE 0 00,chris,590624412,134945,Jacksonville University
E MICHAEL O'MALLEY 1 00,X 0 0 0,TRUSTEE 0 00,michael,590624412,134945,Jacksonville University
EARNIE FRANKLIN 1 00,X 0 0 0,TRUSTEE 0 00,franklin,590624412,134945,Jacksonville University
FRANK PACE 1 00,X 0 0 0,TRUSTEE 0 00,frank,590624412,134945,Jacksonville University
GEORGE SCANLON 1 00,X 0 0 0,TRUSTEE 0 00,george,590624412,134945,Jacksonville University
GIL POMAR JR 1 00,X 0 0 0,TRUSTEE 0 00,gil,590624412,134945,Jacksonville University
GREG A NELSON 1 00,X 0 0 0,TRUSTEE 0 00,greg,590624412,134945,Jacksonville University
GREGORY B SMITH 1 00,X 0 0 0,TRUSTEE 0 00,gregory,590624412,134945,Jacksonville University
HENRY J KEIGWIN 1 00,X 0 0 0,TRUSTEE 0 00,henry,590624412,134945,Jacksonville University
JOHN HARRISON 1 00,X 0 0 0,TRUSTEE 0 00,john,590624412,134945,Jacksonville University
JONN F WILBANKS 1 00,X 0 0 0,TRUSTEE 0 00,wilbanks,590624412,134945,Jacksonville University
LAWRENCE E KURZIUS 1 00,X 0 0 0,TRUSTEE 0 00,lawrence,590624412,134945,Jacksonville University
LEE NIMNICHT 1 00,X 0 0 0,TRUSTEE 0 00,lee,590624412,134945,Jacksonville University
LINDA BERRY STEIN 1 00,X 0 0 0,TRUSTEE 0 00,linda,590624412,134945,Jacksonville University
MARGARET WIDMAN DEES 1 00,X 0 0 0,TRUSTEE 0 00,margaret,590624412,134945,Jacksonville University
MARK FRISCH 1 00,X 0 0 0,TRUSTEE 0 00,mark,590624412,134945,Jacksonville University
MARVIN C WELLS 1 00,X 0 0 0,TRUSTEE 0 00,marvin,590624412,134945,Jacksonville University
MICHAEL R FREED 1 00,X 0 0 0,TRUSTEE 0 00,michael,590624412,134945,Jacksonville University
MONIQUE TUBBS 1 00,X 0 0 0,TRUSTEE 0 00,monique,590624412,134945,Jacksonville University
PETER J GHILONI 1 00,X 0 0 0,TRUSTEE 0 00,peter,590624412,134945,Jacksonville University
ROBERT E HILLJR 1 00,X 0 0 0,TRUSTEE 0 00,robert,590624412,134945,Jacksonville University
SANDY SEMANIK 1 00,X 0 0 0,TRUSTEE 0 00,sandy,590624412,134945,Jacksonville University
STEVE KOEGLER 1 00,X 0 0 0,TRUSTEE 0 00,steve,590624412,134945,Jacksonville University
TERRY LWILCOX 1 00,X 0 0 0,TRUSTEE 0 00,terry,590624412,134945,Jacksonville University
THADDEUS FOSTER 1 00,X 0 0 0,TRUSTEE 0 00,thaddeus,590624412,134945,Jacksonville University
WILLIAM C RUPP 1 00,X 0 0 0,TRUSTEE 0 00,william,590624412,134945,Jacksonville University
DEREK HALL 40 00,"X 147,367 0 19,256",CHIEF ADMINISTRATIVE OFFICER — PARTIAL YEAR 0 00,derek,590624412,134945,Jacksonville University
DONALD HORNER 40 00,"X 143,052 0 11,096",CHIEF ATHLETICS OFFICER 0 00,donald,590624412,134945,Jacksonville University
GEORGE SCADUTO 40 00,"X 198,808 0 25,418",CHIEF FINANCIAL OFFICER 0 00,george,590624412,134945,Jacksonville University
JOHN BALOG 40 00,"ASSOC DEAN, COLLEGE OF INTERDISCIPLINARY & X 96’063 0 12’373",PROFESSIONAL STUDIES - PARTIAL YEAR 0 00,john,590624412,134945,Jacksonville University
KIMBERLY MARIANI JONES 40 00,"x 36,126 0 1,692",CHIEF ADVANCEMENT OFFICER — PARTIAL YEAR 0 00,kimberly,590624412,134945,Jacksonville University
KRISTIE GOVER 40 00,"x 82,195 0 13,047",CHIEF STUDENT AFFAIRS OFFICER — PARTIAL YEAR 0 00,kristie,590624412,134945,Jacksonville University
LOIS BECKER 40 00,"X 115,553 0 15,093",SR VP ACADEMIC AFFAIRS — PARTIAL YEAR 0 00,lois,590624412,134945,Jacksonville University
MARGARET DEES 40 00,CHIEF COMMUNICATIONS & MARKETING OFFICER— X 47’863 0 5’415,PARTIAL YEAR 0 00,margaret,590624412,134945,Jacksonville University
