line1,line2,line3,key,fein,unitid,institutionname
Wendy B Libby 70,"X X 479,962 107,890",PreSIdent/Trustee 0,wendy,590624416,137546,Stetson University
Steven Alexander 0,X,Trustee 0,steven,590624416,137546,Stetson University
Maureen Breakiron—Evans 0,X,Trustee 0,maureen,590624416,137546,Stetson University
Cynthia R Brown 0,X,Trustee 0,brown,590624416,137546,Stetson University
J Hyatt Brown 0,X,Trustee 0,hyatt,590624416,137546,Stetson University
S Sammy CaCCIatore Jr 0,X,Trustee 0,sammy,590624416,137546,Stetson University
Joe R Cooper 0,X,Trustee 0,joe,590624416,137546,Stetson University
Bonnie Foreman 0,X,Trustee 0,bonnie,590624416,137546,Stetson University
Richard C George 0,X,Trustee 0,richard,590624416,137546,Stetson University
R Dean Hollis 0,X,Trustee 0,hollis,590624416,137546,Stetson University
Tony Jenkins 0,X,Trustee 0,tony,590624416,137546,Stetson University
JIll Jinks 0,X,Trustee 0,jill,590624416,137546,Stetson University
Betty D Johnson 0,X,Trustee 0,betty,590624416,137546,Stetson University
Geoffrey Jollay 0,X,Trustee 0,geoffrey,590624416,137546,Stetson University
Gerald D Kruhm 0,X,Trustee 0,gerald,590624416,137546,Stetson University
L Patrick Lane 0,X,Trustee 0,patrick,590624416,137546,Stetson University
Brenda H Lopez 0,X,Trustee 0,brenda,590624416,137546,Stetson University
Christine E Lynn 0,X,Trustee 0,christine,590624416,137546,Stetson University
Joshua Magidson 0,X,Trustee 0,joshua,590624416,137546,Stetson University
Peter Matulis 0,X,Trustee 0,peter,590624416,137546,Stetson University
Lee McGraw 0,X,Trustee 0,lee,590624416,137546,Stetson University
Jane Edmunds Novak 0,X,Trustee 0,jane,590624416,137546,Stetson University
Harlan Paul 0,X,Trustee 0,harlan,590624416,137546,Stetson University
LUIS Prats 0,X,Trustee 0,luis,590624416,137546,Stetson University
Billy Raley 0,X,Trustee 0,billy,590624416,137546,Stetson University
Gary D Reddick 0,X 0,Trustee 0,gary,590624416,137546,Stetson University
DaVId B Rinker 0,X 0,Trustee 0,david,590624416,137546,Stetson University
John D Walda 0,X 0,Trustee 0,john,590624416,137546,Stetson University
Charles A Wolfe 0,X 0,Trustee 0,charles,590624416,137546,Stetson University
Kenneth Ziesenheim 0,X 0,Trustee 0,kenneth,590624416,137546,Stetson University
Nancy Farmer 0,X 0,Trustee 0,nancy,590624416,137546,Stetson University
Scott Brum 0,X 0,Trustee 0,scott,590624416,137546,Stetson University
Susan Morris 0,X 0,Trustee 0,susan,590624416,137546,Stetson University
Robert Pocica 0,X 0,Trustee 0,robert,590624416,137546,Stetson University
Troy Templeton 0,X 0,Trustee 0,troy,590624416,137546,Stetson University
Elizabeth Paul 60,"x 287,552 50,590",Provost 0,elizabeth,590624416,137546,Stetson University
Frank R Huth 60,"x 242,719 45,975",VP of Busmess Affairs/CFO 0,frank,590624416,137546,Stetson University
Joel Bauman 60,"x 185,583 34,982",VP Enrollment Management 0,joel,590624416,137546,Stetson University
Greg Carroll 60,"x 164,351 33,048",VP for Marketing 0,greg,590624416,137546,Stetson University
Carol Julian 60,"x 161,775 25,895",VP for UniverSIty Relations 0,carol,590624416,137546,Stetson University
Christopher Kandus—Fisher 60,"x 123,055 30,839",VP of Student Affairs 0,christopher,590624416,137546,Stetson University
Christopher PIetruszkIeWIcz 60,"x 242,288 53,853",Dean of Law School 0,christopher,590624416,137546,Stetson University
Thomas Schwarz 60,"x 221,574 34,626",Dean of Busmess School 0,thomas,590624416,137546,Stetson University
Karen Ryan 60,"x 162,432 39,295",Dean of Arts and Science 0,karen,590624416,137546,Stetson University
Ellen Podgor 40,"x 253,719 36,092",Professor of Law 0,ellen,590624416,137546,Stetson University
Candace Zierdt 40,"x 232,169 31,347",Professor of Law 0,candace,590624416,137546,Stetson University
Rebecca Morgan 40,"x 228,837 42,121",Professor of Law 0,rebecca,590624416,137546,Stetson University
Robert BIckel 40,"x 234,054 32,256",Professor of Law 0,robert,590624416,137546,Stetson University
