line1,line2,line3,key,fein,unitid,institutionname
Leonard Abess 20 00,X 0 0,Trustee,leonard,590624458,135726,University of Miami
Stuart A Miller 5 00,X 0 0,Trustee & Chair,stuart,590624458,135726,University of Miami
Wayne E Chaplin 2 00,X 0 0,Trustee,wayne,590624458,135726,University of Miami
William L Morrison 2 00,X 0 0,Trustee,william,590624458,135726,University of Miami
Aaron S Podhurst 5 00,X 0 0,Trustee,aaron,590624458,135726,University of Miami
Adrienne Arsht 1 00,X 0 0,Trustee,adrienne,590624458,135726,University of Miami
Albert Vara 0 00,X 0 0,Trustee,albert,590624458,135726,University of Miami
Alex E Rodriguez 1 00,X 0 0,Trustee,alex,590624458,135726,University of Miami
Alfred R Camner 4 00,X 0 0,Trustee,alfred,590624458,135726,University of Miami
Allan M Herbert 20 00,X 0 0,Trustee,allan,590624458,135726,University of Miami
Amy Halpern 0 00,X 0 0,Trustee,amy,590624458,135726,University of Miami
Arthur H Hertz 10 00,X 0 0,Trustee,arthur,590624458,135726,University of Miami
Arva Parks McCabe 5 00,X 0 0,Trustee,arva,590624458,135726,University of Miami
Barbara A Weintraub 5 00,X 0 0,Trustee,barbara,590624458,135726,University of Miami
Barbara Hecht Havenick 2 00,X 0 0,Trustee,barbara,590624458,135726,University of Miami
Bernard J KosarJr 1 00,X 0 0,Trustee,bernard,590624458,135726,University of Miami
Betty G Amos 3 00,X 0 0,Trustee,betty,590624458,135726,University of Miami
Brenda Yester 2 00,X 0 0,Trustee,brenda,590624458,135726,University of Miami
Carlos M de la Cruz Sr 4 00,X 0 0,Trustee,carlos,590624458,135726,University of Miami
Carlos M Gutierrez 2 00,X 0 0,Trustee,carlos,590624458,135726,University of Miami
Charles E Cobb 3 00,X 0 0,Trustee,charles,590624458,135726,University of Miami
Dany GarCIa — RienZI 1 00,X 0 0,Trustee,dany,590624458,135726,University of Miami
DaVId Kraslow 1 00,X 0 0,Trustee,david,590624458,135726,University of Miami
DaVId L Epstein 3 00,X 0 0,Trustee,david,590624458,135726,University of Miami
DaVId R Weaver 10 00,X 0 0,Trustee,david,590624458,135726,University of Miami
Doyle Beneby 0 00,X 0 0 0,Trustee,doyle,590624458,135726,University of Miami
E Roe Stamps 1V 2 00,X 0 0 0,Trustee,roe,590624458,135726,University of Miami
Edward A Dauer 40 00,"x 86,629 0 26,520",Trustee/ Faculty Member,edward,590624458,135726,University of Miami
Fred Berens 5 00,X 0 0 0,Trustee,fred,590624458,135726,University of Miami
G Ed Williamson 2 00,X 0 0 0,Trustee,ed,590624458,135726,University of Miami
George Feldenkreis 1 00,X 0 0 0,Trustee,george,590624458,135726,University of Miami
HT Smith Jr 5 00,X 0 0 0,Trustee,smith,590624458,135726,University of Miami
HIlarIe Bass 2 00,X 0 0 0,Trustee & Vice Chair,bass,590624458,135726,University of Miami
Jayne Sylvester Malfitano 5 00,X 0 0 0,Trustee,jayne,590624458,135726,University of Miami
Joaqum F Blaya 7 00,X 0 0 0,Trustee,blaya,590624458,135726,University of Miami
John E Calles 1 00,X 0 0 0,Trustee,john,590624458,135726,University of Miami
Jon Batchelor 2 00,X 0 0 0,Trustee,jon,590624458,135726,University of Miami
Jorge M Perez 2 00,X 0 0 0,Trustee,jorge,590624458,135726,University of Miami
Jose P Bared 4 00,X 0 0 0,Trustee,jose,590624458,135726,University of Miami
Joseph Echevarria 2 00,X 0 0 0,Trustee,joseph,590624458,135726,University of Miami
Judi Prokop Newman 1 00,X 0 0 0,Trustee,judi,590624458,135726,University of Miami
Laurie S Silvers 1 00,X 0 0 0,Trustee,laurie,590624458,135726,University of Miami
LOIs Pope 2 00,X 0 0 0,Trustee,lois,590624458,135726,University of Miami
M Anthony Burns 5 00,X 0 0 0,Trustee,anthony,590624458,135726,University of Miami
Marc Buoniconti 10 00,X 0 0 0,Trustee,marc,590624458,135726,University of Miami
Marilyn J Holifield 1 00,X 0 0 0,Trustee,marilyn,590624458,135726,University of Miami
Michael I Abrams 1 00,X 0 0 0,Trustee,michael,590624458,135726,University of Miami
Michael Piechowski 2 00,X 0 0 0,Trustee,michael,590624458,135726,University of Miami
Nicholas A Buoniconti 10 00,X 0 0 0,Trustee,nicholas,590624458,135726,University of Miami
Patricia W Toppel 2 00,X 0 0 0,Trustee,patricia,590624458,135726,University of Miami
