line1,line2,line3,key,fein,unitid,institutionname
BYRD BONNER ESQUIRE 0 00,X 0 0 0,TRUSTEE,byrd,590704726,132602,Bethune-Cookman University
JACOB F BRYAN IV 0 00,X 0 0 0,TRUSTEE,jacob,590704726,132602,Bethune-Cookman University
JUDGE PRINCE CARTWRIGHT 0 00,X 0 0 0,TRUSTEE,judge,590704726,132602,Bethune-Cookman University
AUDLEY COAKLEY 0 00,X 0 0 0,TRUSTEE,coakley,590704726,132602,Bethune-Cookman University
JOYCE CUSACK 0 00,X 0 0 0,TRUSTEE,joyce,590704726,132602,Bethune-Cookman University
DR ROBERT M GIBBS 0 00,X 0 0 0,TRUSTEE,robert,590704726,132602,Bethune-Cookman University
LARRY R HANDFIELD ESQUIRE 0 00,X 0 0 0,TRUSTEE,larry,590704726,132602,Bethune-Cookman University
JOHN WESLEY HARRINGTON 0 00,X 0 0 0,TRUSTEE,john,590704726,132602,Bethune-Cookman University
DOROTHYE HENDERSON 0 00,X 0 0 0,TRUSTEE,henderson,590704726,132602,Bethune-Cookman University
WILLIAM E HOGAN II 0 00,X 0 0 0,TRUSTEE,william,590704726,132602,Bethune-Cookman University
KEVIN M JAMES SR 0 00,X 0 0 0,TRUSTEE,kevin,590704726,132602,Bethune-Cookman University
IRVING J MATTHEWS 0 00,X 0 0 0,TRUSTEE,irving,590704726,132602,Bethune-Cookman University
JOHNNY LMCCRAYJR 000,X 0 0 0,TRUSTEE EMERITI,johnny,590704726,132602,Bethune-Cookman University
JOYCE ODONGO 0 00,X 0 0 0,TRUSTEE,joyce,590704726,132602,Bethune-Cookman University
JOE PETROCK 0 00,X 0 0 0,TRUSTEE,joe,590704726,132602,Bethune-Cookman University
LEE E RHYANT 0 00,X 0 0 0,TRUSTEE EMERITI,lee,590704726,132602,Bethune-Cookman University
MADELINE SCALES—TAYLOR 0 00,X 0 0 0,TRUSTEE,madeline,590704726,132602,Bethune-Cookman University
TIMOTHY WALKER 0 00,X 0 0 0,TRUSTEE EMERITI,timothy,590704726,132602,Bethune-Cookman University
ETIENNE R ET WINZER 0 00,X 0 0 0,TRUSTEE,etienne,590704726,132602,Bethune-Cookman University
EUGENE ZIMMERMAN 0 00,X 0 0 0,TRUSTEE,eugene,590704726,132602,Bethune-Cookman University
NELSON L ADAMS 0 00,X 0 0 0,TRUSTEE,nelson,590704726,132602,Bethune-Cookman University
WILLIAM S BARNES 0 00,X 0 0 0,TRUSTEE EMERITI,william,590704726,132602,Bethune-Cookman University
ROBERT L BILLINGSLEA 0 00,X 0 0 0,TRUSTEE,robert,590704726,132602,Bethune-Cookman University
ARTHUR R BRINSON 0 00,X 0 0 0,TRUSTEE,arthur,590704726,132602,Bethune-Cookman University
JOHN DOUGLAS 0 00,X 0 0 0,TRUSTEE,john,590704726,132602,Bethune-Cookman University
JOYCE A HANKS—MOOREHEAD 0 00,X,TRUSTEE,joyce,590704726,132602,Bethune-Cookman University
LINDA F WELLS ESQUIRE 0 00,X,TRUSTEE,linda,590704726,132602,Bethune-Cookman University
BURNEY BIVENS 0 00,X,TRUSTEE EMERITI,burney,590704726,132602,Bethune-Cookman University
MATTHEW L BROWN 0 00,X,TRUSTEE EMERITI,matthew,590704726,132602,Bethune-Cookman University
LEE BRYAN 0 00,X,TRUSTEE EMERITI,lee,590704726,132602,Bethune-Cookman University
ROBERT C CARTER 0 00,X,TRUSTEE EMERITI,robert,590704726,132602,Bethune-Cookman University
CHARLES W COURTOY 0 00,X,TRUSTEE EMERITI,charles,590704726,132602,Bethune-Cookman University
NATHANIEL DAVIS 0 00,X,TRUSTEE EMERITI,nathaniel,590704726,132602,Bethune-Cookman University
ROBERT E FANNIN 0 00,X,TRUSTEE EMERITI,robert,590704726,132602,Bethune-Cookman University
MCCOY GIBBS 0 00,X,TRUSTEE EMERITI,mccoy,590704726,132602,Bethune-Cookman University
JAMES R GREGG 0 00,X,TRUSTEE EMERITI,james,590704726,132602,Bethune-Cookman University
DAVID R HOCHSTETLER 0 00,X,TRUSTEE EMERITI,david,590704726,132602,Bethune-Cookman University
WENDELL P HOLMES JR 0 00,X,TRUSTEE EMERITI,wendell,590704726,132602,Bethune-Cookman University
JAMES LLOYD KNOX 0 00,X,TRUSTEE EMERITI,james,590704726,132602,Bethune-Cookman University
MICHAEL P JOHNSON 0 00,X,TRUSTEE EMERITI,michael,590704726,132602,Bethune-Cookman University
F MICHAEL KYLE 0 00,X,TRUSTEE EMERITI,michael,590704726,132602,Bethune-Cookman University
L GALE LEMERAND 0 00,X,TRUSTEE EMERITI,gale,590704726,132602,Bethune-Cookman University
J STANLEY MARSHALL 0 00,X,TRUSTEE EMERITI,stanley,590704726,132602,Bethune-Cookman University
MARY ALICE MASSEY 0 00,X,TRUSTEE EMERITI,mary,590704726,132602,Bethune-Cookman University
LA—DORIS MCCLANEY 0 00,X,TRUSTEE EMERITI,mcclaney,590704726,132602,Bethune-Cookman University
