line1,line2,line3,key,fein,unitid,institutionname
(1) OLEN E BRITNELL 1 00,X 0 0 0,Director 0 00,olen,590737882,133809,Florida College
(2) DANIEL N BURTON 1 00,X 0 0 0,Director 0 00,daniel,590737882,133809,Florida College
(3) J BRADLEY CAVENDER 1 00,X 0 0 0,Director 0 00,bradley,590737882,133809,Florida College
(4) LARRY R COFFEY 1 00,X X 0 0 0,Secretary/Direc 0 00,larry,590737882,133809,Florida College
(5) S CRAIG HODGES 1 00,X 0 0 0,Director 0 00,craig,590737882,133809,Florida College
(6) DAVID M COOPER 1 00,X X 0 0 0,Chainnan/Direct 0 00,david,590737882,133809,Florida College
(7) JOSEPH P HAMMONTREE 1 00,X 0 0 0,Director 0 00,joseph,590737882,133809,Florida College
(8) A WALLACE HAYES 1 00,X 0 0 0,Director 0 00,wallace,590737882,133809,Florida College
(9) PHILIP E FORD 1 00,X 0 0 0,Director 0 00,philip,590737882,133809,Florida College
(10) R DAVID CARROZZA 1 00,X 0 0 0,Director 0 00,david,590737882,133809,Florida College
(11) DANNY L LITI'ELL 1 00,X 0 0 0,Director 0 00,danny,590737882,133809,Florida College
(12) KEVIN E HYDE 1 00,X 0 0 0,Director 0 00,kevin,590737882,133809,Florida College
(13) CHARLES F NOWLIN SR 1 00,X X 0 0 0,TREASURER/DIREC 0 00,charles,590737882,133809,Florida College
(14) TIM A SLONE 1 00,X 0 0 0,Director 0 00,tim,590737882,133809,Florida College
(15) STEPHEN T WILSHER 1 00,X 0 0 0,Director 0 00,stephen,590737882,133809,Florida College
(16) WILLIAM T SMITH 1 00,X 0 0 0,Director 0 00,william,590737882,133809,Florida College
(17) LEE M HASTINGS 1 00,X 0 0 0,Director 0 00,lee,590737882,133809,Florida College
(18) DOUGLAS H NORTHCU'I'I' 40 00,"X 66,733 0",Vice PreSIdent 0 00,douglas,590737882,133809,Florida College
(19) HARRY E PAYNE JR 40 00,"X 146,199 0",PreSIdent 0 00,harry,590737882,133809,Florida College
(20) RONALD STACKPOLE 40 00,"X 85,159 0",CBO 0 00,ronald,590737882,133809,Florida College
