line1,line2,line3,key,fein,unitid,institutionname
ANGELA LEET 1 00,X X 0 0 0,TRUSTEE,angela,610444780,157757,Spalding University
BETH NIBLOCK 1 00,X X 0 0 0,SECRETARY (PARTIAL YEAR),beth,610444780,157757,Spalding University
JAMES A MORRIS 1 00,X X 0 0 0,TRUSTEE,james,610444780,157757,Spalding University
JON A MEYER 1 00,X X 0 0 0,CHAIR,jon,610444780,157757,Spalding University
ALFONSO N CORNISH 1 00,X 0 0 0,TRUSTEE,alfonso,610444780,157757,Spalding University
ANTHONY DISSER 1 00,X 0 0 0,TRUSTEE,anthony,610444780,157757,Spalding University
BRIAN B REYNOLDS 1 00,X 0 0 0,FIRST VICE CHAIR,brian,610444780,157757,Spalding University
FIRST VICE CHAIR,CORDELL LAWRENCE 1 00,X 0 0 0,first,610444780,157757,Spalding University
CORDELL LAWRENCE 1 00,X 0 0 0,TRUSTEE,cordell,610444780,157757,Spalding University
DANA JACKSON 1 00,X 0 0 0,TRUSTEE,dana,610444780,157757,Spalding University
DAVID KAREM 1 00,X 0 0 0,TRUSTEE,david,610444780,157757,Spalding University
DEVONE HOLT 1 00,X 0 0 0,TRUSTEE (PARTIAL YEAR),devone,610444780,157757,Spalding University
JAMES RISSLER 1 00,X 0 0 0,TRUSTEE,james,610444780,157757,Spalding University
JANET GEURIN MULLER 1 00,X 0 0 0,TRUSTEE (PARTIAL YEAR),janet,610444780,157757,Spalding University
JEFF BRINGARDNER 1 00,X 0 0 0,TRUSTEE,jeff,610444780,157757,Spalding University
M SERRA GOETHALS SCN 1 00,X 0 0 0,TRUSTEE,serra,610444780,157757,Spalding University
MARY WOLFORD 1 00,X 0 0 0,TRUSTEE,mary,610444780,157757,Spalding University
NANCY WARFIELD 1 00,X 0 0 0,TRUSTEE (PARTIAL YEAR),nancy,610444780,157757,Spalding University
NEAL RICHMOND MD 1 00,X 0 0 0,TRUSTEE,neal,610444780,157757,Spalding University
NICHOLAS HARSHFIELD 1 00,X 0 0 0,TRUSTEE,nicholas,610444780,157757,Spalding University
PAUL CHRISCO 1 00,X 0 0 0,TRUSTEE,paul,610444780,157757,Spalding University
PAUL RA‘I'I'ERMAN 1 00,X 0 0 0,SECOND VICE CHAIR,paul,610444780,157757,Spalding University
SECOND VICE CHAIR,PERRY E SANGALLI ED D 1 00,X 0 0 0,second,610444780,157757,Spalding University
PERRY E SANGALLI ED D 1 00,X 0 0 0,TRUSTEE,perry,610444780,157757,Spalding University
RICK BLACKWELL 1 00,X 0 0 0,TRUSTEE,rick,610444780,157757,Spalding University
ROSE HOWARD SCN 1 00,X 0 0 0,TRUSTEE,rose,610444780,157757,Spalding University
WILLIAM BLODGETT 1 00,X 0 0 0,TRUSTEE,william,610444780,157757,Spalding University
WILLIAM E SUMMERS V 1 00,X 0 0 0,TRUSTEE,william,610444780,157757,Spalding University
LEWIS RANDY STRICKLAND 40 00,"X 208,578 0 25,583",PROVOST,lewis,610444780,157757,Spalding University
MARK P HOHMANN 40 00,"X 102,655 0 12,419",CFO,mark,610444780,157757,Spalding University
RICK HUDSON 40 00,"x 98,595 0 31,424",DEAN OF STUDENTS,rick,610444780,157757,Spalding University
TORI M MCCLURE 40 00,"X 243,445 0 37,712",PRESIDENT,tori,610444780,157757,Spalding University
BEVERLY KEEPERS 40 00,"x 131,874 0 8,189","DEAN, COLLEGE OF EDUCATION",beverly,610444780,157757,Spalding University
JOANNE BERRYMAN 40 00,"X 124,441 0 27,437","DEAN, COLLEGE OF HEALTH & NATURAL SCIENCES",joanne,610444780,157757,Spalding University
KATHLEEN KLUEBER PHD 40 00,"X 109,681 0 15,619",PROFESSOR AND CHAIR—SCHOOL OF NATURAL SCIENCE,kathleen,610444780,157757,Spalding University
LAURA STRICKLAND 40 00,"X 117,268 0 20,468",FACULTY,laura,610444780,157757,Spalding University
MICHELLE REISS 40 00,"X 123,027 0 10,124",FACULTY,michelle,610444780,157757,Spalding University
