line1,line2,line3,key,fein,unitid,institutionname
TERRY L DOTSON 10 00,X 0 0 0,CHAIRMAN,terry,610444788,157535,University of Pikeville
WILLIAM J BAIRD III 2 00,X 0 0 0,VICE CHAIRMAN,william,610444788,157535,University of Pikeville
DANIEL P STRATTON 2 00,X 0 0 0,SECRETARY,daniel,610444788,157535,University of Pikeville
JAMES H BOOTH 2 00,X 0 0 0,TRUSTEE,james,610444788,157535,University of Pikeville
CLAYTON CLINE 2 00,X 0 0 0,TRUSTEE,clayton,610444788,157535,University of Pikeville
BALLARD W CASSADY JR 2 00,X 0 0 0,TRUSTEE,ballard,610444788,157535,University of Pikeville
JAMIE S BOWLING 2 00,X 0 0 0,TRUSTEE,jamie,610444788,157535,University of Pikeville
SARA WALTER COMBS 2 00,X 0 0 0,TRUSTEE,sara,610444788,157535,University of Pikeville
LINDA SCOTT DEROSIER 2 00,X 0 0 0,TRUSTEE,linda,610444788,157535,University of Pikeville
JERALD F COMBS OD 2 00,X 0 0 0,TRUSTEE,jerald,610444788,157535,University of Pikeville
JOHN DUVALL ELLIOTT 2 00,X 0 0 0,TRUSTEE,john,610444788,157535,University of Pikeville
DONALD F CECIL 2 00,X 0 0 0,TRUSTEE,donald,610444788,157535,University of Pikeville
HE MIKE GARDNER JR 2 00,X 0 0 0,TRUSTEE,mike,610444788,157535,University of Pikeville
GREGORY V HAZELETT DO 2 00,X 0 0 0,TRUSTEE,gregory,610444788,157535,University of Pikeville
HARDING E DAWAHARE 2 00,X 0 0 0,TRUSTEE,harding,610444788,157535,University of Pikeville
ROBERT SCOTT MADDEN 2 00,X 0 0 0,TRUSTEE,robert,610444788,157535,University of Pikeville
WILLIAM P MALONE 2 00,X 0 0 0,TRUSTEE,william,610444788,157535,University of Pikeville
TIMOTHY B MATTHEWS 2 00,X 0 0 0,TRUSTEE,timothy,610444788,157535,University of Pikeville
ROY PALK 2 00,X 0 0 0,TRUSTEE,roy,610444788,157535,University of Pikeville
REED D POTTER JR 2 00,X 0 0 0,TRUSTEE,reed,610444788,157535,University of Pikeville
WILLIAM N RAMSEY JR 2 00,X 0 0 0,TRUSTEE,william,610444788,157535,University of Pikeville
ROBERT B SPARKS 2 00,X 0 0 0,TRUSTEE,robert,610444788,157535,University of Pikeville
RICHARD A STURGILL 2 00,X 0 0 0,TRUSTEE,richard,610444788,157535,University of Pikeville
JEAN R HALE 2 00,X 0 0 0,TRUSTEE,jean,610444788,157535,University of Pikeville
GEORGE THOMAS DO 2 00,X 0 0 0,TRUSTEE,george,610444788,157535,University of Pikeville
JOE E ELLIS OD 2 00,X 0 0 0,TRUSTEE,joe,610444788,157535,University of Pikeville
RONALD G MCCOY OD 2 00,X 0 0 0,TRUSTEE,ronald,610444788,157535,University of Pikeville
RONNIE R HAMPTON 2 00,X 0 0 0,TRUSTEE,ronnie,610444788,157535,University of Pikeville
BOB M HUTCHISON 2 00,X 0 0 0,TRUSTEE,bob,610444788,157535,University of Pikeville
BILLA WEBB DO 2 00,X 0 0 0,TRUSTEE,billa,610444788,157535,University of Pikeville
JED WEINBERG 2 00,X 0 0 0,TRUSTEE,jed,610444788,157535,University of Pikeville
JODY JOHNSON DO 2 00,X 0 0 0,TRUSTEE,jody,610444788,157535,University of Pikeville
SHANNON WRIGHT 2 00,X 0 0 0,TRUSTEE,shannon,610444788,157535,University of Pikeville
M LYNN PARRISH 2 00,X 0 0 0,TRUSTEE,lynn,610444788,157535,University of Pikeville
GREGORY WELLS 2 00,X 0 0 0,TRUSTEE,gregory,610444788,157535,University of Pikeville
GREGORY WILSON 2 00,X 0 0 0,TRUSTEE,gregory,610444788,157535,University of Pikeville
E BRUCE WALTERS II 2 00,X 0 0 0,TRUSTEE,bruce,610444788,157535,University of Pikeville
JAMES L HURLEY 40 00,"X X 136,412 0 18,448",PRESIDENT,james,610444788,157535,University of Pikeville
PAUL E PATTON 40 00,"x 127,250 0 9,275",CHANCELLOR,paul,610444788,157535,University of Pikeville
ERIC BECHER 40 00,"X 104,030 0 10,623",VP FOR ADVANCEMENT,eric,610444788,157535,University of Pikeville
BOYD R BUSER 40 00,"X 331,427 0 27,310",VP FOR HEALTH AFFAIRS/DEAN KYCOM,boyd,610444788,157535,University of Pikeville
RONALD D DAMRON 40 00,"X 106,028 0 11,099",VP STUDENT SERVICES,ronald,610444788,157535,University of Pikeville
DOUGLAS LANGE 40 00,"X 117,614 0 12,495",VP FINANCE/BUSINESS AFFAIR,douglas,610444788,157535,University of Pikeville
THOMAS R HESS 40 00,"X 109,731 0 11,500",VP ACADEMIC AFFAIRS,thomas,610444788,157535,University of Pikeville
RANDY LITMAN 40 00,"X 225,552 0 19,687",ASSOC DEAN OF CLINICAL SCI,randy,610444788,157535,University of Pikeville
EDWARD STILES 40 00,"X 196,816 0 18,732",PROFESSOR OP & P,edward,610444788,157535,University of Pikeville
LAURA GRIFFIN 40 00,"X 211,120 0 20,953",ASSOCIATE PROFESSOR OP & P,laura,610444788,157535,University of Pikeville
PETER ZAJAC 40 00,"X 192,154 0 17,128",DIR OF CLINICAL SKILLS TRA,peter,610444788,157535,University of Pikeville
WILLIAM BETZ 40 00,"X 256,344 0 21,870",SR ASSOC DEAN OF OSTEOPATH,william,610444788,157535,University of Pikeville
