line1,line2,line3,key,fein,unitid,institutionname
DR JAMES JONES,"X 16,665 0 0",TRUSTEE/OUTR,james,610469267,156365,Campbellsville University
DR JAY CONNER,"X 10,800 0 0",TRUSTEE/CONS,jay,610469267,156365,Campbellsville University
DR MIKE O'NEAL,"X 10,700 0 0",TRUSTEE/PT F,mike,610469267,156365,Campbellsville University
MR STEVE BRANSCUM,X 0 0 0,TRUSTEE,steve,610469267,156365,Campbellsville University
MR JOHN BALL,X 0 0 0,TRUSTEE,john,610469267,156365,Campbellsville University
MR IVAN BENNETT,X 0 0 0,TRUSTEE,ivan,610469267,156365,Campbellsville University
MR KENNY BENNETT,X 0 0 0,TRUSTEE,kenny,610469267,156365,Campbellsville University
MR BARRY BERTRAM,X 0 0 0,TRUSTEE,barry,610469267,156365,Campbellsville University
MR JERRY BLANKENSHIP,X 0 0 0,TRUSTEE,jerry,610469267,156365,Campbellsville University
MR BARRY BLEVINS,X 0 0 0,TRUSTEE,barry,610469267,156365,Campbellsville University
MRS PAT BURKHART,X 0 0 0,TRUSTEE,pat,610469267,156365,Campbellsville University
MS ANNA MARY BYRDWELL,X 0 0 0,TRUSTEE,anna,610469267,156365,Campbellsville University
MR BUZZ CASON,X 0 0 0,TRUSTEE,cason,610469267,156365,Campbellsville University
MRS TERRI CASSELL,X 0 0 0,TRUSTEE,terri,610469267,156365,Campbellsville University
DR JOHNNIE CLARK,X 0 0 0,TRUSTEE,johnnie,610469267,156365,Campbellsville University
MR MIKE EASTRIDGE,X 0 0 0,TRUSTEE,mike,610469267,156365,Campbellsville University
DR DOUG FELTNER,X 0 0 0,TRUSTEE,doug,610469267,156365,Campbellsville University
MRS JANA GORE,X 0 0 0,TRUSTEE,jana,610469267,156365,Campbellsville University
MR DONNIE GOSSER,X 0 0 0,TRUSTEE,donnie,610469267,156365,Campbellsville University
REV JOEL CARWILE,X 0 0 0,TRUSTEE,joel,610469267,156365,Campbellsville University
DR E BRUCE HEILMAN,X 0 0 0,TRUSTEE,bruce,610469267,156365,Campbellsville University
DR KARL CLINARD,X 0 0 0,TRUSTEE,karl,610469267,156365,Campbellsville University
MR HENRY LEE,X 0 0 0,TRUSTEE,henry,610469267,156365,Campbellsville University
DR RON LEWIS,X 0 0 0,TRUSTEE,ron,610469267,156365,Campbellsville University
MRS MARY FRANCES MAY,X 0 0 0,TRUSTEE,mary,610469267,156365,Campbellsville University
MR ALEX MONTGOMERY,X 0 0 0,TRUSTEE,alex,610469267,156365,Campbellsville University
DR DAVID MORRIS,X 0 0 0,TRUSTEE,david,610469267,156365,Campbellsville University
MRS MILDRED NEWTON,X 0 0 0,TRUSTEE,mildred,610469267,156365,Campbellsville University
DR LARRY NOE,X 0 0 0,TRUSTEE,larry,610469267,156365,Campbellsville University
MR PAUL OSBORNE,X 0 0 0,TRUSTEE,paul,610469267,156365,Campbellsville University
DR JOSEPH L OWENS,X 0 0 0,TRUSTEE,joseph,610469267,156365,Campbellsville University
DR CAROL PEDDICORD,X 0 0 0,TRUSTEE,carol,610469267,156365,Campbellsville University
MR WM STEVE WRIGHT,X 0 0 0,TRUSTEE,wm,610469267,156365,Campbellsville University
MRS AVA BINGHAM REYNOLDS,X 0 0 0,TRUSTEE,ava,610469267,156365,Campbellsville University
DR JAY ROBISON,X 0 0 0,TRUSTEE,jay,610469267,156365,Campbellsville University
MR CHRIS REYNOLDS,X 0 0 0,TRUSTEE,chris,610469267,156365,Campbellsville University
MS MALINDA SMITH,X 0 0 0,TRUSTEE,malinda,610469267,156365,Campbellsville University
MR HAYWARD SPINKS,X 0 0 0,TRUSTEE,hayward,610469267,156365,Campbellsville University
DR RALPH TESSENEER,X 0 0 0,TRUSTEE,ralph,610469267,156365,Campbellsville University
MR TOMMY TURNER,X 0 0 0,TRUSTEE,tommy,610469267,156365,Campbellsville University
DR TOMMY VALENTINE,X 0 0 0,TRUSTEE,tommy,610469267,156365,Campbellsville University
MRS SHIRLEY WHITEHOUSE,X 0 0 0,TRUSTEE,shirley,610469267,156365,Campbellsville University
MR NORRIS PRIEST,X 0 0 0,TRUSTEE,norris,610469267,156365,Campbellsville University
MRS JANE WHEATLEY,X 0 0 0,TRUSTEE,jane,610469267,156365,Campbellsville University
MR STEVE GARRETT,X 0 0 0,TRUSTEE,steve,610469267,156365,Campbellsville University
DR J CORDELL MADDOX,X 0 0 0,TRUSTEE,cordell,610469267,156365,Campbellsville University
MR GUY MONTGOMERY,X 0 0 0,TRUSTEE,guy,610469267,156365,Campbellsville University
MR RON RAFFERTY,X 0 0 0,TRUSTEE/PT F,ron,610469267,156365,Campbellsville University
DR GEORGE W RANSDELL,X 0 0 0,TRUSTEE,george,610469267,156365,Campbellsville University
REV MATTHEW SMYZER,X 0 0 0,TRUSTEE,matthew,610469267,156365,Campbellsville University
REV LEON WILSON,X 0 0 0,TRUSTEE,leon,610469267,156365,Campbellsville University
MR GEORGE BRIGHT,X 0 0 0,DR MICHAEL V CARTER 50 00,george,610469267,156365,Campbellsville University
DR MICHAEL V CARTER 50 00,"X 277,710 0 16,986",PRESIDENT,michael,610469267,156365,Campbellsville University
MR OTI'O TENNANT 50 00,"X 121,193 0 19,690",VP FINANCE/A,tennant,610469267,156365,Campbellsville University
DR FRANK CHEATHAM 50 00,"X 117,013 0 25,752",VP ACADEMIC,frank,610469267,156365,Campbellsville University
DR KEITH SPEARS 50 00,"X 106,712 0 14,844",VP REG/PROF,keith,610469267,156365,Campbellsville University
MR JOHN CHOWNING 50 00,"X 104,146 0 24,241",VP CHURCH/EX,john,610469267,156365,Campbellsville University
MR BENJI KELLY 50 00,"x 86,801 0 15,491",VP DEVELOPME,kelly,610469267,156365,Campbellsville University
