line1,line2,line3,key,fein,unitid,institutionname
(1) KEN AULEN 2 00,X X 0 0 0,TRUSTEE AND TREASURER,ken,610510937,157100,Kentucky Christian University
(2) TOMMY BAKER 2 00,X 0 0 0,TRUSTEE,tommy,610510937,157100,Kentucky Christian University
(3) JAMES GIBSON 2 00,X 0 0 0,TRUSTEE,james,610510937,157100,Kentucky Christian University
(4) JOHN GLISTA 2 00,X 0 0 0,TRUSTEE,john,610510937,157100,Kentucky Christian University
(5) TRACY HANSEN 2 00,X 0 0 0,TRUSTEE,tracy,610510937,157100,Kentucky Christian University
(6) JEFF HUGUS 2 00,X X 0 0 0,TRUSTEE AND VICE—CHAIR,jeff,610510937,157100,Kentucky Christian University
(7) DR PHILIP LEMASTER 2 00,X X 0 0 0,TRUSTEE,philip,610510937,157100,Kentucky Christian University
(8) DIANE MANSFIELD 2 00,X 0 0 0,TRUSTEE AND SECRETARY,diane,610510937,157100,Kentucky Christian University
(9) DR JERRY SANDERS 2 00,X X 0 0 0,TRUSTEE AND CHAIR,jerry,610510937,157100,Kentucky Christian University
(10) BARRY TAYLOR 2 00,X 0 0 0,TRUSTEE,barry,610510937,157100,Kentucky Christian University
(11) KIMBERLY TURPIN 2 00,X 0 0 0,TRUSTEE,kimberly,610510937,157100,Kentucky Christian University
(12) ROBERT L WATERS 2 00,X 0 0 0,TRUSTEE,robert,610510937,157100,Kentucky Christian University
(13) JOHN WELSH 2 00,X 0 0 0,TRUSTEE,john,610510937,157100,Kentucky Christian University
(14) DR JEFFREY K METCALF 40 00,"X 113,052 0 12,440",PRESIDENT,jeffrey,610510937,157100,Kentucky Christian University
