line1,line2,line3,key,fein,unitid,institutionname
REV BENNIE BUSH 2 00,X 0 0 0,BOARD OF TRUSTEES,bennie,616002351,156417,Clear Creek Baptist Bible College
REV KEITH SANDS 2 00,X 0 0 0,BOARD OF TRUSTEES,keith,616002351,156417,Clear Creek Baptist Bible College
REV HARLAN AVERA 2 00,X 0 0 0,BOARD OF TRUSTEES,harlan,616002351,156417,Clear Creek Baptist Bible College
REV ED AMUNDSON 2 00,X 0 0 0,BOARD OF TRUSTEES,ed,616002351,156417,Clear Creek Baptist Bible College
MRS ESTHER J BAILEY 2 00,X 0 0 0,BOARD OF TRUSTEES,esther,616002351,156417,Clear Creek Baptist Bible College
DR DURWOOD BEATTY 2 00,X 0 0 0,BOARD OF TRUSTEES,beatty,616002351,156417,Clear Creek Baptist Bible College
REV BILL BOLDT 2 00,X 0 0 0,BOARD OF TRUSTEES,bill,616002351,156417,Clear Creek Baptist Bible College
REV MD CABE 2 00,X 0 0 0,BOARD OF TRUSTEES,md,616002351,156417,Clear Creek Baptist Bible College
REV KENNETH DICK 2 00,X 0 0 0,BOARD OF TRUSTEES,kenneth,616002351,156417,Clear Creek Baptist Bible College
REV KEN FELTY 2 00,X 0 0 0,BOARD OF TRUSTEES,ken,616002351,156417,Clear Creek Baptist Bible College
MR CRAIG GARLAND 2 00,X 0 0 0,BOARD OF TRUSTEES,craig,616002351,156417,Clear Creek Baptist Bible College
MR PAUL ATCHISON 2 00,X 0 0 0,BOARD OF TRUSTEES,paul,616002351,156417,Clear Creek Baptist Bible College
DR ROY GRAVES 2 00,X 0 0 0,BOARD OF TRUSTEES,roy,616002351,156417,Clear Creek Baptist Bible College
REV RICK HATLEY 2 00,X 0 0 0,BOARD OF TRUSTEES,rick,616002351,156417,Clear Creek Baptist Bible College
REV ROB ISON 2 00,X 0 0 0,BOARD OF TRUSTEES,rob,616002351,156417,Clear Creek Baptist Bible College
REV JOHNNY JERVIS 2 00,X 0 0 0,BOARD OF TRUSTEES,johnny,616002351,156417,Clear Creek Baptist Bible College
MR TIM LANGFORD 2 00,X 0 0 0,BOARD OF TRUSTEES,tim,616002351,156417,Clear Creek Baptist Bible College
DR KATHY LEFEVERS 2 00,X 0 0 0,BOARD OF TRUSTEES,kathy,616002351,156417,Clear Creek Baptist Bible College
REV MIKE BLANKENSHIP 2 00,X 0 0 0,BOARD OF TRUSTEES,mike,616002351,156417,Clear Creek Baptist Bible College
MR JOHN MOORE 2 00,X 0 0 0,BOARD OF TRUSTEES,john,616002351,156417,Clear Creek Baptist Bible College
LYNITA BROWN 2 00,X 0 0 0,BOARD OF TRUSTEES,brown,616002351,156417,Clear Creek Baptist Bible College
REV ELLIS PAYNE 2 00,X 0 0 0,BOARD OF TRUSTEES,ellis,616002351,156417,Clear Creek Baptist Bible College
REV MAX COOPER 2 00,X 0 0 0,BOARD OF TRUSTEES,max,616002351,156417,Clear Creek Baptist Bible College
MR DANE POE 2 00,X 0 0 0,BOARD OF TRUSTEES,dane,616002351,156417,Clear Creek Baptist Bible College
MR BO RYSER 2 00,X 0 0 0,BOARD OF TRUSTEES,bo,616002351,156417,Clear Creek Baptist Bible College
REV BOBBY SELLERS 2 00,X 0 0 0,BOARD OF TRUSTEES,bobby,616002351,156417,Clear Creek Baptist Bible College
REV JEFF SHOUSE 2 00,X 0 0 0,BOARD OF TRUSTEES,jeff,616002351,156417,Clear Creek Baptist Bible College
REV JERRY TOOLEY 2 00,X 0 0 0,BOARD OF TRUSTEES,jerry,616002351,156417,Clear Creek Baptist Bible College
REV JOSH SMITH 2 00,X 0 0 0,BOARD OF TRUSTEES,josh,616002351,156417,Clear Creek Baptist Bible College
DONALD 5 FOX 40 00,"X 60,563 0 0",PRESIDENT,donald,616002351,156417,Clear Creek Baptist Bible College
JEREMY W ANDERSON 40 00,"X 42,620 0 0",DEAN OF ADMINISTRATIVE AFF,jeremy,616002351,156417,Clear Creek Baptist Bible College
MALCOLM O HESTER 40 00,"X 62,089 0 0",DEAN OF ACADEMIC AFFAIRS,malcolm,616002351,156417,Clear Creek Baptist Bible College
JAMES H SULFRIDGE 40 00,"X 47,738 0 0",DEAN OF INSTITUTIONAL DEVE,james,616002351,156417,Clear Creek Baptist Bible College
DAVID WADE 40 00,"X 56,650 0 0",DEAN OF STUDENT AFFAIRS,david,616002351,156417,Clear Creek Baptist Bible College
MONIQUE M BAILEY 40 00,"X 33,028 0 0",DIRECTOR OF BUSINESS SERVI,monique,616002351,156417,Clear Creek Baptist Bible College
DIRECTOR OF BUSINESS SERVI,SAMUEL RISNER 40 00,"X 35,058 0 0",servi,616002351,156417,Clear Creek Baptist Bible College
