line1,line2,line3,key,fein,unitid,institutionname
MrJoseph M Dawson 2,X 0 0 0,Board Member 0,dawson,620475691,220710,Maryville College
Ms Jenny LInd EnNIn 2,X 0 0 0,Board Member 0,jenny,620475691,220710,Maryville College
Mr WIllIam E Harmon 2,X 0 0 0,Board Member 0,william,620475691,220710,Maryville College
Mr G Donald HIckman 2,X 0 0 0,Board Member 0,donald,620475691,220710,Maryville College
Ms DIane HumphreysBarlow 2,X 0 0 0,Board Member 0,diane,620475691,220710,Maryville College
Mr Mark 5 Ingram 2,X 0 0 0,Board Member 0,mark,620475691,220710,Maryville College
Mr] WIllIam Johnson 2,X 0 0 0,Board Member 0,william,620475691,220710,Maryville College
Mr Rufus B KIng 2,X 0 0 0,Board Member 0,rufus,620475691,220710,Maryville College
Mr Ronald Y Koo 2,X 0 0 0,Board Member 0,ronald,620475691,220710,Maryville College
Mr Wayne R Kramer 2,X 0 0 0,Board Member 0,wayne,620475691,220710,Maryville College
Ms SherrI P Lee 2,X 0 0 0,Board Member 0,sherri,620475691,220710,Maryville College
Mr AdrIel McCord 2,X 0 0 0,Board Member 0,adriel,620475691,220710,Maryville College
Dr Charles W Mercer 2,X 0 0 0,Board Member 0,charles,620475691,220710,Maryville College
Dr] Robert MerrIman 2,X 0 0 0,Board Member 0,robert,620475691,220710,Maryville College
Ms VIrgInIa K Morrow 2,X 0 0 0,Board Member 0,virginia,620475691,220710,Maryville College
Mr AIVIn Nance 2,X 0 0 0,Board Member 0,nance,620475691,220710,Maryville College
Mr] Douglas Overbey 2,X 0 0 0,Board Member 0,douglas,620475691,220710,Maryville College
Dr TImothy A Poole 2,X 0 0 0,Board Member 0,timothy,620475691,220710,Maryville College
Rev WIllIam Judson Shaw 2,X 0 0 0,Board Member 0,william,620475691,220710,Maryville College
DrT Bryson Struse III 2,X 0 0 0,Board Member 0,bryson,620475691,220710,Maryville College
Ms KrIstIne R Tallent 2,X 0 0 0,Board Member 0,kristine,620475691,220710,Maryville College
Dr Taylor C Weatherbee 2,X 0 0 0,Board Member 0,taylor,620475691,220710,Maryville College
MrJeffrey K WIllIs 2,X 0 0 0,Board Member 0,willis,620475691,220710,Maryville College
Ms Debra WIlson 2,X 0 0 0,Board Member 0,debra,620475691,220710,Maryville College
Rev Sharon K Youngs 2,X 0 0 0,Board Member 0,sharon,620475691,220710,Maryville College
Ms ElIzabeth A Bulette 2,X 0 0 0,Board Member 0,elizabeth,620475691,220710,Maryville College
Mr Hulet M Chaney 2,X 0 0 0,Board Member 0,hulet,620475691,220710,Maryville College
Dr Bryant L Cureton 2,X 0 0 0,Board Member 0,bryant,620475691,220710,Maryville College
Mr C MIchael DaVIs Jr 2,X 0 0 0,Board Member 0,michael,620475691,220710,Maryville College
Ms Cheryl S Massmgale 2,X 0 0 0,Board Member 0,cheryl,620475691,220710,Maryville College
Ms JudIth M Penry 2,X 0 0 0,Board Member 0,judith,620475691,220710,Maryville College
Ms Ann L RIgell 2,X 0 0 0,Board Member 0,ann,620475691,220710,Maryville College
Dr WIllIam T Bogart 40,"X X 259,902 0 21,595",PreSIdent 0,william,620475691,220710,Maryville College
Mr Dana SmIth 40,"X 121,972 0 11,649",Treasurer 0,dana,620475691,220710,Maryville College
Mrs Alta Kemp 40,"X 100,941 0 10,655",VIce PreSIdent 0,alta,620475691,220710,Maryville College
Dr Barbara A Wells 40,"X 140,737 0 12,649",VIce PreSIdent 0,barbara,620475691,220710,Maryville College
Dr Dolphus E Henry 40,"X 116,601 0 11,399",VIce PreSIdent 0,henry,620475691,220710,Maryville College
Dr Gerald W GIbson 0,"X 43,025 0 0",PreSIdent RetIred 0,gerald,620475691,220710,Maryville College
MelInda S Booker 40,"x 40,776 0 3,804",VIce PreSIdent 0,melinda,620475691,220710,Maryville College
Blake SmIth 40,"x 43,119 0 4,472",General Manager — Clayton Center for the Arts 0,blake,620475691,220710,Maryville College
