line1,line2,line3,key,fein,unitid,institutionname
JOHN MCKEE SLOAN 2 00,X 0 0 0,BOARD MEMBER,john,620475697,221519,Sewanee-The University of the South
SUSAN SLOAN 2 00,X 0 0 0,BOARD MEMBER,susan,620475697,221519,Sewanee-The University of the South
CORNELIA HEFLIN 2 00,X 0 0 0,BOARD MEMBER,cornelia,620475697,221519,Sewanee-The University of the South
W CHARLES MAYER III 2 00,X 0 0 0,BOARD MEMBER,charles,620475697,221519,Sewanee-The University of the South
LARRY R BENFIELD 2 00,X 0 0 0,BOARD MEMBER,larry,620475697,221519,Sewanee-The University of the South
KENNETH T PARKS 2 00,X 0 0 0,BOARD MEMBER,kenneth,620475697,221519,Sewanee-The University of the South
BILLY RICHARD CATO 2 00,X 0 0 0,BOARD MEMBER,billy,620475697,221519,Sewanee-The University of the South
ELLEN GRAY 2 00,X 0 0 0,BOARD MEMBER,ellen,620475697,221519,Sewanee-The University of the South
ROBERT C WRIGHT 2 00,X 0 0 0,BOARD MEMBER,robert,620475697,221519,Sewanee-The University of the South
SHARON HIERS 2 00,X 0 0 0,BOARD MEMBER,sharon,620475697,221519,Sewanee-The University of the South
STEVE BURNETT 2 00,X 0 0 0,BOARD MEMBER,steve,620475697,221519,Sewanee-The University of the South
GEORGE WILLIAMSON 2 00,X 0 0 0,BOARD MEMBER,george,620475697,221519,Sewanee-The University of the South
GREGORY O BREWER 2 00,X 0 0 0,BOARD MEMBER,gregory,620475697,221519,Sewanee-The University of the South
STEPHEN CLIFTON 2 00,X 0 0 0,BOARD MEMBER,stephen,620475697,221519,Sewanee-The University of the South
PARKER BAUER 2 00,X 0 0 0,BOARD MEMBER,parker,620475697,221519,Sewanee-The University of the South
FRANK B GUMMEY III 2 00,X 0 0 0,BOARD MEMBER,frank,620475697,221519,Sewanee-The University of the South
PHILIP M DUNCAN II 2 00,X 0 0 0,BOARD MEMBER,philip,620475697,221519,Sewanee-The University of the South
JOHN H RIGGIN 2 00,X 0 0 0,BOARD MEMBER,john,620475697,221519,Sewanee-The University of the South
AMY HAMILTON 2 00,X 0 0 0,BOARD MEMBER,amy,620475697,221519,Sewanee-The University of the South
ERIC STEVENSON 2 00,X 0 0 0,BOARD MEMBER,eric,620475697,221519,Sewanee-The University of the South
JAMES M STANTON 2 00,X 0 0 0,BOARD MEMBER,james,620475697,221519,Sewanee-The University of the South
PAUL E LAMBERT 2 00,X 0 0 0,BOARD MEMBER,paul,620475697,221519,Sewanee-The University of the South
MICHAEL HOFFMAN 2 00,X 0 0 0,BOARD MEMBER,michael,620475697,221519,Sewanee-The University of the South
HARRIET HAHN COUSINS 2 00,X 0 0 0,BOARD MEMBER,harriet,620475697,221519,Sewanee-The University of the South
ORRIN HARRISON III 2 00,X 0 0 0,BOARD MEMBER,harrison,620475697,221519,Sewanee-The University of the South
PETER LEE 2 00,X 0 0 0,BOARD MEMBER,peter,620475697,221519,Sewanee-The University of the South
ROBERT ALVES 2 00,X 0 0 0,BOARD MEMBER,robert,620475697,221519,Sewanee-The University of the South
JOHN O HAROLDSON 2 00,X 0 0 0,BOARD MEMBER,john,620475697,221519,Sewanee-The University of the South
J THOMAS SUTTON 2 00,X 0 0 0,BOARD MEMBER,thomas,620475697,221519,Sewanee-The University of the South
GEORGE D YOUNG III 2 00,X 0 0 0,BOARD MEMBER,george,620475697,221519,Sewanee-The University of the South
