line1,line2,line3,key,fein,unitid,institutionname
(1) BISHOP LAWRENCE KIRBY 2 00,X 0 0 0,Vice Chairman 0 00,bishop,620485724,219505,American Baptist College
(2) DR JULIUS SCRUGGS 2 00,X 0 0 0,Trustee 0 00,julius,620485724,219505,American Baptist College
(3) REV WILMA JOHNSON 2 00,X 0 0 0,Trustee 0 00,wilma,620485724,219505,American Baptist College
(4) ATTORNEY LINDA ROSE 2 00,X 0 0 0,Trustee 0 00,linda,620485724,219505,American Baptist College
(5) REVDON DARIUS BUTLER 2 00,X 0 0 0,Trustee 0 00,darius,620485724,219505,American Baptist College
(6) DR IVA CARRUTHERS 2 00,X 0 0 0,Trustee 0 00,iva,620485724,219505,American Baptist College
(7) DR ALBERT BERRY 2 00,X 0 0 0,Trustee 0 00,albert,620485724,219505,American Baptist College
(8) DR KAREN BROWN DUNLAP 2 00,X 0 0 0,Trustee 0 00,karen,620485724,219505,American Baptist College
(9) MR DENNIE MARSHALL 2 00,X 0 0 0,Trustee 0 00,dennie,620485724,219505,American Baptist College
(10) MR FRANK DAVIS 2 00,X 0 0 0,Trustee 0 00,frank,620485724,219505,American Baptist College
(12) REV SAMUEL HALE 2 00,X 0 0 0,Trustee 0 00,samuel,620485724,219505,American Baptist College
(13) DR FORREST HARRIS 40 00,"X 137,000 0 0",PreSIdent 0 00,forrest,620485724,219505,American Baptist College
(14) ATI'YRICHARD JACKSON 40 00,X 0 0 0,Vice PreSIdent 0 00,jackson,620485724,219505,American Baptist College
(15) DR RENITA WEEMS 40 00,"X 80,000 0 0",VICE PRESIDENT 0 00,renita,620485724,219505,American Baptist College
