line1,line2,line3,key,fein,unitid,institutionname
(1) MR ROBERT DAUGHERTY 2 00,X 0 0 0,DIRECTOR,robert,620502739,220613,Lee University
(2) MR CECIL BROWN 2 00,X 0 0 0,DIRECTOR,cecil,620502739,220613,Lee University
(3) MRS PATRICIA CARROLL 2 00,X 0 0 0,DIRECTOR,patricia,620502739,220613,Lee University
(4) MR H BERNARD DIXON 2 00,X 0 0 0,DIRECTOR,bernard,620502739,220613,Lee University
(5) MR BILLW HIGGINBOTHAM 2 00,X 0 0 0,DIRECTOR,higginbotham,620502739,220613,Lee University
(6) MR HECTOR DIAZ 2 00,X 0 0 0,DIRECTOR,hector,620502739,220613,Lee University
(7) MR JERRY MADDEN 2 00,X 0 0 0,DIRECTOR,jerry,620502739,220613,Lee University
(8) MR DENNIS LIVINGSTON 2 00,X 0 0 0,DIRECTOR,dennis,620502739,220613,Lee University
(9) MR JEFF ROBINSON 2 00,X 0 0 0,DIRECTOR,jeff,620502739,220613,Lee University
(10) MR BYRON MEDLIN 2 00,X 0 0 0,DIRECTOR,byron,620502739,220613,Lee University
(11) MR MARK WALKER 2 00,X 0 0 0,DIRECTOR,mark,620502739,220613,Lee University
(12) MR GARY SHARP 2 00,X 0 0 0,DIRECTOR,gary,620502739,220613,Lee University
(13) MR LEE STORMS 2 00,X 0 0 0,DIRECTOR,lee,620502739,220613,Lee University
(14) MR MARK HARRIS 2 00,X 0 0 0,DIRECTOR,mark,620502739,220613,Lee University
(15) PAUL CONN 40 00,"X 148,880 0 55,604",PRESIDENT,paul,620502739,220613,Lee University
(16) CHRIS CONINE 40 00,"x 122,303 0 9,152",CHIEF FINANCIAL OFFICER,chris,620502739,220613,Lee University
(17) DEBORAH MURRAY 40 00,"X 94,350 0 0",CHIEF ACADEMIC OFFICER,deborah,620502739,220613,Lee University
(18) MATTHEW YELTON 40 00,"X 102,910 0 852",WOMEN'S SOCCER HEAD COACH,matthew,620502739,220613,Lee University
(19) WILLIAM ESTES 40 00,"X 105,626 0 600",DEAN COLLEGE OF EDUCATION,william,620502739,220613,Lee University
(20) MICHAEL HAYES 40 00,"X 104,511 0 852",VP OF STUDENT DEVELOPMENT,michael,620502739,220613,Lee University
"TRICON INC 2040 N OCOEE ST CLEVELAND TN 31311 CONSTRUCTION CONTRACTOR 3,985,878","SODEXO INC 1120 NORTH OCOEE STREET CLEVELAND TN 37311 FOOD SERVICES 3,644,912","FHEG — LEE UNIVERSITY BOOKSTORE 3146 SOLUTIONS CENTER CHICAGO IL60677 CAMPUS BOOKSTORE 536,610",cleveland,620502739,220613,Lee University
"SODEXO INC 1120 NORTH OCOEE STREET CLEVELAND TN 37311 FOOD SERVICES 3,644,912","FHEG — LEE UNIVERSITY BOOKSTORE 3146 SOLUTIONS CENTER CHICAGO IL60677 CAMPUS BOOKSTORE 536,610","ELLUCIAN 62814 COLLECTIONS CENTER DR CHICAGO IL60693 SOFTWARE PROVIDER/MAINTENCE 401,087",cleveland,620502739,220613,Lee University
"FHEG — LEE UNIVERSITY BOOKSTORE 3146 SOLUTIONS CENTER CHICAGO IL60677 CAMPUS BOOKSTORE 536,610","ELLUCIAN 62814 COLLECTIONS CENTER DR CHICAGO IL60693 SOFTWARE PROVIDER/MAINTENCE 401,087","ARCHITECTURE 375,000",lee,620502739,220613,Lee University
