line1,line2,line3,key,fein,unitid,institutionname
(1) DR STEVE ECHOLS 40 00,"X X 142,147 0 2,103",PRESIDENT 1 00,steve,620548919,221856,Tennessee Temple University
(2) DR DEAN HAUN 1 00,X 0 0 0,TRUSTEE,haun,620548919,221856,Tennessee Temple University
(3) MR MEL LEATHERMAN 1 00,X X 0 0 0,SECRETARY/TREASURER,mel,620548919,221856,Tennessee Temple University
(4) MR JAMES HAMMOND 1 00,X X 0 0 0,VICE—CHAIRMAN,james,620548919,221856,Tennessee Temple University
(5) MR PHIL SMITH 1 00,X X 0 0 0,CHAIRMAN,phil,620548919,221856,Tennessee Temple University
(6) DR JOHN BOREK 1 00,X 0 0 0,TRUSTEE,john,620548919,221856,Tennessee Temple University
(7) MR GLENN COPELAND 1 00,X 0 0 0,TRUSTEE,glenn,620548919,221856,Tennessee Temple University
(8) DR EC HASKELL 1 00,X 0 0 0,TRUSTEE,haskell,620548919,221856,Tennessee Temple University
(9) MISS NANCYE ALLOWAY 1 00,X 0 0 0,TRUSTEE,miss,620548919,221856,Tennessee Temple University
(10) DR HERB RAWLINGS 1 00,X 0 0 0,TRUSTEE,herb,620548919,221856,Tennessee Temple University
(11) DR MIKE HAND 1 00,X 0 0 0,TRUSTEE,mike,620548919,221856,Tennessee Temple University
(12) DR TERNAE JORDAN 1 00,X 0 0 0,TRUSTEE,jordan,620548919,221856,Tennessee Temple University
(13) MR CAREY BROWN 1 00,X 0 0 0,TRUSTEE,carey,620548919,221856,Tennessee Temple University
(14) DR ROB GALLATY 1 00,X 0 0 0,TRUSTEE,rob,620548919,221856,Tennessee Temple University
(15) DR GARY JARED 1 00,X 0 0 0,TRUSTEE,gary,620548919,221856,Tennessee Temple University
(16) DR KAY ARTHUR 1 00,X 0 0 0,TRUSTEE,kay,620548919,221856,Tennessee Temple University
