line1,line2,line3,key,fein,unitid,institutionname
(1) DiWesley C McClure 50 00,"X X 240,542 0 0",Pres (Deceased) 0 00,mcclure,620570060,220598,Lane College
(2) Mr Harold Byrd 5 00,X 0 0 0,Trustee 0 00,harold,620570060,220598,Lane College
(3) Dr Bryan L Champion 5 00,X 0 0 0,Trustee 0 00,bryan,620570060,220598,Lane College
(4) Dr Tyrone DaVIS 5 00,X 0 0 0,Trustee 0 00,tyrone,620570060,220598,Lane College
(5) Ms Tisa Day 5 00,X 0 0 0,Trustee 0 00,tisa,620570060,220598,Lane College
(6) Bishop Thomas L Brown SR 5 00,X X 0 0 0,Vice Chariman 0 00,bishop,620570060,220598,Lane College
(7) Dr Jacqueline Burton 5 00,X 0 0 0,Trustee 0 00,jacqueline,620570060,220598,Lane College
(8) Ms Jesse N Carpenter 5 00,X 0 0 0,Trustee 0 00,jesse,620570060,220598,Lane College
(9) DrCannichael Crutchfield 5 00,X 0 0 0,Trustee 0 00,crutchfield,620570060,220598,Lane College
(10) Dr LOUIS E Cunningham 5 00,X 0 0 0,Director 0 00,louis,620570060,220598,Lane College
(11) Dr Phedonia J Johnson 5 00,X 0 0 0,Trustee 0 00,johnson,620570060,220598,Lane College
(12) Dr Warner Dickerson 5 00,X 0 0 0,Trustee 0 00,warner,620570060,220598,Lane College
(13) Bishop William H Graves 5 00,X 0 0 0,Trustee 0 00,bishop,620570060,220598,Lane College
(14) Rev William Gant 5 00,X 0 0 0,Trustee 0 00,william,620570060,220598,Lane College
(15) Dr William E George 5 00,X 0 0 0,Director 0 00,william,620570060,220598,Lane College
(16) Dr TeqUIla Harris 5 00,X 0 0 0,Trustee 0 00,tequila,620570060,220598,Lane College
(17) Dr Mose Y Brooks Hooks 5 00,X 0 0 0,Trustee 0 00,mose,620570060,220598,Lane College
(18) Dr Satish MahaJan 5 00,X 0 0,Faculty Rep 0 00,satish,620570060,220598,Lane College
(19) CALVIN WALKER 5 00,X 0 0,Student Rep 0 00,calvin,620570060,220598,Lane College
(20) Bishop Lawrence L Reddick III 5 00,X X 0 0,Chairman 0 00,bishop,620570060,220598,Lane College
(21) Rev Charles E Winfrey Jr 5 00,X X 0 0,Secretary 0 00,charles,620570060,220598,Lane College
(22) MrJesse J Tyson 5 00,X 0 0,Trustee 0 00,tyson,620570060,220598,Lane College
"CYNTHIA MANUEL INDUSTRIAL P 0 BOX 34 PINSON TN 38366 CLEANING SERVICES 2,238,255","GOURMET SERVICES 82 PIEDMONT AVENUE ATLANTA GA 30303 FOOD SERVICES 1,734,978","GOLDEN CIRCLE INSURANCE P 0 BOX 293 BROWNSVILLE TN 38012 P & C INSURANCE 284,446",pinson,620570060,220598,Lane College
