line1,line2,line3,key,fein,unitid,institutionname
(1) SCOTT C WILLIAMS 1 00,X X 0 0 0,CHAIRMAN,scott,620814498,221254,O'More College of Design
(2) ANN CONWAY 1 00,X X 0 0 0,SECRETARY,ann,620814498,221254,O'More College of Design
(3) JOSEPH H BOWMAN IV 1 00,X 0 0 0,TRUSTEE,joseph,620814498,221254,O'More College of Design
(4) KAYLENE A GEBERT 1 00,X 0 0 0,TRUSTEE,kaylene,620814498,221254,O'More College of Design
(5) JAN HAYES 1 00,X 0 0 0,TRUSTEE,jan,620814498,221254,O'More College of Design
(6) KAROL LAHRMAN 1 00,"x 4,950 0 4,000",TRUSTEE,karol,620814498,221254,O'More College of Design
(7) ROBERT N MOORE JR 1 00,X 0 0 0,TRUSTEE,robert,620814498,221254,O'More College of Design
(8) CHARLES ROBINSON 1 00,X 0 0 0,TRUSTEE,charles,620814498,221254,O'More College of Design
(9) KATHY SANDLER 1 00,X 0 0 0,TRUSTEE,kathy,620814498,221254,O'More College of Design
(10) JAY SEKULOW 1 00,X 0 0 0,TRUSTEE,jay,620814498,221254,O'More College of Design
(11) PAMELA SEKULOW 1 00,X 0 0 0,TRUSTEE,pamela,620814498,221254,O'More College of Design
(12) TODD SHEARER 1 00,X 0 0 0,TRUSTEE,todd,620814498,221254,O'More College of Design
(13) DAVID SHEN 1 00,X 0 0 0,TRUSTEE,david,620814498,221254,O'More College of Design
(14) ASHLYN HINES MENEGUZZI 1 00,X 0 0 0,TRUSTEE,ashlyn,620814498,221254,O'More College of Design
(15) SARINA F WALKER 1 00,X 0 0 0,TRUSTEE,sarina,620814498,221254,O'More College of Design
(16) JAYNE WILLIAMS 1 00,X 0 0 0,TRUSTEE,jayne,620814498,221254,O'More College of Design
(17) DANNY ANDERSON 1 00,X 0 0 0,TRUSTEE,danny,620814498,221254,O'More College of Design
(18) JOANNE HAYNES 1 00,X 0 0 0,TRUSTEE,joanne,620814498,221254,O'More College of Design
(19) REBECCA STILWELL 40 00,X 0 0 0,PRESIDENT,rebecca,620814498,221254,O'More College of Design
(20) K MARK HILLIARD 1 00,"X 252,545 0 23,000",FORMER PRESIDENT,mark,620814498,221254,O'More College of Design
