line1,line2,line3,key,fein,unitid,institutionname
(1) STEPHEN C REYNOLDS 20,"x 0 1,898,392 88,125",DIRECTOR 39 80,stephen,621599670,219639,Baptist Memorial College of Health Sciences
(2) JASON M LITTLE 20,"X 0 881,834 83,275",DIRECTOR 39 80,jason,621599670,219639,Baptist Memorial College of Health Sciences
(3) DANA DYE 10,"X 0 327,887 40,159",DIRECTOR 39 90,dana,621599670,219639,Baptist Memorial College of Health Sciences
(4) CHANCELLOR KENNY ARMSTRONG 20,X 0 0 0,DIRECTOR 0 00,kenny,621599670,219639,Baptist Memorial College of Health Sciences
(5) MILTON E MAGEE 20,X 0 0 0,DIRECTOR 0 00,milton,621599670,219639,Baptist Memorial College of Health Sciences
(6) DEIDRE MALONE 20,X 0 0 0,DIRECTOR 0 00,deidre,621599670,219639,Baptist Memorial College of Health Sciences
(7) MICHAEL CARTER MD 20,X 0 0 0,DIRECTOR 0 00,michael,621599670,219639,Baptist Memorial College of Health Sciences
(8) ZACH CHANDLER 20,"X 0 612,136 41,092",DIRECTOR 39 80,zach,621599670,219639,Baptist Memorial College of Health Sciences
(9) JOYCE ROBINSON 20,X 0 0 0,DIRECTOR 0 00,joyce,621599670,219639,Baptist Memorial College of Health Sciences
(10) ORAL EDWARDS 20,X 0 0 0,DIRECTOR 0 00,edwards,621599670,219639,Baptist Memorial College of Health Sciences
(11) THOMAS CHESNEY MD 20,X 0 0 0,DIRECTOR 0 00,thomas,621599670,219639,Baptist Memorial College of Health Sciences
(12) DERICK B ZIEGLER 10,"X 0 378,294 51,984",DIRECTOR 39 90,derick,621599670,219639,Baptist Memorial College of Health Sciences
(13) JAMES GLASGOW 20,X 0 0 0,DIRECTOR 0 00,james,621599670,219639,Baptist Memorial College of Health Sciences
(14) RANDY KING 10,"X 0 489,106 67,188",DIRECTOR 39 90,randy,621599670,219639,Baptist Memorial College of Health Sciences
(15) BETTY SUE MCGARVEY 40 00,"X 0 349,747 57,166",PRESIDENT 0 00,betty,621599670,219639,Baptist Memorial College of Health Sciences
(16) GREGORY M DUCKETT 20,"X 0 582,127 65,914",SECRETARY 39 80,gregory,621599670,219639,Baptist Memorial College of Health Sciences
(17) GENA L SMITH 40 00,"X 116,708 0 39,139",V P BUSINESS SERVICES 0 00,gena,621599670,219639,Baptist Memorial College of Health Sciences
(18) QUEEN ESTHER N WELCH 5 40,"x 17,902 115,165 23,883",NURSE MGR 34 60,queen,621599670,219639,Baptist Memorial College of Health Sciences
NURSE MGR 34 60,(19) LINDA K STUTTS 50,"x 1,459 127,768 37,413",nurse,621599670,219639,Baptist Memorial College of Health Sciences
(19) LINDA K STUTTS 50,"x 1,459 127,768 37,413",DIR INFO SYSTEMS 39 50,linda,621599670,219639,Baptist Memorial College of Health Sciences
(20) WILLIAM J MYERS 80,"x 2,473 117,025 24,665",PHYSICIST 39 20,william,621599670,219639,Baptist Memorial College of Health Sciences
(21) ANNE M PLUMB 40 00,"X 128,508 0 25,693",DEAN 0 00,anne,621599670,219639,Baptist Memorial College of Health Sciences
(22) LINDA D REED 40 00,"X 112,230 0 30,963",DEAN 0 00,linda,621599670,219639,Baptist Memorial College of Health Sciences
