line1,line2,line3,key,fein,unitid,institutionname
DAVID HUDSON JR 30,X X 0 0 0,TRUSTEE — CHAIRMAN,david,630288841,101435,Huntingdon College
JOHN N ALBRITTON JR 30,X X 0 0 0,TRUSTEE — VICE CHAIRMAN,john,630288841,101435,Huntingdon College
BETTY T MCMAHON 30,X X 0 0 0,TRUSTEE — SECRETARY,betty,630288841,101435,Huntingdon College
ROBERT HOWARD ADAMS 1 50,X 0 0 0,TRUSTEE,robert,630288841,101435,Huntingdon College
GLENDA A ALLRED 50,X 0 0 0,TRUSTEE,glenda,630288841,101435,Huntingdon College
G CARLTON BARKER 30,X 0 0 0,TRUSTEE,carlton,630288841,101435,Huntingdon College
CARLA BARRANCO 30,X 0 0 0,TRUSTEE,carla,630288841,101435,Huntingdon College
KATRINA KEEFER BELT 30,X 0 0 0,TRUSTEE,katrina,630288841,101435,Huntingdon College
DR SANDERS M BENKWITH 30,X 0 0 0,TRUSTEE,sanders,630288841,101435,Huntingdon College
DAVE G BORDEN 30,X 0 0 0,TRUSTEE,dave,630288841,101435,Huntingdon College
REV SHERILL CLONTZ 30,X 0 0 0,TRUSTEE,sherill,630288841,101435,Huntingdon College
REV DR CLAUDE A SHUFORD 30,X 0 0 0,TRUSTEE,claude,630288841,101435,Huntingdon College
REV DR R LAWSON BRYAN 30,X 0 0 0,TRUSTEE,lawson,630288841,101435,Huntingdon College
REV DR P LAWRENCE BRYARS 30,X 0 0 0,TRUSTEE,lawrence,630288841,101435,Huntingdon College
JOHN C BULLARD SR 30,X 0 0 0,TRUSTEE—EMERITUS,john,630288841,101435,Huntingdon College
LEURA G CANARY 30,X 0 0 0,TRUSTEE,canary,630288841,101435,Huntingdon College
LUCINDA SAMFORD CANNON 30,X 0 0 0,TRUSTEE,lucinda,630288841,101435,Huntingdon College
H DAVID COBB II 30,X 0 0 0,TRUSTEE,david,630288841,101435,Huntingdon College
REV DR DALE R COHEN 30,X 0 0 0,TRUSTEE,dale,630288841,101435,Huntingdon College
LEE H COPELAND 30,X 0 0 0,TRUSTEE,lee,630288841,101435,Huntingdon College
REV DR KENNETH A DUNIVANT 30,X 0 0 0,TRUSTEE,kenneth,630288841,101435,Huntingdon College
REV MICHAELT EDMONDSON 30,X 0 0 0,TRUSTEE,edmondson,630288841,101435,Huntingdon College
FREDERICK A FROST 30,X 0 0 0,TRUSTEE,frederick,630288841,101435,Huntingdon College
REV DR EDWARD R GLAIZE 30,X 0 0 0,TRUSTEE,edward,630288841,101435,Huntingdon College
REV NANCY HASTINGS HORNSBY 30,X 0 0 0,TRUSTEE,nancy,630288841,101435,Huntingdon College
WANDA A HOWARD 30,X 0 0 0,TRUSTEE,wanda,630288841,101435,Huntingdon College
DR G MARK KINGRY JR 30,X 0 0 0,TRUSTEE,mark,630288841,101435,Huntingdon College
BISHOP PAUL L LEELAND 30,X 0 0 0,TRUSTEE,bishop,630288841,101435,Huntingdon College
BEVERLY GORDY MCKINNEY 30,X 0 0 0,TRUSTEE,beverly,630288841,101435,Huntingdon College
JAMES ANDERSON 30,X 0 0 0,TRUSTEE,james,630288841,101435,Huntingdon College
HERBERT ALBERT PATTERSON JR 30,X 0 0 0,TRUSTEE,herbert,630288841,101435,Huntingdon College
ALICE D REYNOLDS 30,X 0 0 0,TRUSTEE—EMERITA,alice,630288841,101435,Huntingdon College
CHARLES A STAKELY 30,X 0 0 0,TRUSTEE,charles,630288841,101435,Huntingdon College
WILLIAM B SELLERS 30,X 0 0 0,TRUSTEE,william,630288841,101435,Huntingdon College
DR J CAMERON WEST 40 00,"X X 213,213 0 35,184",PRESIDENT,cameron,630288841,101435,Huntingdon College
ELIZABETH COUEY SMITHART 30,X 0 0 0,TRUSTEE,elizabeth,630288841,101435,Huntingdon College
REV DR LESTER SPENCER JR 30,X 0 0 0,TRUSTEE,lester,630288841,101435,Huntingdon College
DR EUGENE E STANALAND 30,X 0 0 0,TRUSTEE,eugene,630288841,101435,Huntingdon College
MR DAVID F STEELE 30,X 0 0 0,TRUSTEE,david,630288841,101435,Huntingdon College
REV DR TIMOTHY R THOMPSON 30,X 0 0 0,TRUSTEE,timothy,630288841,101435,Huntingdon College
DR CHARLES G TOMBERLIN 30,X 0 0 0,TRUSTEE,charles,630288841,101435,Huntingdon College
W KENDRICK UPCHURCH III 30,X 0 0 0,TRUSTEE,kendrick,630288841,101435,Huntingdon College
BISHOP DEBBIE WALLACE—PADGETT 30,X 0 0 0,TRUSTEE,bishop,630288841,101435,Huntingdon College
MR JEFF UNDERWOOD 30,X 0 0 0,TRUSTEE,jeff,630288841,101435,Huntingdon College
DR LAURIE JEAN WEIL 30,X 0 0 0,TRUSTEE,laurie,630288841,101435,Huntingdon College
DIANE S WENDLAND 30,X 0 0 0,TRUSTEE,diane,630288841,101435,Huntingdon College
WILLIAM B WILSON 30,X 0 0 0,TRUSTEE,william,630288841,101435,Huntingdon College
LOIS FLOWERS YOUNGBLOOD 30,X 0 0 0,TRUSTEE,lois,630288841,101435,Huntingdon College
FRANCIS HASTINGS MOORE 30,X 0 0 0,TRUSTEE,francis,630288841,101435,Huntingdon College
TERESA SMITH FRANCIS 30,X 0 0 0,TRUSTEE,teresa,630288841,101435,Huntingdon College
JAY DORMAN 40 00,"X 164,286 0 16,198",TREAS/SR VP ADMIN & PLANNI,jay,630288841,101435,Huntingdon College
ANTHONY LEIGH 40 00,"X 101,522 0 17,695",VP—EXTERNAL AFFAIRS,anthony,630288841,101435,Huntingdon College
SAMIR MOUSSALLI 40 00,"X 160,381 0 20,076",ASSOC DEAN SCHOOL OF BUSI,samir,630288841,101435,Huntingdon College
ASSOC DEAN SCHOOL OF BUSI,SIDNEY STUBBS 40 00,"X 110,788 0 11,416",busi,630288841,101435,Huntingdon College
