line1,line2,line3,key,fein,unitid,institutionname
Mr Richard Kirkpatrick 2 00,X 0 0 0,Trustee,richard,630288850,101541,Judson College
Mr Neal Isbell 2 00,X 0 0 0,Trustee,neal,630288850,101541,Judson College
Mrs Carol 0 Cram 2 00,X 0 0 0,Trustee,carol,630288850,101541,Judson College
Dr Robin Tate Hall 2 00,X 0 0 0,Trustee,robin,630288850,101541,Judson College
Mr Garry C Wyatt 2 00,X 0 0 0,Trustee,garry,630288850,101541,Judson College
Dr Roger D Willmore 2 00,X 0 0 0,Trustee,roger,630288850,101541,Judson College
Mr Rod Wilkin 2 00,X 0 0 0,Trustee,rod,630288850,101541,Judson College
Mrs Leigh H Wiatt 2 00,X 0 0 0,Trustee,leigh,630288850,101541,Judson College
Ms P Leigh O'Dell 2 00,X 0 0 0,Trustee,leigh,630288850,101541,Judson College
Dr Sonya LWintzell 2 00,X 0 0 0,Trustee,sonya,630288850,101541,Judson College
Mr Jerry Thomas 2 00,X 0 0 0,Trustee,jerry,630288850,101541,Judson College
Mr James H Sanford 2 00,X 0 0 0,Trustee,james,630288850,101541,Judson College
Mrs Daphne R Robinson 2 00,X 0 0 0,Trustee,daphne,630288850,101541,Judson College
Mrs Ann T Ray 2 00,X 0 0 0,Trustee,ann,630288850,101541,Judson College
Ms Lenora W Pate 2 00,X 0 0 0,Trustee,lenora,630288850,101541,Judson College
Mrs NC Newell 2 00,X 0 0 0,Trustee,newell,630288850,101541,Judson College
Dr Frances D Hamilton 2 00,X 0 0 0,Trustee,frances,630288850,101541,Judson College
Mr Bruce Fuller 2 00,X 0 0 0,Trustee,bruce,630288850,101541,Judson College
DrJudith K Favor 2 00,X 0 0 0,Trustee,favor,630288850,101541,Judson College
Mr Charles F Dunkin 2 00,X 0 0 0,Trustee,charles,630288850,101541,Judson College
Dr Daveta Best D02ier 2 00,X 0 0 0,Trustee,best,630288850,101541,Judson College
Rev Ed Cruce 2 00,X 0 0 0,Trustee,ed,630288850,101541,Judson College
Mrs Jackie B Crowell 2 00,X 0 0 0,Trustee,jackie,630288850,101541,Judson College
Dr Henry H Cox 2 00,X 0 0 0,Trustee,henry,630288850,101541,Judson College
Mrs Patricia B Compton 2 00,X 0 0 0,Trustee,patricia,630288850,101541,Judson College
MrJames E Brady Jr 2 00,X 0 0 0,Trustee,brady,630288850,101541,Judson College
Mr Roy Barnett Jr 2 00,X 0 0 0,Trustee,roy,630288850,101541,Judson College
Mrs Eugenia G Anderson 2 00,X 0 0 0,Trustee,eugenia,630288850,101541,Judson College
Dr Robert B Adams 2 00,X 0 0 0,Trustee,robert,630288850,101541,Judson College
Dr Rick Lance 2 00,X X 0 0 0,Ex—officio,rick,630288850,101541,Judson College
Dr John Killian 2 00,X X 0 0 0,Ex—officio,john,630288850,101541,Judson College
Mrs Anne W Shumaker 2 00,X X 0 0 0,Secretary,anne,630288850,101541,Judson College
Mr Gregg S Morrison 2 00,X X 0 0 0,Treasurer,gregg,630288850,101541,Judson College
Dr R Douglas Halbrooks 2 00,X X 0 0 0,Vice—Chainnan,douglas,630288850,101541,Judson College
Rev DaVId Byrd 2 00,X X 0 0 0,Chairman,david,630288850,101541,Judson College
Dr DaVId Potts 40 00,"X X 194,332 0 62,071",PreSIdent,david,630288850,101541,Judson College
