line1,line2,line3,key,fein,unitid,institutionname
(1) DR DONALD HAWKINS 45 00,"X X 57,328 0 27,600",PRESIDENT,donald,630338081,102261,Southeastern Bible College
(2) MIKE D MCLEMORE 1 00,X 0 0 0,CHAIRMAN,mike,630338081,102261,Southeastern Bible College
(3) HAROLD JEFFREYS 1 00,X 0 0 0,VICE CHAIRMAN,harold,630338081,102261,Southeastern Bible College
(4) DALE ELLINGHAUSEN 1 00,X 0 0 0,DIRECTOR,dale,630338081,102261,Southeastern Bible College
(5) STEVE GANNE'I'I' 1 00,X 0 0 0,DIRECTOR,steve,630338081,102261,Southeastern Bible College
(6) MIKE JONES 1 00,X 0 0 0,DIRECTOR,mike,630338081,102261,Southeastern Bible College
(7) KENT KELSO 1 00,X 0 0 0,DIRECTOR,kent,630338081,102261,Southeastern Bible College
(8) SUSAN HEADLEY 1 00,X 0 0 0,DIRECTOR,susan,630338081,102261,Southeastern Bible College
(9) ANNE DUMAS 1 00,X 0 0 0,DIRECTOR,anne,630338081,102261,Southeastern Bible College
(10) MORRIS JACKSON 1 00,X 0 0 0,DIRECTOR,morris,630338081,102261,Southeastern Bible College
(11) RICHARD DALE WALLACE 1 00,X 0 0 0,DIRECTOR,richard,630338081,102261,Southeastern Bible College
(12) ROBBIE WILSON 1 00,X 0 0 0,DIRECTOR,robbie,630338081,102261,Southeastern Bible College
(13) JAMES SPANN 1 00,X 0 0 0,DIRECTOR,james,630338081,102261,Southeastern Bible College
(14) MICHAEL WESLEY SR 1 00,X 0 0 0,DIRECTOR,michael,630338081,102261,Southeastern Bible College
(15) VICKI WOLFE 45 00,"x 66,481 0 6,564",PROVOST,vicki,630338081,102261,Southeastern Bible College
