line1,line2,line3,key,fein,unitid,institutionname
(1) Dr George T French Jr 40 00,"X X 230,534 0 26,736",PreSIdent,george,630400608,101675,Miles College
(2) Bishop Teresa E Snorton 1 00,X X 0 0 0,Chairperson,bishop,630400608,101675,Miles College
(3) Dr Carmichael Crutchfield 1 00,X 0 0 0,Trustee,carmichael,630400608,101675,Miles College
(4) Dr Princess Pegues 1 00,X 0 0 0,Trustee,princess,630400608,101675,Miles College
(5) Mrs Shirly D Fowlkes 1 00,X 0 0 0,Trustee,shirly,630400608,101675,Miles College
(6) Dr Digambar Mishra 1 00,X 0 0 0,Trustee,mishra,630400608,101675,Miles College
(7) Bishop Lawrence L Reddick III 1 00,X 0 0 0,Trustee,bishop,630400608,101675,Miles College
(8) Dr Lionel G Walker 1 00,X 0 0 0,Trustee,lionel,630400608,101675,Miles College
(9) Rev Dr William C Larkin 1 00,X 0 0 0,Trustee,william,630400608,101675,Miles College
(10) Rev Dr Tyrone T DaVIs 1 00,X 0 0 0,Trustee,tyrone,630400608,101675,Miles College
(11) Mr Robert Dickerson 1 00,X 0 0 0,Trustee,robert,630400608,101675,Miles College
(12) MrJohn 0 Hudson III 1 00,X 0 0 0,Trustee,hudson,630400608,101675,Miles College
(13) Dr Mattie Mashaw Jackson 1 00,X 0 0 0,Trustee,mattie,630400608,101675,Miles College
(14) Bishop Paul A G Stewart Sr 1 00,X 0 0 0,Trustee,bishop,630400608,101675,Miles College
(15) Mr Bunny Stokes Jr 1 00,X 0 0 0,Trustee,bunny,630400608,101675,Miles College
(16) CounCIlman Steven Hoyt 1 00,X 0 0 0,Trustee,councilman,630400608,101675,Miles College
(17) Mrs Lajuana Bradford 1 00,X 0 0 0,Trustee,lajuana,630400608,101675,Miles College
(18) Dr John C Bush 1 00,X 0 0 0,Trustee,john,630400608,101675,Miles College
(19) Mr Lamell McMorris 1 00,X 0 0 0,Trustee,mcmorris,630400608,101675,Miles College
(20) Attorney William M Pompey 1 00,X 0 0 0,Trustee,william,630400608,101675,Miles College
(21) Mrs Brenda J Randolph 1 00,X 0 0 0,Trustee,brenda,630400608,101675,Miles College
(22) Diana Knighton 40 00,"x 152,982 0 6,643",Senior Vice PreSIdent of Finance and Administration,diana,630400608,101675,Miles College
(23) Emmanuel Chekwa 40 00,"X 109,273 0 0",Vice PreSIdent of Academic Affairs,emmanuel,630400608,101675,Miles College
(24) Brian Adams 40 00,"X 60,095 0 0",Comptroller,brian,630400608,101675,Miles College
(25) Donald Hollings 40 00,"X 108,160 0 0",Director of Accounting,donald,630400608,101675,Miles College
(26) Dr BaShen Welch 40 00,"X 131,128 0 0",Vice PreSIdent of Strategic Iniatiative,welch,630400608,101675,Miles College
"651 Management Company 915 South Jackson Street Montgomery AL36104 Food Sewices 1,425,794","Graybar 1040 London Drive Birmingham AL35211 1T Sewices 880,656","Bresco Inc 2428 Sixth Avenue South Birmingham AL 35233 Renovations Contractor 742,500",south,630400608,101675,Miles College
"Graybar 1040 London Drive Birmingham AL35211 1T Sewices 880,656","Bresco Inc 2428 Sixth Avenue South Birmingham AL 35233 Renovations Contractor 742,500","Omega Janitorial Sewices PO Box 10325 Birmingham AL35202 Janitorial Sewices 517,639",london,630400608,101675,Miles College
"Bresco Inc 2428 Sixth Avenue South Birmingham AL 35233 Renovations Contractor 742,500","Omega Janitorial Sewices PO Box 10325 Birmingham AL35202 Janitorial Sewices 517,639","Construction Sewices 201,960",bresco,630400608,101675,Miles College
