line1,line2,line3,key,fein,unitid,institutionname
Margaret Donnan 5,X 0 0,Trustee 0,margaret,710236897,107080,Hendrix College
Randy Wilbourn 5,X 0 0,Trustee 0,randy,710236897,107080,Hendrix College
Judge William R Wilson 5,X 0 0,Trustee 0,judge,710236897,107080,Hendrix College
Mr Henry Neely 5,X 0 0,Trustee 0,henry,710236897,107080,Hendrix College
Dr Joseph Bates 5,X 0 0,Trustee 0,joseph,710236897,107080,Hendrix College
Ms Jo Ann Biggs 5,X 0 0,Trustee 0,jo,710236897,107080,Hendrix College
DaVId Knight 5,X 0 0,Trustee 0,david,710236897,107080,Hendrix College
Mr Allen McGee 5,X 0 0,Trustee 0,allen,710236897,107080,Hendrix College
Mr R Madison Murphy 5,X 0 0,Trustee 0,madison,710236897,107080,Hendrix College
Dr Larry Pearce 5,X 0 0,Trustee 0,larry,710236897,107080,Hendrix College
Martin Rhodes 5,X 0 0,Trustee 0,martin,710236897,107080,Hendrix College
Mr Albert Braunfisch 5,X 0 0,Trustee 0,albert,710236897,107080,Hendrix College
Mrs Elizabeth Small 5,X 0 0,Trustee 0,elizabeth,710236897,107080,Hendrix College
Reverend VIc Nixon 5,X 0 0,Trustee 0,vic,710236897,107080,Hendrix College
Reverend Roy P Smith 5,X 0 0,Trustee 0,roy,710236897,107080,Hendrix College
Dr Russell Wood 5,X 0 0,Trustee 0,russell,710236897,107080,Hendrix College
Theo Bunting 5,X 0 0,Trustee 0,theo,710236897,107080,Hendrix College
Paul Craig 5,X 0 0,Trustee 0,paul,710236897,107080,Hendrix College
Roger King 5,X 0 0,Trustee 0,roger,710236897,107080,Hendrix College
Dr Michael Maling 5,X 0 0,Trustee 0,michael,710236897,107080,Hendrix College
Ms Julia P Mobley 5,X 0 0,Trustee 0,julia,710236897,107080,Hendrix College
Mr Charles D Morgan 5,X 0 0,Trustee 0,charles,710236897,107080,Hendrix College
Mr Terry Joe TIcey 5,X 0 0,Trustee 0,terry,710236897,107080,Hendrix College
Mrs Ruth H Bernabe 5,X 0 0,Trustee 0,ruth,710236897,107080,Hendrix College
Mr Bracken Darrell 5,X 0 0,Trustee 0,bracken,710236897,107080,Hendrix College
Reverend William B Smith 5,X 0 0 0,Trustee 0,william,710236897,107080,Hendrix College
Dr Charles Chappell 5,X 0 0 0,Trustee 0,charles,710236897,107080,Hendrix College
Mr William H Wilcox 5,X 0 0 0,Trustee 0,william,710236897,107080,Hendrix College
Rev Ellen Alston 5,X 0 0 0,Trustee 0,ellen,710236897,107080,Hendrix College
Dr Joe Hollyfield 5,X 0 0 0,Trustee 0,joe,710236897,107080,Hendrix College
Mr Walter Owen Pryor 5,X 0 0 0,Trustee 0,walter,710236897,107080,Hendrix College
Reverend Pamela J Estes 5,X 0 0 0,Trustee 0,pamela,710236897,107080,Hendrix College
Reverend DaVId M Fleming 5,X 0 0 0,Trustee 0,david,710236897,107080,Hendrix College
Dr Hayden H Franks 5,X 0 0 0,Trustee 0,hayden,710236897,107080,Hendrix College
Jan N Hundley 5,X 0 0 0,Trustee 0,jan,710236897,107080,Hendrix College
Reverend J Mark McDonald 5,X 0 0 0,Trustee 0,mark,710236897,107080,Hendrix College
Bishop Gary Mueller 5,X 0 0 0,Trustee 0,bishop,710236897,107080,Hendrix College
Reverend Deidre Roberts 5,X 0 0 0,Trustee 0,deidre,710236897,107080,Hendrix College
Reverend G Mackey Yokem 5,X 0 0 0,Trustee 0,mackey,710236897,107080,Hendrix College
Larry T Wilson 5,X 0 0 0,Trustee 0,larry,710236897,107080,Hendrix College
Robert L Entzminger 40,"X 176,490 0 0",Provost and Dean of the College 0,robert,710236897,107080,Hendrix College
DaVId HInson 40,"X 158,920 0 0",Chief Information Officer 0,david,710236897,107080,Hendrix College
Frank Cox 40,"X 147,223 0 0",EVP of Communications 0,frank,710236897,107080,Hendrix College
Jim WIltgen 40,"X 88,900 0 0",Vice PreSIdent for Student Affairs 0,jim,710236897,107080,Hendrix College
Ell A ld,Is mo 40,Executive Vice PreSIdent and Dean of Institutional 0 X 262’444 0 0,ell,710236897,107080,Hendrix College
J Timothy Cloyd 40,"X 593,569 0 0",Professor 0,timothy,710236897,107080,Hendrix College
Lawrence Finn 40,"X 149,894 0 0",Director of Construction Development 0,lawrence,710236897,107080,Hendrix College
Edward F DaVIs 40,"X 130,213 0 0","CEO of Village at Hendrix, LLC 0",edward,710236897,107080,Hendrix College
KeVIn Braswell 40,"x 115,432 0 0",VP of Development 0,kevin,710236897,107080,Hendrix College
Joyce Hardin 40,"X 117,794 0 0",Professor 0,joyce,710236897,107080,Hendrix College
