line1,line2,line3,key,fein,unitid,institutionname
(1) MARY PAT ANTHONY 0 00,X 0 0 0,TRUSTEE,mary,710239383,107512,Ouachita Baptist University
(2) CURTIS ARNOLD 0 00,X 0 0 0,TRUSTEE,curtis,710239383,107512,Ouachita Baptist University
(3) STEVEN COLLIER 0 00,X 0 0 0,TRUSTEE,steven,710239383,107512,Ouachita Baptist University
(4) CLAY CONLY 0 00,X 0 0 0,TRUSTEE,clay,710239383,107512,Ouachita Baptist University
(5) SUSIE EVERETT 0 00,X 0 0 0,TRUSTEE,susie,710239383,107512,Ouachita Baptist University
(6) CLAY HALLMARK o 00,X 0 0 0,TRUSTEE,clay,710239383,107512,Ouachita Baptist University
(7) JAY HEFLIN TRUSTEE 0 00,X 0 0 0,"JAMES YOUNG, TRUSTEE",jay,710239383,107512,Ouachita Baptist University
"JAMES YOUNG, TRUSTEE",(8) TAYLOR KING TRUSTEE 0 00,X 0 0 0,james,710239383,107512,Ouachita Baptist University
(8) TAYLOR KING TRUSTEE 0 00,X 0 0 0,"GUS WILLIAMSON, TRUSTEE",taylor,710239383,107512,Ouachita Baptist University
"GUS WILLIAMSON, TRUSTEE",(9) LARRY KIRCHER TRUSTEE 0 00,X 0 0 0,gus,710239383,107512,Ouachita Baptist University
(9) LARRY KIRCHER TRUSTEE 0 00,X 0 0 0,"LARRY WHITE, TRUSTEE",larry,710239383,107512,Ouachita Baptist University
"LARRY WHITE, TRUSTEE",(10) RICHARD LUSBY TRUSTEE 0 00,X 0 0 0,larry,710239383,107512,Ouachita Baptist University
(10) RICHARD LUSBY TRUSTEE 0 00,X 0 0 0,"GENE WHISENHUNT, TRUSTEE",richard,710239383,107512,Ouachita Baptist University
"GENE WHISENHUNT, TRUSTEE",(11) TERRI MARDIS TRUSTEE 0 00,X 0 0 0,gene,710239383,107512,Ouachita Baptist University
(11) TERRI MARDIS TRUSTEE 0 00,X 0 0 0,"SUSAN WAM BLE, TRUSTEE",terri,710239383,107512,Ouachita Baptist University
"SUSAN WAM BLE, TRUSTEE",(12) JOHN MCCALLUM TRUSTEE 0 00,X 0 0 0,susan,710239383,107512,Ouachita Baptist University
(12) JOHN MCCALLUM TRUSTEE 0 00,X 0 0 0,"WILLIAM SUTTON, TRUSTEE",john,710239383,107512,Ouachita Baptist University
"WILLIAM SUTTON, TRUSTEE",(13) MOLLIE MORGAN TRUSTEE 0 00,X 0 0 0,william,710239383,107512,Ouachita Baptist University
(13) MOLLIE MORGAN TRUSTEE 0 00,X 0 0 0,"SCOTT STREET, TRUSTEE",mollie,710239383,107512,Ouachita Baptist University
"SCOTT STREET, TRUSTEE",(14) MARK ROBERTS TRUSTEE 0 00,X 0 0 0,scott,710239383,107512,Ouachita Baptist University
(14) MARK ROBERTS TRUSTEE 0 00,X 0 0 0,"RANDALL SIMS, TRUSTEE",mark,710239383,107512,Ouachita Baptist University
"RANDALL SIMS, TRUSTEE",(15) LLOYDINE SEALE 0 00,X 0 0 0,randall,710239383,107512,Ouachita Baptist University
(15) LLOYDINE SEALE 0 00,X 0 0 0,TRUSTEE,seale,710239383,107512,Ouachita Baptist University
(16) KEN SHADDOX o 00,X 0 0 0,TRUSTEE,ken,710239383,107512,Ouachita Baptist University
(17) WESLEY KLUCK 40 00,"X 131,359 0 41,720",VICE PRESIDENT,wesley,710239383,107512,Ouachita Baptist University
(18) BRETT POWELL 40 00,"x 122,397 25,169",VICE PRESIDENT,brett,710239383,107512,Ouachita Baptist University
(19) STAN POOLE 40 00,"x 115,185 34,161",VICE PRESIDENT,stan,710239383,107512,Ouachita Baptist University
(20) TRENNIS HENDERSON 40 00,"x 80,923 21,901",VICE PRESIDENT,henderson,710239383,107512,Ouachita Baptist University
(21) TERRY PEEPLES 40 00,"x 114,250 45,762",VICE PRESIDENT,terry,710239383,107512,Ouachita Baptist University
(22) IAN COSH 40 00,"x 80,689 26,243",VICE PRESIDENT,ian,710239383,107512,Ouachita Baptist University
(23) KELDON HENLEY 40 00,"x 87,430 25,993",VICE PRESIDENT,henley,710239383,107512,Ouachita Baptist University
(24) REX M HORNE 40 00,"x 182,027 51,519",PRESIDENT,rex,710239383,107512,Ouachita Baptist University
(25) BRYAN MCKINNEY 40 00,"x 118,932 24,807",DEAN,bryan,710239383,107512,Ouachita Baptist University
