line1,line2,line3,key,fein,unitid,institutionname
Mr Michael R KaIrIs 0 00,X X 0 0 0,Chariman of the Board,michael,710239576,107141,John Brown University
Mrs Susan Barrett 0 00,X X 0 0 0,Vice Chairman of the Board,susan,710239576,107141,John Brown University
Mrs Lee R Sale 0 00,X X 0 0 0,Secretary of the Board,lee,710239576,107141,John Brown University
Mrs Holly Robason Beitel 0 00,X 0 0 0,Board Member,holly,710239576,107141,John Brown University
Ms Sharon] Bell 0 00,X 0 0 0,Board Member,bell,710239576,107141,John Brown University
Mr Marc Boatwright 0 00,X 0 0 0,Board Member,marc,710239576,107141,John Brown University
MrJohn E Brown 111 6 00,"X 24,500 0 0",Board Member,brown,710239576,107141,John Brown University
Mr Roger L Cross 0 00,X 0 0 0,Board Member,roger,710239576,107141,John Brown University
Dr Robert V Cupp 0 00,X 0 0 0,Board Member,robert,710239576,107141,John Brown University
Mr Rollin L Ford 0 00,X 0 0 0,Board Member,rollin,710239576,107141,John Brown University
Dr Stephen R Genheimer 0 00,X 0 0 0,Board Member,stephen,710239576,107141,John Brown University
Dr Wayne Hardy 0 00,X 0 0 0,Board Member,wayne,710239576,107141,John Brown University
Mr Lawson Hembree 1V 0 00,X 0 0 0,Board Member,lawson,710239576,107141,John Brown University
Mr Keith E Holmberg 0 00,X 0 0 0,Board Member,keith,710239576,107141,John Brown University
Mr Michael S King 0 00,X 0 0 0,Board Member,michael,710239576,107141,John Brown University
Mr Alan L Lee 0 00,X 0 0 0,Board Member,alan,710239576,107141,John Brown University
Mr DaVId H LeVan 0 00,X 0 0 0,Board Member,david,710239576,107141,John Brown University
Mr Hendrick A Lorentz 0 00,X 0 0 0,Board Member,hendrick,710239576,107141,John Brown University
DrT Richard Medlock 0 00,X 0 0 0,Board Member,richard,710239576,107141,John Brown University
Mr William C Naramore Sr 0 00,X 0 0 0,Board Member,william,710239576,107141,John Brown University
Mr Doug Neufeld 0 00,X 0 0 0,Board Member,doug,710239576,107141,John Brown University
Mr Nick PetelskI 0 00,X 0 0 0,Board Member,nick,710239576,107141,John Brown University
Mr Phillip 0 Porter 0 00,X 0 0 0,Board Member,phillip,710239576,107141,John Brown University
Mr Mark C Simmons 0 00,X 0 0 0,Board Member,mark,710239576,107141,John Brown University
Mrs April Smith 0 00,X 0 0 0,Board Member,april,710239576,107141,John Brown University
Mr Lavenski R Smith 0 00,X 0 0 0,Board Member,smith,710239576,107141,John Brown University
Mrs Ruth H Smith 0 00,X 0 0 0,Board Member,ruth,710239576,107141,John Brown University
Mr MarVIn G Spees 0 00,X 0 0 0,Board Member,marvin,710239576,107141,John Brown University
Mrs Sharon 5 Wasson 0 00,X 0 0 0,Board Member,sharon,710239576,107141,John Brown University
Mrs Diane N WIllIts 0 00,X 0 0 0,Board Member,diane,710239576,107141,John Brown University
Charles Pollard 40 00,"X 266,790 0 66,887",PreSIdent,charles,710239576,107141,John Brown University
Edward ErIcson 40 00,"X 114,303 0 19,165",VP of Academic Affairs,edward,710239576,107141,John Brown University
Kimberly M Hadeley 40 00,"X 107,585 0 12,217",VP of Finance & Administration,kimberly,710239576,107141,John Brown University
Dr Gary Oliver 40 00,"X 166,911 0 20,660",Director of CRE,gary,710239576,107141,John Brown University
James Krall 40 00,"X 130,223 0 21,468",VP of UniverSIty Advancement,james,710239576,107141,John Brown University
Steve Beers 40 00,"X 114,680 0 17,714",VP for Student Development,steve,710239576,107141,John Brown University
Charles Hyde 40 00,"X 114,890 0 17,018","CEO, Soderquest Center for Leadership",charles,710239576,107141,John Brown University
