line1,line2,line3,key,fein,unitid,institutionname
REV LARRY R055 1 0,X 0 0 0,BOARD MEMBER,larry,710239729,107600,Philander Smith College
LYNDA BYRD 1 0,X X 0 0 0,VICE CHAIR,lynda,710239729,107600,Philander Smith College
BOB BIRCH 1 0,X 0 0 0,BOARD MEMBER,bob,710239729,107600,Philander Smith College
DR JESSE M TRICE 1 0,X 0 0 0,BOARD MEMBER,jesse,710239729,107600,Philander Smith College
HAROLD GWATNEY 1 0,X 0 0 0,BOARD MEMBER,harold,710239729,107600,Philander Smith College
DR FRANCES R HARRIS 1 0,X X 0 0 0,SECRETARY,frances,710239729,107600,Philander Smith College
PAT LILE 1 0,X 0 0 0,BOARD MEMBER,pat,710239729,107600,Philander Smith College
ARTHUR MONTGOMERY 1 0,X 0 0 0,BOARD MEMBER,arthur,710239729,107600,Philander Smith College
BARNETT GRACE 1 0,X 0 0 0,BOARD MEMBER,barnett,710239729,107600,Philander Smith College
DON RIGGIN 1 0,X 0 0 0,BOARD MEMBER,don,710239729,107600,Philander Smith College
EMANUEL CLEAVER III 1 0,X 0 0 0,BOARD MEMBER,emanuel,710239729,107600,Philander Smith College
CJ DUVALL 1 0,X 0 0 0,BOARD MEMBER,duvall,710239729,107600,Philander Smith College
RUSH F HARDING III 1 0,X 0 0 0,BOARD MEMBER,rush,710239729,107600,Philander Smith College
DR LLOYD E HERVEY 1 0,X 0 0 0,BOARD MEMBER,lloyd,710239729,107600,Philander Smith College
DR CHARLES DONALDSON 1 0,X 0 0 0,BOARD MEMBER,charles,710239729,107600,Philander Smith College
JIM KINCANNON 1 0,X X 0 0 0,TREASURER,jim,710239729,107600,Philander Smith College
BISHOP GARY MUELLER 1 0,X 0 0 0,BOARD MEMBER,bishop,710239729,107600,Philander Smith College
REV ARTEE WILLIAMS 1 0,X X 0 0 0,CHAIRMAN,williams,710239729,107600,Philander Smith College
RONALD NEWSOME 1 0,X 0 0 0,BOARD MEMBER,ronald,710239729,107600,Philander Smith College
REV MARK NORMAN 1 0,X 0 0 0,BOARD MEMBER,mark,710239729,107600,Philander Smith College
ANDERSON WILLIAMS 1 0,X 0 0 0,BOARD MEMBER,anderson,710239729,107600,Philander Smith College
DR FRANK JAMES 40 0,"x 85,215 0 8,862",VP OF STUDENT AFFAIRS,frank,710239729,107600,Philander Smith College
JOHN S FLEMING 40 0,"x 38,534 0 4,172",VP OF INSTUTIONAL ADVANCEMENT,john,710239729,107600,Philander Smith College
DAVID PAGE 40 0,"x 42,078 0 3,109",VP OF ENROLLMENT MANAGEMENT,david,710239729,107600,Philander Smith College
TERRY WALLACE 40 0,"x 97,744 0 10,421",VICE PRESIDENT FISCAL AFFAIRS,terry,710239729,107600,Philander Smith College
STACEY DOWNING 40 0,"x 50,138 0 1,848",VP OF STUDENT AFFAIRS,stacey,710239729,107600,Philander Smith College
DR JOHNNY M MOORE 40 0,"X 197,200 0 25,240",PRESIDENT,johnny,710239729,107600,Philander Smith College
KEVIN HAMILTON 40 0,"x 67,509 0 5,012",INTERIM VP OF STUDENT AFFAIRS,kevin,710239729,107600,Philander Smith College
ERVIN HAZEL 40 0,"X 34,022 0 814",VP OF STUDENT AFFAIRS,ervin,710239729,107600,Philander Smith College
