line1,line2,line3,key,fein,unitid,institutionname
(1) JIMMY SMITH 0,X 0 0 0,CHAIRMAN,jimmy,710462177,106810,Crowley's Ridge College
(2) WENDELL EUBANK 0,X 0 0 0,BOARD MEMBER,wendell,710462177,106810,Crowley's Ridge College
(3) DR SPENCER FUR 0,X 0 0 0,BOARD MEMBER,spencer,710462177,106810,Crowley's Ridge College
(4) DAVID GIBSON o,X 0 0 0,BOARD MEMBER,david,710462177,106810,Crowley's Ridge College
(5) STEWART KENNON 0,X 0 0 0,BOARD MEMBER,stewart,710462177,106810,Crowley's Ridge College
(6) AMY HANES JONE 0,X 0 0 0,BOARD MEMBER,amy,710462177,106810,Crowley's Ridge College
(7) DON R HOUSE 0,X 0 0 0,BOARD MEMBER,don,710462177,106810,Crowley's Ridge College
(8) LEROY WOOD o,X 0 0 0,BOARD MEMBER,leroy,710462177,106810,Crowley's Ridge College
(9) DAN R NEWSOM 0,X 0 0 0,VICE CHAIRMAN,dan,710462177,106810,Crowley's Ridge College
(10) CHARLES PARKER 0,X 0 0 0,SECRETARY,charles,710462177,106810,Crowley's Ridge College
(11) BILL PRATT 0,X 0 0 0,BOARD MEMBER,bill,710462177,106810,Crowley's Ridge College
(12) CARRIE SAMUEL 0,X 0 0 0,BOARD MEMBER,carrie,710462177,106810,Crowley's Ridge College
