line1,line2,line3,key,fein,unitid,institutionname
RANDY BERKNER 1 00,X 0 0 0,EX OFFICIO,randy,730587210,206862,Southern Nazarene University
HEIDI BABIN 1 00,X 0 0 0,BOARD MEMBER,heidi,730587210,206862,Southern Nazarene University
TIM BROWN 1 00,X 0 0 0,BOARD MEMBER,tim,730587210,206862,Southern Nazarene University
JIM COOPER 1 00,X 0 0 0,EX OFFICIO,jim,730587210,206862,Southern Nazarene University
CHARLES CUMMINGS 1 00,X 0 0 0,BOARD MEMBER,charles,730587210,206862,Southern Nazarene University
JUANITA COPLEY 1 00,X 0 0 0,BOARD MEMBER,juanita,730587210,206862,Southern Nazarene University
CB GLIDDEN 1 00,X 0 0 0,BOARD MEMBER,glidden,730587210,206862,Southern Nazarene University
JIM HILL 1 00,X 0 0 0,BOARD MEMBER,jim,730587210,206862,Southern Nazarene University
SAM FLORES 1 00,X 0 0 0,BOARD MEMBER,sam,730587210,206862,Southern Nazarene University
CHERYL CROUCH 1 00,X 0 0 0,BOARD MEMBER,cheryl,730587210,206862,Southern Nazarene University
MRYNA LATHAM 1 00,X 0 0 0,SNU FOUNDATI,latham,730587210,206862,Southern Nazarene University
KENNY MARCHANT 1 00,X 0 0 0,AT LARGE MEM,kenny,730587210,206862,Southern Nazarene University
AT LARGE MEM,ROB MCDONALD 1 00,X 0 0 0,large,730587210,206862,Southern Nazarene University
ROB MCDONALD 1 00,X 0 0 0,EX OFFICIO,rob,730587210,206862,Southern Nazarene University
DAVID MCKELLIPS 1 00,X 0 0 0,EX OFFICIO,david,730587210,206862,Southern Nazarene University
GARY MORSCH 1 00,X 0 0 0,AT LARGE MEM,gary,730587210,206862,Southern Nazarene University
AT LARGE MEM,KEITH PARDUE 1 00,X 0 0 0,large,730587210,206862,Southern Nazarene University
KEITH PARDUE 1 00,X 0 0 0,BOARD MEMBER,keith,730587210,206862,Southern Nazarene University
TERRY ROWLAND 1 00,X 0 0 0,EX OFFICIO,terry,730587210,206862,Southern Nazarene University
PHILLIP RUSTIN 1 00,X 0 0 0,BOARD MEMBER,phillip,730587210,206862,Southern Nazarene University
KEN STALLINGS 1 00,X 0 0 0,BOARD MEMBER,ken,730587210,206862,Southern Nazarene University
DALE WEBSTER 1 00,X 0 0 0,BOARD MEMBER,dale,730587210,206862,Southern Nazarene University
JOY LEWIS 1 00,X 0 0 0,BOARD MEMBER,joy,730587210,206862,Southern Nazarene University
STEVEN LESTER 1 00,X 0 0 0,BOARD MEMBER,steven,730587210,206862,Southern Nazarene University
RICK HARVEY 1 00,X 0 0 0,BOARD MEMBER,rick,730587210,206862,Southern Nazarene University
WAYNE DAWSON 1 00,X 0 0 0,BOARD MEMBER,wayne,730587210,206862,Southern Nazarene University
BRUCE JOHNSON 1 00,X 0 0 0,BOARD MEMBER,bruce,730587210,206862,Southern Nazarene University
STEVE LIVINGSTON 1 00,X 0 0 0,BOARD MEMBER,steve,730587210,206862,Southern Nazarene University
DONNA KYZER—RICE 1 00,X 0 0 0,BOARD MEMBER,donna,730587210,206862,Southern Nazarene University
JIM FITZGERALD 1 00,X 0 0 0,BOARD MEMBER,jim,730587210,206862,Southern Nazarene University
DAVID DOWNS 1 00,X 0 0 0,EX OFFICIO,david,730587210,206862,Southern Nazarene University
TIM EVANS 1 00,X 0 0 0,BOARD MEMBER,tim,730587210,206862,Southern Nazarene University
RUTH CARNEY 1 00,X 0 0 0,BOARD MEMBER,ruth,730587210,206862,Southern Nazarene University
CHUCK FOUNTAIN 1 00,X 0 0 0,EX OFFICIO,chuck,730587210,206862,Southern Nazarene University
DAVID CRAIG 1 00,X 0 0 0,BOARD MEMBER,david,730587210,206862,Southern Nazarene University
GEOFFREY GUNTER 1 00,X 0 0 0,BOARD MEMBER,geoffrey,730587210,206862,Southern Nazarene University
BUD LAUHON 1 00,X 0 0 0,BOARD MEMBER,bud,730587210,206862,Southern Nazarene University
BRENDA HERNANDEZ 1 00,X 0 0 0,BOARD MEMBER,brenda,730587210,206862,Southern Nazarene University
JEFF JANKOWSKI 1 00,X 0 0 0,BOARD MEMBER,jeff,730587210,206862,Southern Nazarene University
JEFFREY JOHNSON 1 00,X 0 0 0,EX OFFICIO,jeffrey,730587210,206862,Southern Nazarene University
RAY MCDOWELL 1 00,X 0 0 0,BOARD MEMBER,ray,730587210,206862,Southern Nazarene University
JIM JACOBS 1 00,X 0 0 0,BOARD MEMBER,jim,730587210,206862,Southern Nazarene University
ALLEN HUGHES 1 00,X 0 0 0,BOARD MEMBER,allen,730587210,206862,Southern Nazarene University
CALEB HERRERA 1 00,X 0 0 0,EX OFFICIO,caleb,730587210,206862,Southern Nazarene University
SILOE LOPEZ 1 00,X 0 0 0,BOARD MEMBER,lopez,730587210,206862,Southern Nazarene University
RON MARCHANT 1 00,X 0 0 0,AT LARGE MEM,ron,730587210,206862,Southern Nazarene University
AT LARGE MEM,LARRY SNOWBARGER 1 00,X 0 0 0,large,730587210,206862,Southern Nazarene University
LARRY SNOWBARGER 1 00,X 0 0 0,ALUMNI PRESI,larry,730587210,206862,Southern Nazarene University
NATE COOK 1 00,X 0 0 0,NYI REGIONAL,nate,730587210,206862,Southern Nazarene University
CURTIS LEWIS 1 00,X 0 0 0,BOARD MEMBER,curtis,730587210,206862,Southern Nazarene University
LOREN GRESHAM 40 00,"X 204,219 0 0",PRESIDENT 1 00,loren,730587210,206862,Southern Nazarene University
SCOTT STRAWN 40 00,"X 107,144 0 0",VP OF BUSINE 1 00,scott,730587210,206862,Southern Nazarene University
RUSSELL BRANSTETTER 1 00,X 0 0 0,VICE CHAIRMA,russell,730587210,206862,Southern Nazarene University
BRAD MOORE 1 00,X 0 0 0,CHAIRMAN,brad,730587210,206862,Southern Nazarene University
PEGGY STARK—WILSON 1 00,X 0 0 0,SECRETARY,peggy,730587210,206862,Southern Nazarene University
