line1,line2,line3,key,fein,unitid,institutionname
(1) Sheri Hanna 1 00,0 0 0,Trustee 0 00,sheri,730774245,207157,Hillsdale Free Will Baptist College
(2) Craig McDougal 0 00,0 0 0,Trustee 0 00,craig,730774245,207157,Hillsdale Free Will Baptist College
(3) Jay Tilson 0 00,0 0 0,Trustee 0 00,jay,730774245,207157,Hillsdale Free Will Baptist College
(4) TerrY Blgger 1 00,X 0 0 0,Trustee 0 00,terry,730774245,207157,Hillsdale Free Will Baptist College
(5) Jeff Blair 1 00,X 0 0 0,Trustee 0 00,jeff,730774245,207157,Hillsdale Free Will Baptist College
(6) Doug Dickey 1 00,X 0 0 0,Trustee 0 00,doug,730774245,207157,Hillsdale Free Will Baptist College
(7) Jay Dixon 1 00,X 0 0 0,Trustee 0 00,jay,730774245,207157,Hillsdale Free Will Baptist College
(8) Clyde Gillentine 1 00,X 0 0 0,Trustee 0 00,clyde,730774245,207157,Hillsdale Free Will Baptist College
(9) Roger Hogan 1 00,X 0 0 0,Trustee 0 00,roger,730774245,207157,Hillsdale Free Will Baptist College
(10) Joel Kircher 1 00,X 0 0 0,Trustee 0 00,joel,730774245,207157,Hillsdale Free Will Baptist College
(11) Leonard Pirtle 1 00,X 0 0 0,Trustee 0 00,leonard,730774245,207157,Hillsdale Free Will Baptist College
(12) Mark Reieson 1 00,X 0 0 0,Trustee 0 00,mark,730774245,207157,Hillsdale Free Will Baptist College
(13) Kendall Ross 1 00,X 0 0 0,Trustee 0 00,kendall,730774245,207157,Hillsdale Free Will Baptist College
(14) Dale Skiles 1 00,X 0 0 0,Trustee 0 00,dale,730774245,207157,Hillsdale Free Will Baptist College
(15) Davrd Taylor 1 00,X 0 0 0,Trustee 0 00,taylor,730774245,207157,Hillsdale Free Will Baptist College
(16) Dick Terry 1 00,X 0 0 0,Trustee 0 00,dick,730774245,207157,Hillsdale Free Will Baptist College
(17) Mike Wade 1 00,X 0 0 0,Trustee 0 00,mike,730774245,207157,Hillsdale Free Will Baptist College
(18) Todd Wiley 1 00,X 0 0 0,Trustee 0 00,todd,730774245,207157,Hillsdale Free Will Baptist College
(19) Timothy Eaton 40 00,"X X 74,494 0 0",Presrdent 0 00,timothy,730774245,207157,Hillsdale Free Will Baptist College
(20) Mark Braisher 40 00,"X 101,800 0 0",Vice Presrdent 0 00,mark,730774245,207157,Hillsdale Free Will Baptist College
(21) Thomas Mayberry 40 00,"X 66,209 0 0",Adminstrator 0 00,thomas,730774245,207157,Hillsdale Free Will Baptist College
(22) Bob Thompson 40 00,"X 71,858 0 0",Adminstrator 0 00,bob,730774245,207157,Hillsdale Free Will Baptist College
