line1,line2,line3,key,fein,unitid,institutionname
Rev MartIn A Solma SM 1 0,X X,CHANCELLOR,martin,741143128,228149,St Mary's University
Edward C Speed 1 0,X X,CHAIRMAN OF THE BOARD,edward,741143128,228149,St Mary's University
DorIs A Slay—Barber 1 0,X X,VICE—CHAIRMAN OF THE BOARD,doris,741143128,228149,St Mary's University
Raymond CarvaJal RPh 1 0,X X,SECRETARY,raymond,741143128,228149,St Mary's University
Charles T Barrett Jr 1 0,X,TRUSTEE,charles,741143128,228149,St Mary's University
DaVId W BIegler 1 0,X,TRUSTEE,david,741143128,228149,St Mary's University
Jack BIegler 1 0,X,TRUSTEE,jack,741143128,228149,St Mary's University
Brother WIllIam J Campbell SM 1 0,X,TRUSTEE,william,741143128,228149,St Mary's University
R MIchael Casseb 1 0,X,TRUSTEE,michael,741143128,228149,St Mary's University
Rebecca QumtanIlla CedIllo 1 0,X,TRUSTEE,rebecca,741143128,228149,St Mary's University
Walter D DownIng Jr 1 0,X,TRUSTEE,walter,741143128,228149,St Mary's University
Rev James F FItz SM 1 0,X,TRUSTEE,james,741143128,228149,St Mary's University
Kelley Frost 1 0,X,TRUSTEE,kelley,741143128,228149,St Mary's University
Barbara Gentry 1 0,X,TRUSTEE,barbara,741143128,228149,St Mary's University
GIsela GIrard 1 0,X,TRUSTEE,gisela,741143128,228149,St Mary's University
Steven D Jansma 1 0,X,TRUSTEE,steven,741143128,228149,St Mary's University
Brother Joseph KamIs SM 1 0,X,TRUSTEE,joseph,741143128,228149,St Mary's University
SIster Laura M LemIng FMI PhD 1 0,X,TRUSTEE,laura,741143128,228149,St Mary's University
ChrIstopher R MartInez 1 0,X,TRUSTEE,christopher,741143128,228149,St Mary's University
Larry MIlls 1 0,X,TRUSTEE,larry,741143128,228149,St Mary's University
Brother Ronald Overman SM 1 0,X,TRUSTEE,ronald,741143128,228149,St Mary's University
PhIle J PfeIffer 1 0,X,TRUSTEE,pfeiffer,741143128,228149,St Mary's University
Fernando Reyes 1 0,X,TRUSTEE,fernando,741143128,228149,St Mary's University
Kenneth S Saks 1 0,X,TRUSTEE,kenneth,741143128,228149,St Mary's University
MIchael A Schott 1 0,X,TRUSTEE,michael,741143128,228149,St Mary's University
Darrell G Stewart 1 0,X,TRUSTEE,darrell,741143128,228149,St Mary's University
James Marty Truss 1 0,X,TRUSTEE,james,741143128,228149,St Mary's University
Ma] Gen Alfred A Valenzuela 1 0,X,TRUSTEE,alfred,741143128,228149,St Mary's University
Brother Edward VIolett SM PhD 1 0,X,TRUSTEE,edward,741143128,228149,St Mary's University
Brother Thomas Wendorf SM PhD 1 0,X,TRUSTEE,thomas,741143128,228149,St Mary's University
MartIn BeIrne 1 0,X,TRUSTEE,martin,741143128,228149,St Mary's University
Helen BerrIdge 1 0,X,TRUSTEE,helen,741143128,228149,St Mary's University
Harvey NaJIm 1 0,X,TRUSTEE (UNTILJUNE 2013),harvey,741143128,228149,St Mary's University
Thomas M Mengler 40 0,"X X 366,882 0 26,924",PreSIdent 0 0,thomas,741143128,228149,St Mary's University
KatherIne M SISOIan 40 0,"x 127,530 15,389",V P — Student Development,katherine,741143128,228149,St Mary's University
Rudy A Vela 40 0,"x 111,739 19,548",V P — MlSSlon and Rector,rudy,741143128,228149,St Mary's University
RIchard D KImbrough 40 0,"x 98,674 10,377",V P — UnIverSIty Advancement,richard,741143128,228149,St Mary's University
Andre Hampton 40 0,"X 214,491 0 23,213",Provost 0 0,andre,741143128,228149,St Mary's University
Rebeckah J Day 40 0,"X 189,555 0 17,917",V P — Adm and FInance 0 0,day,741143128,228149,St Mary's University
Suzanne M Petrusch 40 0,"X 150,129 0 15,318",V P — Enrollment Management 0 0,suzanne,741143128,228149,St Mary's University
Charles E Cantu 40 0,"X 304,467 0 20,742",Dean — Law School 0 0,charles,741143128,228149,St Mary's University
TanUJa SIngh 40 0,"X 232,869 0 20,562",Dean — Busmess School 0 0,tanuja,741143128,228149,St Mary's University
WInston F Erevelles 40 0,"X 186,752 0 17,901",Dean—SCIence EngIneerIng/Tech 0 0,winston,741143128,228149,St Mary's University
Robert W PIatt 40 0,"X 243,430 0 19,268",Professor 0 0,robert,741143128,228149,St Mary's University
DaVId W Sommer 40 0,"X 223,135 0 23,072",Professor 0 0,david,741143128,228149,St Mary's University
VIctorIa M Mather 40 0,"X 221,652 0 22,633",Professor 0 0,victoria,741143128,228149,St Mary's University
DaVId A Schlueter 40 0,"X 214,546 0 18,676",Professor 0 0,david,741143128,228149,St Mary's University
MIchael S ArIens 40 0,"X 203,442 0 22,205",Professor 0 0,michael,741143128,228149,St Mary's University
