line1,line2,line3,key,fein,unitid,institutionname
JOHN BRANTLEY 1 00,X 0 0 0,TRUSTEE,john,741193459,228042,Schreiner University
RICK CREE 1 00,X 0 0 0,TRUSTEE,rick,741193459,228042,Schreiner University
PAGE FOSHEE 1 00,X 0 0 0,TRUSTEE,foshee,741193459,228042,Schreiner University
KARL RANSLEBEN 1 00,X 0 0 0,TRUSTEE,karl,741193459,228042,Schreiner University
JANE RAGSDALE 1 00,X 0 0 0,TRUSTEE,jane,741193459,228042,Schreiner University
WILLIAM REID 1 00,X 0 0 0,TRUSTEE,william,741193459,228042,Schreiner University
ROBERT SCOTT 1 00,X 0 0 0,TRUSTEE,robert,741193459,228042,Schreiner University
STUART BASKIN 1 00,X 0 0 0,TRUSTEE,stuart,741193459,228042,Schreiner University
PHILIP HERING 1 00,X 0 0 0,TRUSTEE,philip,741193459,228042,Schreiner University
WALTER WORKMAN 1 00,X 0 0 0,TRUSTEE,walter,741193459,228042,Schreiner University
JAMES ALSUP 1 00,X 0 0 0,TRUSTEE,james,741193459,228042,Schreiner University
TOM BALDWIN 1 00,X 0 0 0,TRUSTEE,tom,741193459,228042,Schreiner University
SUSAN STEPHENS BROOKS 1 00,X X 0 0 0,TRUSTEE/BOARD VICE CHAIR,susan,741193459,228042,Schreiner University
GARY ALLEN CROZIER 1 00,X 0 0 0,TRUSTEE,gary,741193459,228042,Schreiner University
BILL HARRISON 1 00,X 0 0 0,TRUSTEE,bill,741193459,228042,Schreiner University
THOMAS WEIR LABATT III 1 00,X X 0 0 0,TRUSTEE/ BOARD SECRETARY,thomas,741193459,228042,Schreiner University
ISRAEL PENA 1 00,X 0 0 0,TRUSTEE,israel,741193459,228042,Schreiner University
BILL WILSON 1 00,X 0 0 0,TRUSTEE,bill,741193459,228042,Schreiner University
JAMES AVERY 1 00,X 0 0 0,TRUSTEE,james,741193459,228042,Schreiner University
PETER BALDWIN 1 00,X 0 0 0,TRUSTEE,peter,741193459,228042,Schreiner University
ANNE COMPTON 1 00,X 0 0 0,TRUSTEE,anne,741193459,228042,Schreiner University
DEMMIE MAYFIELD 1 00,X 0 0 0,TRUSTEE,mayfield,741193459,228042,Schreiner University
NANCY PAUP 1 00,X 0 0 0,TRUSTEE,nancy,741193459,228042,Schreiner University
MICHAEL PATE 1 00,X X 0 0 0,TRUSTEE/BOARD CHAIR,michael,741193459,228042,Schreiner University
MAX SHERMAN 1 00,X 0 0 0,TRUSTEE,max,741193459,228042,Schreiner University
FRANK MARESH 1 00,X 0 0 0,TRUSTEE,frank,741193459,228042,Schreiner University
NICHOLAS SERAFY 1 00,X 0 0 0,TRUSTEE,nicholas,741193459,228042,Schreiner University
BRIAN SULLIVAN 1 00,X 0 0 0,TRUSTEE,brian,741193459,228042,Schreiner University
NANCY ANGUISH 1 00,X 0 0 0,TRUSTEE,nancy,741193459,228042,Schreiner University
MARK CLEMENTS 1 00,X 0 0 0,TRUSTEE,mark,741193459,228042,Schreiner University
JANET MCKINNEY 1 00,X 0 0 0,TRUSTEE,janet,741193459,228042,Schreiner University
LEA NYE 1 00,X 0 0 0,TRUSTEE,lea,741193459,228042,Schreiner University
ROBERT PARKER 1 00,X 0 0 0,TRUSTEE,robert,741193459,228042,Schreiner University
DEAN POGUE 1 00,X 0 0 0,TRUSTEE,pogue,741193459,228042,Schreiner University
RON TEFTELLER 1 00,X 0 0 0,TRUSTEE,ron,741193459,228042,Schreiner University
HENRY BENNING 1 00,X 0 0 0,TRUSTEE,henry,741193459,228042,Schreiner University
CARLOS CAMPOS 1 00,X 0 0 0,TRUSTEE,carlos,741193459,228042,Schreiner University
GRANGER MACDONALD 1 00,X 0 0 0,TRUSTEE,granger,741193459,228042,Schreiner University
DAN OSTOS 1 00,X 0 0 0,TRUSTEE,dan,741193459,228042,Schreiner University
SUE CUMMINGS 1 00,X 0 0 0,TRUSTEE,sue,741193459,228042,Schreiner University
DAVID EVANS 1 00,X 0 0 0,TRUSTEE,david,741193459,228042,Schreiner University
STEVE DANIELS 1 00,X 0 0 0,TRUSTEE,steve,741193459,228042,Schreiner University
STUART SLIVA 1 00,X 0 0 0,TRUSTEE,stuart,741193459,228042,Schreiner University
J B COSKEY 1 00,X 0 0 0,TRUSTEE,coskey,741193459,228042,Schreiner University
BILL MUSE 40 00,"x 141,865 0 8,842",VP ADMIN & FINANCE,bill,741193459,228042,Schreiner University
TIM SUMMERLIN 40 00,"X 213,173 0 13,015",PRESIDENT,tim,741193459,228042,Schreiner University
CHARLIE MCCORMICK 40 00,"x 130,392 0 8,091",VP ACADEMIC AFFAIRS/PROVOST,charlie,741193459,228042,Schreiner University
MARK TUSCHAK 40 00,"x 140,219 0 8,811",VP OF ADVANCEMENT,mark,741193459,228042,Schreiner University
LARRY CANTU 40 00,"x 89,232 0 2,876",VP ENROLLMENT,larry,741193459,228042,Schreiner University
CANDICE SCOTT 40 00,"x 102,296 0 6,137",ASSISTANT VP ACADEMIC AFFAIRS,candice,741193459,228042,Schreiner University
