line1,line2,line3,key,fein,unitid,institutionname
Daryl M Allen 1 7,X 0 0 0,Trustee,daryl,741233796,228343,Southwestern University
Mary Delmore Balagia 1 4,X 0 0 0,Trustee,mary,741233796,228343,Southwestern University
LJames Bankston 1 4,X 0 0 0,Trustee,bankston,741233796,228343,Southwestern University
Douglas M Benold 1 4,X 0 0 0,"Trustee, term March 2014",douglas,741233796,228343,Southwestern University
Suzanne Blake 1 4,X 0 0 0,Trustee,suzanne,741233796,228343,Southwestern University
W Earl Bledsoe 1 4,X 0 0 0,Trustee,earl,741233796,228343,Southwestern University
Tim Bruster 1 4,X 0 0 0,Trustee,tim,741233796,228343,Southwestern University
Pam Slaughter Bush 1 4,X 0 0 0,Trustee,pam,741233796,228343,Southwestern University
John 5 Curry 1 4,X 0 0 0,Trustee,john,741233796,228343,Southwestern University
James E Dorff 1 4,X 0 0 0,Trustee,james,741233796,228343,Southwestern University
Robert W Dupuy 1 4,X 0 0 0,Trustee,robert,741233796,228343,Southwestern University
Thomas A Forbes 1 4,X 0 0 0,"Trustee, term March 2014",thomas,741233796,228343,Southwestern University
Jack Garey 1 4,X 0 0 0,Trustee,jack,741233796,228343,Southwestern University
Roberto L Gomez 1 4,X 0 0 0,Trustee,roberto,741233796,228343,Southwestern University
Robert H Graham 1 7,X 0 0 0,Trustee,robert,741233796,228343,Southwestern University
Kay Granger 1 4,X 0 0 0,Trustee,kay,741233796,228343,Southwestern University
Larry J Haynes 1 4,X 0 0 0,Trustee,larry,741233796,228343,Southwestern University
Ronald D Henderson 1 4,X 0 0 0,Trustee,ronald,741233796,228343,Southwestern University
Janice Riggle HUle 1 4,X 0 0 0,Trustee,janice,741233796,228343,Southwestern University
Jean Janssen 1 4,X 0 0 0,Trustee,jean,741233796,228343,Southwestern University
Henry C Joyner 1 7,X X 0 0 0,Trustee & Vice Chair,henry,741233796,228343,Southwestern University
Robert W Karr 1 9,X X 0 0 0,Trustee & Chair,robert,741233796,228343,Southwestern University
Ethan Lane—Miller 1 4,X 0 0 0,"Trustee, term March 2014",ethan,741233796,228343,Southwestern University
R Griffin Lord 1 7,X X 0 0 0,Trustee & Sec/Treas,griffin,741233796,228343,Southwestern University
J Michael Lowry 1 4,X 0 0 0,Trustee,michael,741233796,228343,Southwestern University
Red McCombs 1 4,X 0 0 0,Trustee,red,741233796,228343,Southwestern University
Michael McKee 1 4,X 0 0 0,Trustee,michael,741233796,228343,Southwestern University
Mary Medley 1 4,X 0 0 0,Trustee,mary,741233796,228343,Southwestern University
Laura A Merrill 1 4,X 0 0 0,Trustee,laura,741233796,228343,Southwestern University
Charles R Millikan 1 4,X 0 0 0,"Trustee, term March 2014",charles,741233796,228343,Southwestern University
Merriman Morton 1 4,X 0 0 0,Trustee,merriman,741233796,228343,Southwestern University
Barbara Prats Neely 1 4,X 0 0 0,"Trustee, term March 2014",barbara,741233796,228343,Southwestern University
Ernesto Nieto 1 4,X 0 0 0,Trustee,ernesto,741233796,228343,Southwestern University
Austin Painchaud 1 4,X 0 0 0,Trustee,austin,741233796,228343,Southwestern University
Steven A Raben 1 4,X 0 0 0,Trustee,steven,741233796,228343,Southwestern University
Robert T Rork 1 7,X 0 0 0,Trustee,robert,741233796,228343,Southwestern University
Henry A Santana 1 4,X 0 0 0,"Trustee, term March 2014",henry,741233796,228343,Southwestern University
Pete Sessmns 1 4,X 0 0 0,Trustee,pete,741233796,228343,Southwestern University
Thomas V Shockley III 1 5,X 0 0 0,Trustee,thomas,741233796,228343,Southwestern University
H Blake Stanford 1 4,X 0 0 0,Trustee,blake,741233796,228343,Southwestern University
Dan R Stultz 1 4,X 0 0 0,Trustee,dan,741233796,228343,Southwestern University
Stephen G Tipps 1 4,X 0 0 0,Trustee,stephen,741233796,228343,Southwestern University
Donald W UndenNood 1 4,X 0 0 0,Trustee,donald,741233796,228343,Southwestern University
James V Walzel 1 7,X 0 0 0,Trustee,james,741233796,228343,Southwestern University
Kathryn Yeager 1 4,X 0 0 0,Trustee,kathryn,741233796,228343,Southwestern University
Edward Burger 40 0,"X X 194,577 0 70,659",Trustee & Pre5ident,edward,741233796,228343,Southwestern University
Richard L Anderson 40 0,"X 235,390 0 26,066",VP of Fiscal Affairs,richard,741233796,228343,Southwestern University
C Richard McKelvey 40 0,"X 233,632 0 27,088",VP Institutional Advancement,richard,741233796,228343,Southwestern University
James W Hunt 40 0,"X 224,292 0 23,918",Provost/Dean of Faculty,james,741233796,228343,Southwestern University
Gerald D Brody 40 0,"X 163,149 0 25,826",VP of Student Life,gerald,741233796,228343,Southwestern University
Pamela A McQuesten 40 0,"X 208,099 0 26,471",VP of Info SerVIces & CIO,pamela,741233796,228343,Southwestern University
Paul J Gaffney 40 0,"X 145,534 0 20,110",Dean Sarofim School Fine Arts,paul,741233796,228343,Southwestern University
DaVId J VOSkUII 40 0,"X 143,871 0 21,989",VP Enrollment SerVIces,david,741233796,228343,Southwestern University
Craig EnNin 40 0,"X 137,372 0 19,867",Associate VP of Finance,craig,741233796,228343,Southwestern University
Ronald LSwain 40 0,"X 126,427 0 70,226",Sr Advr—Strategic Plan&Assess,ronald,741233796,228343,Southwestern University
Jake B Schrum 0 0,"X 362,492 0 95,710",Former Trustee & Pre5ident,jake,741233796,228343,Southwestern University
