line1,line2,line3,key,fein,unitid,institutionname
(1) MICHAEL SORRELL 40 00,"X X 220,000 0 0",PRESIDENT,michael,741238438,227429,Paul Quinn College
(2) WILLIAM BREWER E56 2 00,X 0 0 0,Trustee,william,741238438,227429,Paul Quinn College
(3) CHERRY MILLS BOGGESS 2 00,X 0 0 0,Trustee,cherry,741238438,227429,Paul Quinn College
(4) DON J CLEVERGER ESQ 2 00,X 0 0 0,Chairman,don,741238438,227429,Paul Quinn College
(5) CORNER COTI'RELL EMERITUS 2 00,X 0 0 0,Trustees,corner,741238438,227429,Paul Quinn College
(6) TAMARA FIELDS 2 00,X 0 0 0,TRUSTEE,tamara,741238438,227429,Paul Quinn College
(7) DR ERMA C JOHNSON HADLEY 2 00,X 0 0 0,Trustee,erma,741238438,227429,Paul Quinn College
(8) REV FEDERICK D HAYNESIII DMIN 2 00,X 0 0 0,TRUSTEE,federick,741238438,227429,Paul Quinn College
(9) MATTHEW HILDRETH 2 00,X 0 0 0,TRUSTEE,matthew,741238438,227429,Paul Quinn College
(10) REV DARYL B INGRAM DMIN 2 00,X 0 0 0,TRUSTEE,daryl,741238438,227429,Paul Quinn College
(11) REV GEORGE JOHNSON JR 2 00,X 0 0 0,TRUSTEE,george,741238438,227429,Paul Quinn College
(12) DAVID STEPHENS 2 00,X 0 0 0,TRUSTEE,david,741238438,227429,Paul Quinn College
(13) HIAWATHA WILLIAMS 2 00,X 0 0 0,TRUSTEE,williams,741238438,227429,Paul Quinn College
(14) BISHOP VASHTI MURPHY MCKENZIE 2 00,X 0 0 0,Trustee,bishop,741238438,227429,Paul Quinn College
(15) DR JAMAL BRYANT 2,X,Trustee,jamal,741238438,227429,Paul Quinn College
(16) REV FLOYD FLAKE 2,X,Trustee,floyd,741238438,227429,Paul Quinn College
(17) MARYBETH GASMAN 2,X,Trustee,marybeth,741238438,227429,Paul Quinn College
(18) REV GEORGE JOHNSON JR 2,X,Trustee,george,741238438,227429,Paul Quinn College
(19) TANYA E SANDERS 2,X,Trustee,tanya,741238438,227429,Paul Quinn College
(20) REV DR JUAN N TOLLIVER 2,X,Trustee,juan,741238438,227429,Paul Quinn College
(21) REV MARK WHlTLOCK II 2,X,Trustee,mark,741238438,227429,Paul Quinn College
