line1,line2,line3,key,fein,unitid,institutionname
(1) AARON MAIKE 40 00,"X X 182,403 0 36,631",PRESIDENT 0,aaron,743075712,444167,Baker College of Allen Park
(2) EDWARD KURTZ 1 00,"X X 0 118,055 29,713",BOARD OF REGENTS and SECRETARY 20 00,edward,743075712,444167,Baker College of Allen Park
(3) DONNA SCHMIDT 1 00,X 0 0 0,BOARD OF REGENTS 0,donna,743075712,444167,Baker College of Allen Park
(4) F JAMES CUMMINS 1 00,"X 0 360,551 102,490",BOARD OF REGENTS 50 00,james,743075712,444167,Baker College of Allen Park
(5) MICHAEL SIMMS 1 00,X 0 0 0,BOARD OF REGENTS 0,michael,743075712,444167,Baker College of Allen Park
(6) R DOUGLAS PRETTY 1 00,X 0 0 0,BOARD OF REGENTS 0,douglas,743075712,444167,Baker College of Allen Park
(7) SCOTT MCKELVEY 1 00,X 0 0 0,BOARD OF REGENTS 0,scott,743075712,444167,Baker College of Allen Park
(8) THOMAS FISHER 1 00,X 0 0 0,BOARD OF REGENTS 0,thomas,743075712,444167,Baker College of Allen Park
(9) WILLIAM ANTHONY MASON 1 00,X 0 0 0,BOARD OF REGENTS 2 00,william,743075712,444167,Baker College of Allen Park
(10) KAREN BRATUS 40 00,"X 115,011 0 32,152",VP—ACADEMICS 0,karen,743075712,444167,Baker College of Allen Park
(11) KRISTINE BARANN 40 00,"X 114,444 0 30,335",VP—FINANCE 0,kristine,743075712,444167,Baker College of Allen Park
(12) STEVEN PETERSON 40 00,"X 113,107 0 37,204",VP—ADMISSIONS 0,steven,743075712,444167,Baker College of Allen Park
(13) TIFFANY DAVIS 1 00,"X 0 199,037 38,382",TREASURER 50 00,tiffany,743075712,444167,Baker College of Allen Park
(14) YVONNE LANGLEY 40 00,"x 86,480 0 27,620",VP—CAREER SERVICES 0,yvonne,743075712,444167,Baker College of Allen Park
