line1,line2,line3,key,fein,unitid,institutionname
R GERALD TURNER 36 50,"X X 961,839 0 386,083",PRESIDENT/TR 1 00,gerald,750800689,228246,Southern Methodist University
SANTANU ROY 1 00,"X 157,109 0 46,986",PROFESSOR/TR,roy,750800689,228246,Southern Methodist University
GEORGE UTKOV 1 00,"X 2,060 0 0",TRUSTEE,george,750800689,228246,Southern Methodist University
RUTH S ALTSHULER 1 00,X 0 0 0,TRUSTEE,ruth,750800689,228246,Southern Methodist University
WILLIAM ARMSTRONG 1 00,X 0 0 0,TRUSTEE,william,750800689,228246,Southern Methodist University
MICHAEL M BOONE 1 00,X 0 0 0,TRUSTEE,michael,750800689,228246,Southern Methodist University
BRADLEY BROOKSHIRE 1 00,X 0 0 0,TRUSTEE,bradley,750800689,228246,Southern Methodist University
LAURA WELCH BUSH 1 00,X 0 0 0,TRUSTEE,laura,750800689,228246,Southern Methodist University
RICHIE L BUTLER 1 00,X 0 0 0,TRUSTEE,richie,750800689,228246,Southern Methodist University
JEANNE TOWER COX 1 00,X 0 0 0,TRUSTEE,jeanne,750800689,228246,Southern Methodist University
KELLY H COMPTON 1 00,X 0 0 0,TRUSTEE,kelly,750800689,228246,Southern Methodist University
MARK CRAIG 1 00,X 0 0 0,TRUSTEE,mark,750800689,228246,Southern Methodist University
GARY T CRUM 1 00,X 0 0 0,TRUSTEE,gary,750800689,228246,Southern Methodist University
KATHERINE CROW 1 00,X 0 0 0,TRUSTEE,katherine,750800689,228246,Southern Methodist University
ROBERT H DEDMAN JR 1 00,X 0 0 0,TRUSTEE,robert,750800689,228246,Southern Methodist University
JAMES E DORFF 1 00,X 0 0 0,TRUSTEE,james,750800689,228246,Southern Methodist University
ANTOINE LV DIJKSTRA 1 00,X 0 0 0,TRUSTEE,antoine,750800689,228246,Southern Methodist University
LESLIE L MELSON 1 00,X 0 0 0,TRUSTEE,leslie,750800689,228246,Southern Methodist University
LARRY FAULKNER 1 00,X 0 0 0,TRUSTEE,larry,750800689,228246,Southern Methodist University
GERALDJ FORD 1 00,X 0 0 0,TRUSTEE,ford,750800689,228246,Southern Methodist University
ANTONIO O GARZA JR 1 00,X 0 0 0,TRUSTEE,antonio,750800689,228246,Southern Methodist University
JAMES R GIBBS 1 00,X 0 0 0,TRUSTEE,james,750800689,228246,Southern Methodist University
FREDERICK B HEGI JR 1 00,X 0 0 0,TRUSTEE,frederick,750800689,228246,Southern Methodist University
CLARK K HUNT 1 00,X 0 0 0,TRUSTEE,clark,750800689,228246,Southern Methodist University
RAY L HUNT 1 00,X 0 0 0,TRUSTEE,ray,750800689,228246,Southern Methodist University
SCOTT JONES 1 00,X 0 0 0,TRUSTEE,scott,750800689,228246,Southern Methodist University
FREDRICK LEACH 1 00,X 0 0 0,TRUSTEE,fredrick,750800689,228246,Southern Methodist University
PAUL B LOYD JR 1 00,X 0 0 0,TRUSTEE,paul,750800689,228246,Southern Methodist University
BOBBY B LYLE 1 00,X 0 0 0,TRUSTEE,bobby,750800689,228246,Southern Methodist University
MICHAEL MCKEE 1 00,X 0 0 0,TRUSTEE,michael,750800689,228246,Southern Methodist University
DAVID B MILLER 1 00,X 0 0 0,TRUSTEE,david,750800689,228246,Southern Methodist University
SHERON PATTERSON 1 00,X 0 0 0,TRUSTEE,sheron,750800689,228246,Southern Methodist University
SARAH PEROT 1 00,X 0 0 0,TRUSTEE,sarah,750800689,228246,Southern Methodist University
JEANNE L PHILLIPS 1 00,X 0 0 0,TRUSTEE,jeanne,750800689,228246,Southern Methodist University
CAREN H PROTHRO 1 00,X 0 0 0,TRUSTEE,caren,750800689,228246,Southern Methodist University
CARL SEWELL 1 00,X 0 0 0,TRUSTEE,carl,750800689,228246,Southern Methodist University
SCOTT MCLEAN 1 00,X 0 0 0,TRUSTEE,scott,750800689,228246,Southern Methodist University
RICHARD K TEMPLETON 1 00,X 0 0 0,TRUSTEE,richard,750800689,228246,Southern Methodist University
ROYCE E WILSON SR 1 00,X 0 0 0,TRUSTEE,royce,750800689,228246,Southern Methodist University
CONNIE O'NEILL 1 00,X 0 0 0,TRUSTEE,connie,750800689,228246,Southern Methodist University
RICHARD WARE 1 00,X 0 0 0,TRUSTEE,richard,750800689,228246,Southern Methodist University
MICHAELA CONDON 36 50,"X 591,988 0 46,212",UNIVERSITY T 1 00,michaela,750800689,228246,Southern Methodist University
BRAD E CHEVES 31 50,"X 454,744 0 45,212",VP DEVELOPME 6 00,brad,750800689,228246,Southern Methodist University
PAULW LUDDEN 36 50,"X 438,828 0 40,537",PROVOST/VP A 1 00,ludden,750800689,228246,Southern Methodist University
CHRISTINE REGIS 29 50,"X 378,686 0 44,422",VP BUSINESS 8 00,christine,750800689,228246,Southern Methodist University
PAUL WARD 29 50,"X 369,789 0 66,127",VP LEGAL AFF 8 00,paul,750800689,228246,Southern Methodist University
THOMAS E BARRY 34 50,"X 311,069 0 41,627",VP EXECUTIVE 3 00,thomas,750800689,228246,Southern Methodist University
LORI 5 WHITE 36 50,"X 292,179 0 41,837",VP STUDENT A 1 00,lori,750800689,228246,Southern Methodist University
MARY ANNE ROGERS 31 50,"x 93,053 0 22,541",ASSOC UNIV 5 6 00,mary,750800689,228246,Southern Methodist University
ALBERT NIEMIJR 37 50,"X 587,997 0 45,363",DEAN,albert,750800689,228246,Southern Methodist University
WILLIAM TSUTSUI,"X 266,008 0 35,604",DEAN,william,750800689,228246,Southern Methodist University
LARRY BROWN 37 50,"x 2,209,594 0 532,740",BASKETBALLC,larry,750800689,228246,Southern Methodist University
JUNE JONES,"x 1,959,186 0 43,753",FOOTBALL COA,jones,750800689,228246,Southern Methodist University
TIMOTHY JANKOVICH 37 50,"X 547,687 0 49,330",BASKETBALLC,timothy,750800689,228246,Southern Methodist University
WILLIAM DILLON,"X 524,116 0 49,365",SR ASSOC DEA,william,750800689,228246,Southern Methodist University
SR ASSOC DEA,MIGUEL QUINONES,"X 500,217 0 46,068",dea,750800689,228246,Southern Methodist University
MIGUEL QUINONES,"X 500,217 0 46,068",PROFESSOR,miguel,750800689,228246,Southern Methodist University
