line1,line2,line3,key,fein,unitid,institutionname
Attorney Walter L Sutton Jr PhD 1 00,X X 0 0 0,Chairman,walter,750818183,229887,Wiley College
MrJerry Cargill 1 00,X X 0 0 0,Vice Chairman,cargill,750818183,229887,Wiley College
Attorney Billy R Casey 1 00,X X 0 0 0,Vice Chairman,billy,750818183,229887,Wiley College
Mr Warren Scott 1 00,X X 0 0 0,Treasurer,warren,750818183,229887,Wiley College
Mrs Kathryn Hegwood Hill 1 00,X X 0 0 0,Secretary,kathryn,750818183,229887,Wiley College
Mr Richard Foppe Hodge Sr 1 00,X 0 0 0,Member at Large,richard,750818183,229887,Wiley College
Member at Large,Mrs Claudia S Rimes 1 00,X 0 0 0,large,750818183,229887,Wiley College
Mrs Claudia S Rimes 1 00,X 0 0 0,Member at Large,claudia,750818183,229887,Wiley College
Member at Large,Reverend William R Taylor 1 00,X 0 0 0,large,750818183,229887,Wiley College
Reverend William R Taylor 1 00,X 0 0 0,Board Member,william,750818183,229887,Wiley College
Mr Nolan Anderson 1 00,X 0 0 0,Board Member,nolan,750818183,229887,Wiley College
Dr Rod Fluker 1 00,X 0 0 0,Board Member,rod,750818183,229887,Wiley College
Bishop Janice Riggle HUle 1 00,X 0 0 0,Board Member,bishop,750818183,229887,Wiley College
Reverend B T Williamson 1 00,X 0 0 0,Board Member,williamson,750818183,229887,Wiley College
Judge Richard Anderson 1 00,X 0 0 0,Board Member,judge,750818183,229887,Wiley College
Dr Beverley V Baxter 1 00,X 0 0 0,Board Member,beverley,750818183,229887,Wiley College
Dr Donald L GIbson 1 00,X 0 0 0,Board Member,donald,750818183,229887,Wiley College
Dr Robert McGee 1 00,X 0 0 0,Board Member,robert,750818183,229887,Wiley College
Mr Wilbert Lee Pegues 1 00,X 0 0 0,Board Member,wilbert,750818183,229887,Wiley College
Dr James Perkins 1 00,X 0 0 0,Board Member,james,750818183,229887,Wiley College
Mrs Patsy Ponder 1 00,X 0 0 0,Board Member,patsy,750818183,229887,Wiley College
Mr Calvm Stamps 1 00,X 0 0 0,Board Member,stamps,750818183,229887,Wiley College
Mr Derek L Stovall—Leonard 1 00,X 0 0 0,Board Member,derek,750818183,229887,Wiley College
MrJohn Frank Strauss 1 00,X 0 0 0,Board Member,frank,750818183,229887,Wiley College
Dr Herman Lavon Totten 1 00,X 0 0 0,Board Member,herman,750818183,229887,Wiley College
Mr John Walker 1 00,X 0 0 0,Board Member,john,750818183,229887,Wiley College
Dr Haywood L Strickland 40 00,"X X 246,464 0 110,285",PreSident and CEO,haywood,750818183,229887,Wiley College
Dr Glenda Carter 40 00,"X 139,050 0 0",Executive Vice PreSident/Provost,glenda,750818183,229887,Wiley College
Mrs Willie Hughey 40 00,"X 135,960 0 0",Vice PreSident Busmess/Finance,willie,750818183,229887,Wiley College
Dr Joseph Morale 40 00,"X 106,090 0 0",Vice PreSident Student Affairs/Enrollment SerVIces,joseph,750818183,229887,Wiley College
Dr Lee Aggison 40 00,"X 100,000 0 0",Vice PreSident Academic Affairs,lee,750818183,229887,Wiley College
Dr Suzanne Mayo—Theus 40 00,"X 100,000 0 0",Vice PreSident Institutional Advancement,suzanne,750818183,229887,Wiley College
Ms Pamela Pressley 40 00,"X 92,700 0 0",Controller,pamela,750818183,229887,Wiley College
Mr Nathaniel E Hertt III 40 00,"X 85,000 0 0",Vice PreSident Information System/Technology/Adjunct,nathaniel,750818183,229887,Wiley College
Mrs Karen Helton 40 00,"X 83,625 0 0",Director of Sponsored Programs/Asst to PreSident,karen,750818183,229887,Wiley College
Dr Isaac W Sanders 40 00,"X 82,400 0 0",AsSOCIate Vice PreSident for Institutional Advancement,isaac,750818183,229887,Wiley College
