line1,line2,line3,key,fein,unitid,institutionname
Earl Bledsoe 1 00,X 0 0 0,Trustee 0 00,earl,750855633,226587,McMurry University
Phil Brewer 5 00,X X 0 0 0,Treasurer 0 00,phil,750855633,226587,McMurry University
Steven Bristow 5 00,X 0 0 0,Trustee 0 00,steven,750855633,226587,McMurry University
Weldon Crowley 10 00,X 0 0 0,Trustee 0 00,weldon,750855633,226587,McMurry University
Richard Edwards 1 00,X 0 0 0,Trustee 0 00,richard,750855633,226587,McMurry University
Holland Evans 2 00,X 0 0 0,Trustee 0 00,holland,750855633,226587,McMurry University
Chuck Fallon 4 00,X X 0 0 0,Chair 0 00,chuck,750855633,226587,McMurry University
Joe Bill Fox 1 00,X 0 0 0,Trustee 0 00,joe,750855633,226587,McMurry University
Sara Graham 10 00,X 0 0 0,Trustee 0 00,sara,750855633,226587,McMurry University
GirVin Harkins 5 00,X 0 0 0,Trustee 0 00,girvin,750855633,226587,McMurry University
Sandra Harper 70 00,"X X 186,667 0 12,922",Pre5ident 0 00,sandra,750855633,226587,McMurry University
John Hendrick 5 00,X 0 0 0,Trustee 0 00,john,750855633,226587,McMurry University
Carl Hubbard 3 00,X X 0 0 0,Secretary 0 00,carl,750855633,226587,McMurry University
Melody Hunt 1 00,X 0 0 0,Trustee 0 00,melody,750855633,226587,McMurry University
Bill Moore 1 00,X 0 0 0,Trustee 0 00,bill,750855633,226587,McMurry University
Austin Pittman 3 00,X X 0 0 0,lst Vice Chair 0 00,austin,750855633,226587,McMurry University
Peter Reed 1 00,X 0 0 0,Trustee 0 00,peter,750855633,226587,McMurry University
DaVId Shoup 1 00,X 0 0 0,Trustee 0 00,david,750855633,226587,McMurry University
Rick Stivers 5 00,X 0 0 0,Trustee 0 00,rick,750855633,226587,McMurry University
Sid Strebeck 4 00,X 0 0 0,Trustee 0 00,sid,750855633,226587,McMurry University
Anthony Williams 1 00,X 0 0 0,Trustee 0 00,anthony,750855633,226587,McMurry University
Steve Wilson 2 00,X 0 0 0,Trustee 0 00,steve,750855633,226587,McMurry University
Lynn YeanNood 16 00,X X 0 0 0,2nd Vice Chair 0 00,lynn,750855633,226587,McMurry University
C Lane Boyd 1 00,X 0 0 0,Trustee 0 00,lane,750855633,226587,McMurry University
Jolynn GaIVIn 1 00,X 0 0 0,Trustee 0 00,jolynn,750855633,226587,McMurry University
Sam Smith 2 00,X X 0 0 0,Treasurer 0 00,sam,750855633,226587,McMurry University
Ralph Turner 4 00,X 0 0 0,Trustee 0 00,ralph,750855633,226587,McMurry University
Clark Walter 4 00,X 0 0 0,Trustee 0 00,clark,750855633,226587,McMurry University
Herschel Neal 1 00,X 0 0 0,Trustee 0 00,herschel,750855633,226587,McMurry University
Debra Bowles 40 00,"X 150,000 0 18,976",VP Inst Advance 0 00,debra,750855633,226587,McMurry University
Paul Fabri2io 40 00,"X 122,450 0 17,306",VP Ac Affairs 0 00,paul,750855633,226587,McMurry University
Lisa Love Williams 40 00,"X 109,664 0 16,806",VP Fin Affairs 0 00,lisa,750855633,226587,McMurry University
Brad Poonnan 40 00,"x 102,550 0 4,710",VP Info Servc 0 00,brad,750855633,226587,McMurry University
Vanessa Bryan 40 00,"x 70,022 0 8,287",Dean of Student 0 00,vanessa,750855633,226587,McMurry University
Ron Holmes 40 00,"x 74,356 0 9,932",Athletic Dir 0 00,ron,750855633,226587,McMurry University
